time_s,θ1 (deg),θ2 (deg),raw θ1 (deg),raw θ2 (deg)
0.0,0.0,0.0,2.902826,3.060651
0.5,0.0,0.0,2.72628,1.684277
1.0,0.0,0.0,0.0,4.085546
1.5,8.031666,10.315129,8.031666,10.315129
2.0,34.476511,35.324631,34.476511,35.324631
2.5,35.90981,50.389481,35.90981,50.389481
3.0,48.1525555,54.711975,48.564577,54.711975
3.5,48.1525555,58.439003,47.740534,58.439003
4.0,62.86487100000001,60.256878,67.169379,60.43515
4.5,62.86487100000001,60.256878,58.560363,60.078606
5.0,65.60561849999999,67.5353,67.645612,67.5353
5.5,65.60561849999999,68.763129,63.565625,68.763129
