time_s,frame,A1_x,A1_y,J1_x,J1_y,B1_x,B1_y,A2_x,A2_y,J2_x,J2_y,B2_x,B2_y,theta1_raw_deg,theta2_raw_deg
0.0,raw_data/frames_0p5s/frame_t00.0s.jpg,1380.661,862.597,1283.629,864.661,1213.435,862.597,1147.371,862.597,1073.048,860.532,992.532,862.597,2.902826,3.060651
0.5,raw_data/frames_0p5s/frame_t00.5s.jpg,1370.339,846.081,1283.629,850.210,1213.435,850.210,1141.177,852.274,1070.984,850.210,992.532,850.210,2.726280,1.684277
1.0,raw_data/frames_0p5s/frame_t01.0s.jpg,1362.081,839.887,1283.629,839.887,1205.177,839.887,1126.726,841.952,1068.919,846.081,1013.177,846.081,0.000000,4.085546
1.5,raw_data/frames_0p5s/frame_t01.5s.jpg,1347.629,720.145,1271.242,751.113,1196.919,769.694,1122.597,788.274,1066.855,808.919,996.661,821.306,8.031666,10.315129
2.0,raw_data/frames_0p5s/frame_t02.0s.jpg,949.177,422.855,992.532,472.403,1000.790,542.597,1002.855,621.048,1000.790,682.984,961.565,734.597,34.476511,35.324631
2.5,raw_data/frames_0p5s/frame_t02.5s.jpg,779.887,474.468,831.500,482.726,868.661,519.887,922.339,598.339,955.371,647.887,936.790,709.823,35.909810,50.389481
3.0,raw_data/frames_0p5s/frame_t03.0s.jpg,701.435,524.016,773.694,503.371,825.306,536.403,893.435,604.532,930.597,645.823,916.145,709.823,48.564577,54.711975
3.5,raw_data/frames_0p5s/frame_t03.5s.jpg,680.790,542.597,750.984,517.823,804.661,546.726,878.984,602.468,924.403,643.758,909.952,720.145,47.740534,58.439003
4.0,raw_data/frames_0p5s/frame_t04.0s.jpg,639.500,590.081,734.468,519.887,800.532,559.113,858.339,594.210,916.145,637.565,905.823,718.081,67.169379,60.435150
4.5,raw_data/frames_0p5s/frame_t04.5s.jpg,660.145,571.500,724.145,526.081,796.403,557.048,854.210,590.081,914.081,639.629,899.629,724.274,58.560363,60.078606
5.0,raw_data/frames_0p5s/frame_t05.0s.jpg,643.629,592.145,720.016,530.210,788.145,567.371,843.887,596.274,907.887,635.500,893.435,726.339,67.645612,67.535300
5.5,raw_data/frames_0p5s/frame_t05.5s.jpg,633.306,606.597,715.887,534.339,786.081,563.242,839.758,592.145,905.823,631.371,889.306,730.468,63.565625,68.763129
