time_s,frame_index,actual_time_ms,raw_frame,annotated_frame
0.0,0,0,C:\Users\HAO\Desktop\YTY_from_macbook\finger_curve_analysis\frames_every_0p5s_raw\finger_t00.0s_frame000.jpg,C:\Users\HAO\Desktop\YTY_from_macbook\finger_curve_analysis\frames_every_0p5s_annotated\finger_t00.0s_frame000_annotated.jpg
0.5,15,500,C:\Users\HAO\Desktop\YTY_from_macbook\finger_curve_analysis\frames_every_0p5s_raw\finger_t00.5s_frame015.jpg,C:\Users\HAO\Desktop\YTY_from_macbook\finger_curve_analysis\frames_every_0p5s_annotated\finger_t00.5s_frame015_annotated.jpg
1.0,30,1000,C:\Users\HAO\Desktop\YTY_from_macbook\finger_curve_analysis\frames_every_0p5s_raw\finger_t01.0s_frame030.jpg,C:\Users\HAO\Desktop\YTY_from_macbook\finger_curve_analysis\frames_every_0p5s_annotated\finger_t01.0s_frame030_annotated.jpg
1.5,45,1500,C:\Users\HAO\Desktop\YTY_from_macbook\finger_curve_analysis\frames_every_0p5s_raw\finger_t01.5s_frame045.jpg,C:\Users\HAO\Desktop\YTY_from_macbook\finger_curve_analysis\frames_every_0p5s_annotated\finger_t01.5s_frame045_annotated.jpg
2.0,60,2000,C:\Users\HAO\Desktop\YTY_from_macbook\finger_curve_analysis\frames_every_0p5s_raw\finger_t02.0s_frame060.jpg,C:\Users\HAO\Desktop\YTY_from_macbook\finger_curve_analysis\frames_every_0p5s_annotated\finger_t02.0s_frame060_annotated.jpg
2.5,75,2500,C:\Users\HAO\Desktop\YTY_from_macbook\finger_curve_analysis\frames_every_0p5s_raw\finger_t02.5s_frame075.jpg,C:\Users\HAO\Desktop\YTY_from_macbook\finger_curve_analysis\frames_every_0p5s_annotated\finger_t02.5s_frame075_annotated.jpg
3.0,90,3000,C:\Users\HAO\Desktop\YTY_from_macbook\finger_curve_analysis\frames_every_0p5s_raw\finger_t03.0s_frame090.jpg,C:\Users\HAO\Desktop\YTY_from_macbook\finger_curve_analysis\frames_every_0p5s_annotated\finger_t03.0s_frame090_annotated.jpg
3.5,105,3500,C:\Users\HAO\Desktop\YTY_from_macbook\finger_curve_analysis\frames_every_0p5s_raw\finger_t03.5s_frame105.jpg,C:\Users\HAO\Desktop\YTY_from_macbook\finger_curve_analysis\frames_every_0p5s_annotated\finger_t03.5s_frame105_annotated.jpg
4.0,120,4000,C:\Users\HAO\Desktop\YTY_from_macbook\finger_curve_analysis\frames_every_0p5s_raw\finger_t04.0s_frame120.jpg,C:\Users\HAO\Desktop\YTY_from_macbook\finger_curve_analysis\frames_every_0p5s_annotated\finger_t04.0s_frame120_annotated.jpg
4.5,135,4500,C:\Users\HAO\Desktop\YTY_from_macbook\finger_curve_analysis\frames_every_0p5s_raw\finger_t04.5s_frame135.jpg,C:\Users\HAO\Desktop\YTY_from_macbook\finger_curve_analysis\frames_every_0p5s_annotated\finger_t04.5s_frame135_annotated.jpg
5.0,150,5000,C:\Users\HAO\Desktop\YTY_from_macbook\finger_curve_analysis\frames_every_0p5s_raw\finger_t05.0s_frame150.jpg,C:\Users\HAO\Desktop\YTY_from_macbook\finger_curve_analysis\frames_every_0p5s_annotated\finger_t05.0s_frame150_annotated.jpg
5.5,165,5500,C:\Users\HAO\Desktop\YTY_from_macbook\finger_curve_analysis\frames_every_0p5s_raw\finger_t05.5s_frame165.jpg,C:\Users\HAO\Desktop\YTY_from_macbook\finger_curve_analysis\frames_every_0p5s_annotated\finger_t05.5s_frame165_annotated.jpg
