Time_ms,Thumb,Index,Middle,Ring,Pinky
0,742,749,770,727,805
10,742,748,770,727,805
20,744,748,770,727,806
30,743,748,770,727,805
40,742,748,770,727,805
50,743,748,770,727,805
60,743,748,770,727,805
70,743,748,770,727,805
80,743,748,770,727,805
90,742,749,769,727,805
100,742,748,770,727,805
110,743,748,770,727,805
120,742,748,770,727,805
130,743,748,770,727,806
140,742,748,770,726,805
150,743,747,770,727,805
160,742,748,770,727,805
170,742,748,770,727,805
180,742,748,769,727,805
190,743,749,769,727,805
200,742,748,770,727,805
210,742,748,770,727,805
220,743,748,770,727,805
230,743,749,770,727,805
240,743,748,770,727,805
250,742,748,771,727,805
260,743,748,770,727,804
270,742,748,770,727,806
280,742,748,770,727,805
290,742,748,770,727,805
300,743,748,770,727,805
310,742,748,770,727,805
320,742,748,770,726,805
330,743,748,770,728,805
340,742,748,770,727,806
350,742,747,771,727,805
360,742,748,770,727,805
370,743,748,770,726,805
380,742,748,770,727,805
390,742,748,771,727,805
400,743,749,770,727,805
410,742,748,770,727,806
420,742,748,770,726,805
430,743,748,770,727,805
440,743,748,770,727,806
450,742,748,770,727,805
460,742,748,770,727,805
470,742,747,770,727,806
480,742,748,770,727,806
490,742,747,770,727,805
500,742,747,770,727,805
510,742,748,770,727,806
520,743,748,770,726,805
530,743,748,771,727,805
540,742,747,770,727,806
550,742,746,770,727,805
560,742,747,770,727,805
570,743,748,770,727,805
580,743,747,771,727,805
590,743,748,770,727,805
600,742,748,770,726,805
610,742,747,770,726,805
620,742,748,769,727,805
630,742,749,770,727,805
640,742,747,769,727,805
650,742,748,770,727,805
660,742,748,771,727,805
670,742,748,770,727,805
680,742,748,770,727,805
690,742,748,770,727,805
700,743,747,770,726,805
710,742,748,770,727,805
720,743,748,769,727,805
730,742,747,770,727,805
740,742,748,770,727,805
750,743,748,770,727,805
760,743,748,770,727,805
770,742,748,769,727,805
780,742,748,770,727,805
790,743,748,770,727,805
800,742,748,770,726,805
810,742,748,770,727,805
820,742,748,770,727,805
830,742,748,769,726,805
840,742,748,771,727,806
850,742,748,770,727,805
860,742,748,770,726,806
870,742,748,770,727,805
880,742,749,770,727,805
890,742,747,770,727,806
900,742,748,769,727,805
910,742,748,770,727,805
920,742,748,770,727,805
930,743,749,770,727,805
940,742,748,770,727,805
950,743,748,770,727,805
960,742,748,770,727,805
970,742,748,770,727,805
980,742,748,770,727,805
990,742,748,770,727,805
1000,742,749,770,727,805
1010,743,748,770,727,805
1020,741,748,770,727,805
1030,742,748,770,727,805
1040,742,748,770,727,805
1050,742,747,770,727,805
1060,742,748,770,727,805
1070,742,748,770,726,806
1080,742,748,770,726,805
1090,743,748,770,727,805
1100,742,748,770,727,805
1110,743,748,770,727,805
1120,742,748,769,726,805
1130,743,747,771,727,805
1140,743,748,770,727,806
1150,743,748,770,726,805
1160,742,748,770,727,805
1170,742,749,770,727,805
1180,742,748,770,726,806
1190,743,748,770,727,805
1200,742,747,770,727,805
1210,743,748,770,727,805
1220,742,749,769,727,804
1230,743,748,770,727,805
1240,742,748,770,727,805
1250,742,748,770,727,805
1260,743,749,770,727,805
1270,742,748,770,727,806
1280,743,748,770,727,805
1290,742,748,770,727,805
1300,743,748,770,726,805
1310,742,748,770,727,805
1320,742,748,770,727,805
1330,742,748,770,727,805
1340,742,748,770,727,805
1350,742,749,770,727,805
1360,743,748,770,727,805
1370,742,747,770,727,805
1380,742,749,770,727,805
1390,742,748,770,727,805
1400,742,747,770,726,805
1410,742,748,770,727,805
1420,742,748,770,727,805
1430,742,748,770,726,805
1440,742,748,770,727,805
1450,742,748,770,727,805
1460,742,748,770,727,805
1470,742,748,770,727,805
1480,742,748,770,727,805
1490,743,748,770,727,805
1500,742,747,770,727,805
1510,742,748,770,727,805
1520,742,748,770,726,805
1530,742,748,770,727,805
1540,742,748,770,727,806
1550,742,748,770,727,805
1560,743,748,770,727,805
1570,742,748,769,726,805
1580,743,748,770,727,805
1590,742,748,770,727,805
1600,742,748,770,726,805
1610,742,747,770,727,805
1620,742,748,770,727,805
1630,742,748,770,727,805
1640,742,748,770,727,805
1650,743,747,770,727,805
1660,742,747,770,727,805
1670,743,749,770,727,805
1680,743,748,770,726,805
1690,743,748,770,727,805
1700,743,749,770,727,805
1710,743,746,770,727,805
1720,743,748,770,727,806
1730,743,748,770,727,805
1740,743,747,770,727,805
1750,744,749,770,727,805
1760,745,748,770,727,806
1770,745,748,770,727,805
1780,745,749,771,727,805
1790,745,749,771,727,806
1800,747,749,771,727,805
1810,747,749,771,727,806
1820,749,749,771,727,806
1830,750,749,772,726,806
1840,751,750,772,727,806
1850,753,750,772,727,806
1860,755,749,772,727,806
1870,757,751,772,727,807
1880,759,751,773,727,807
1890,761,752,774,727,807
1900,763,752,775,728,807
1910,766,752,776,727,808
1920,769,753,776,728,808
1930,773,753,778,727,809
1940,777,754,779,728,809
1950,782,755,780,728,809
1960,786,756,780,729,811
1970,790,757,782,729,812
1980,795,757,783,730,812
1990,797,758,785,730,813
2000,800,759,786,731,812
2010,800,760,787,731,815
2020,802,760,788,733,817
2030,804,762,790,732,818
2040,805,762,792,734,820
2050,807,763,794,734,821
2060,810,765,795,735,823
2070,813,766,797,736,824
2080,814,767,799,737,825
2090,815,768,801,740,828
2100,818,770,801,742,829
2110,820,771,802,742,832
2120,821,773,805,744,834
2130,823,775,806,746,836
2140,824,776,807,747,837
2150,825,778,809,749,837
2160,827,780,810,751,841
2170,828,781,811,753,842
2180,829,782,813,755,843
2190,831,785,815,758,846
2200,831,786,816,760,847
2210,833,787,818,762,848
2220,834,789,819,763,849
2230,834,790,820,764,850
2240,836,792,822,766,852
2250,836,794,824,769,852
2260,837,795,824,769,853
2270,838,797,826,771,855
2280,839,798,827,773,856
2290,839,799,828,774,857
2300,840,801,829,775,858
2310,841,802,830,777,858
2320,842,803,833,776,860
2330,843,805,830,776,861
2340,843,806,831,778,862
2350,844,806,831,779,863
2360,845,808,831,778,861
2370,845,809,831,779,865
2380,845,810,832,779,865
2390,846,810,831,779,865
2400,847,811,831,779,866
2410,847,812,832,780,865
2420,847,813,833,780,866
2430,848,814,832,780,866
2440,848,814,833,780,867
2450,848,814,833,781,867
2460,848,814,835,781,868
2470,849,814,835,781,869
2480,849,814,836,781,870
2490,850,814,836,782,870
2500,849,814,836,782,871
2510,850,813,836,782,872
2520,851,814,837,782,871
2530,850,814,838,782,873
2540,851,815,837,782,872
2550,851,815,838,781,873
2560,851,815,839,782,872
2570,851,816,840,782,873
2580,851,818,840,782,873
2590,851,818,841,783,872
2600,852,818,840,784,872
2610,851,820,840,785,874
2620,851,822,841,786,874
2630,852,823,840,786,874
2640,852,824,841,787,876
