Time_ms,Thumb,Index,Middle,Ring,Pinky
0,735,728,755,715,789
10,735,728,755,715,789
20,735,728,755,715,789
30,735,728,755,715,789
40,735,729,755,715,789
50,735,728,755,716,789
60,735,728,755,715,788
70,735,729,755,715,789
80,735,728,755,715,790
90,735,729,755,715,789
100,735,729,755,715,789
110,735,728,755,715,788
120,736,728,755,716,789
130,735,729,755,715,789
140,735,728,755,715,789
150,735,728,755,715,789
160,736,729,755,715,789
170,735,729,755,715,790
180,735,728,755,716,789
190,736,728,755,715,789
200,735,729,755,715,789
210,735,729,755,715,790
220,735,728,755,715,789
230,735,728,755,715,789
240,735,728,755,715,790
250,735,729,755,715,789
260,735,729,755,715,789
270,735,728,755,715,789
280,736,729,755,715,790
290,735,729,755,715,790
300,735,729,755,715,789
310,736,729,755,716,789
320,735,729,755,715,788
330,735,728,755,715,789
340,735,728,755,715,789
350,735,729,755,715,790
360,735,729,755,715,789
370,735,729,755,715,789
380,735,728,755,715,789
390,735,729,755,716,789
400,735,728,755,715,789
410,735,728,755,716,789
420,736,729,755,715,789
430,735,728,755,715,789
440,735,729,755,715,789
450,735,728,755,715,789
460,735,729,755,715,789
470,735,728,755,715,789
480,735,728,755,715,788
490,735,728,755,715,789
500,735,729,755,715,789
510,735,729,755,715,789
520,735,728,755,716,789
530,735,728,755,715,789
540,736,729,755,716,789
550,736,729,755,715,790
560,735,729,755,715,789
570,735,729,755,715,790
580,735,728,755,715,790
590,735,728,755,715,789
600,735,728,755,716,790
610,735,728,755,715,789
620,735,728,755,715,789
630,735,729,755,715,788
640,735,729,755,715,790
650,735,728,755,716,789
660,735,728,755,715,788
670,735,728,755,716,789
680,735,729,755,715,789
690,735,729,755,715,789
700,735,729,755,715,789
710,735,729,755,716,789
720,735,729,755,715,789
730,735,729,755,716,789
740,736,728,755,716,790
750,735,729,755,715,789
760,735,729,755,716,789
770,735,728,755,715,789
780,735,728,755,715,789
790,735,728,755,715,789
800,735,729,755,715,789
810,735,728,755,715,789
820,735,728,755,715,788
830,736,729,755,716,790
840,735,729,755,715,789
850,735,728,755,715,789
860,735,729,755,715,789
870,735,728,755,716,789
880,736,729,755,715,789
890,735,729,755,715,790
900,735,728,755,716,789
910,736,728,755,716,789
920,735,729,755,715,790
930,735,728,755,715,790
940,735,728,755,715,789
950,735,728,755,715,789
960,736,729,755,715,789
970,735,728,755,716,790
980,735,728,755,715,789
990,735,729,755,716,790
1000,735,729,755,716,790
1010,735,729,755,715,789
1020,735,728,755,715,789
1030,735,729,755,715,789
1040,735,728,755,715,789
1050,736,729,755,715,788
1060,736,728,755,716,790
1070,736,729,755,715,789
1080,736,729,755,715,789
1090,736,728,755,716,790
1100,735,729,755,716,789
1110,736,729,755,716,790
1120,736,729,755,716,790
1130,736,729,755,716,790
1140,736,729,755,716,790
1150,736,729,755,715,789
1160,736,729,755,716,790
1170,737,729,755,716,790
1180,737,729,756,716,790
1190,738,729,756,716,790
1200,739,730,756,716,790
1210,740,731,756,717,791
1220,742,731,756,717,791
1230,744,733,756,718,791
1240,746,734,756,719,791
1250,749,735,757,720,792
1260,752,738,756,722,792
1270,755,739,757,724,792
1280,758,742,758,726,793
1290,762,744,758,727,793
1300,766,747,758,730,794
1310,770,750,758,732,795
1320,774,752,759,734,797
1330,778,755,760,736,798
1340,782,757,761,739,800
1350,786,760,762,741,802
1360,790,763,763,743,805
1370,794,765,764,746,807
1380,796,767,766,748,810
