Time_ms,Thumb,Index,Middle,Ring,Pinky
0,739,733,764,726,803
10,739,735,764,726,802
20,739,734,764,726,802
30,738,733,764,726,803
40,739,734,765,726,802
50,739,734,764,725,802
60,739,732,764,727,803
70,739,734,764,726,803
80,739,733,764,726,803
90,738,734,764,726,803
100,739,734,764,725,803
110,739,733,764,726,802
120,739,733,764,726,802
130,738,734,765,726,803
140,738,734,765,726,802
150,739,733,764,726,803
160,739,733,764,726,803
170,738,734,764,726,803
180,739,734,764,726,802
190,738,734,764,725,802
200,739,733,764,726,802
210,738,734,765,726,802
220,738,733,764,726,803
230,738,734,764,726,803
240,739,734,764,726,802
250,739,734,764,726,802
260,739,733,764,726,802
270,739,734,764,726,802
280,739,734,764,726,803
290,740,734,764,726,802
300,738,734,764,726,802
310,738,733,764,726,802
320,739,733,764,726,803
330,739,734,764,726,802
340,738,734,764,726,802
350,738,733,764,726,802
360,739,734,764,726,802
370,739,734,764,726,802
380,739,734,764,726,802
390,738,733,765,727,803
400,739,733,764,726,803
410,739,734,764,727,803
420,739,733,764,726,802
430,738,734,764,725,803
440,739,733,765,726,803
450,738,733,764,726,802
460,739,733,764,726,802
470,739,733,764,726,802
480,739,734,764,725,802
490,739,733,764,726,802
500,739,734,764,726,802
510,739,734,764,726,803
520,739,734,764,726,802
530,739,733,764,725,802
540,739,734,764,726,802
550,738,733,764,726,802
560,739,734,764,726,802
570,739,734,764,726,803
580,739,733,764,725,802
590,739,734,764,726,802
600,739,734,764,726,802
610,738,733,764,725,802
620,739,733,764,726,802
630,738,734,764,726,803
640,739,733,765,726,802
650,738,734,764,726,802
660,738,733,764,725,802
670,739,733,764,726,802
680,738,733,764,726,802
690,739,734,764,726,803
700,739,734,764,727,803
710,739,733,764,726,802
720,738,733,764,726,803
730,739,733,764,726,802
740,739,733,764,726,802
750,739,734,764,726,803
760,739,734,764,726,802
770,738,733,764,726,802
780,739,733,764,726,802
790,739,734,764,726,802
800,739,733,764,726,802
810,739,734,764,726,802
820,738,734,764,725,802
830,739,733,764,726,802
840,739,734,764,727,803
850,739,733,764,726,802
860,739,733,764,726,802
870,739,733,764,726,802
880,738,733,765,726,802
890,739,733,764,725,802
900,739,733,764,726,802
910,738,733,764,726,802
920,739,734,764,726,802
930,739,732,764,726,802
940,739,734,765,726,802
950,738,733,765,726,802
960,739,733,764,726,802
970,738,734,764,726,802
980,739,734,764,726,801
990,739,733,764,725,802
1000,738,734,764,725,802
1010,738,734,763,726,802
1020,738,734,764,726,802
1030,739,734,764,726,802
1040,739,733,764,726,802
1050,738,734,764,726,803
1060,740,733,764,726,802
1070,738,734,764,726,802
1080,739,734,764,726,802
1090,739,733,764,726,802
1100,739,733,764,726,803
1110,738,734,764,726,802
1120,739,733,764,727,802
1130,738,734,764,726,802
1140,739,733,763,726,802
1150,739,734,764,726,802
1160,739,734,764,726,802
1170,738,733,764,725,802
1180,738,734,764,726,802
1190,738,734,764,726,802
1200,738,734,764,725,802
1210,738,734,764,725,802
1220,738,734,764,725,802
1230,738,733,764,726,802
1240,738,734,764,726,801
1250,739,733,764,726,802
1260,738,733,764,726,803
1270,739,733,764,725,802
1280,739,734,764,726,802
1290,739,734,764,726,802
1300,738,734,764,725,801
1310,739,733,764,726,802
1320,739,733,764,726,803
1330,739,734,764,726,802
1340,739,733,764,726,803
1350,738,733,764,725,802
1360,738,733,764,726,802
1370,738,733,764,726,803
1380,739,733,764,726,802
1390,739,733,764,726,802
1400,739,732,764,726,803
1410,738,733,764,726,802
1420,739,733,764,726,802
1430,739,734,764,726,802
1440,738,733,765,726,802
1450,739,733,764,726,803
1460,739,734,764,725,802
1470,739,733,764,725,802
1480,739,733,764,725,802
1490,738,733,764,726,803
1500,739,733,764,726,802
1510,738,733,764,726,802
1520,738,734,763,726,802
1530,738,734,764,725,802
1540,738,733,764,726,802
1550,740,733,764,726,802
1560,740,734,764,725,802
1570,740,733,764,727,803
1580,740,734,764,725,803
1590,740,733,764,726,802
1600,740,734,765,726,803
1610,740,734,765,726,802
1620,740,734,764,726,802
1630,740,733,766,725,805
1640,741,734,765,726,803
1650,741,735,765,725,803
1660,741,734,765,726,802
1670,741,734,766,726,803
1680,743,735,766,725,802
1690,743,734,767,726,803
1700,744,735,767,726,803
1710,746,735,767,726,803
1720,746,736,767,726,803
1730,748,736,768,726,804
1740,749,737,770,726,803
1750,751,739,769,726,803
1760,752,739,770,726,804
1770,755,741,771,726,804
1780,757,743,772,726,804
1790,758,743,774,727,804
1800,760,746,775,728,805
1810,763,749,777,728,806
1820,763,751,779,728,806
1830,765,753,780,728,808
1840,767,756,783,729,808
1850,769,759,784,729,810
1860,770,762,785,730,811
1870,771,764,788,731,813
1880,772,768,789,731,814
1890,774,769,791,731,816
1900,776,772,794,733,819
1910,777,774,795,733,821
1920,777,777,796,735,824
1930,779,780,798,737,826
1940,779,781,800,737,829
1950,780,784,801,739,831
1960,781,786,802,742,833
1970,781,788,804,745,835
1980,782,790,805,747,837
1990,783,792,807,749,840
2000,784,794,808,751,840
2010,785,796,810,752,843
2020,785,797,813,754,844
2030,787,797,814,756,846
2040,788,799,815,757,847
2050,788,801,818,759,849
2060,789,802,820,762,850
2070,789,803,821,761,851
2080,791,804,822,765,854
2090,791,806,825,767,854
2100,792,805,825,767,856
2110,793,806,824,769,857
2120,793,810,826,771,858
2130,794,810,827,771,859
2140,796,811,828,773,860
