Time_ms,Thumb,Index,Middle,Ring,Pinky
0,741,734,770,727,810
10,741,735,770,726,810
20,741,734,770,727,809
30,741,734,770,726,810
40,741,735,770,726,809
50,742,734,770,726,809
60,741,733,770,727,810
70,741,734,770,726,810
80,741,734,770,727,810
90,741,734,770,726,809
100,741,734,770,726,810
110,742,735,770,726,810
120,741,734,770,726,810
130,742,735,771,727,810
140,742,734,770,726,809
150,741,734,769,727,810
160,741,735,770,726,809
170,742,734,770,726,810
180,741,734,770,726,810
190,741,734,770,726,811
200,741,734,770,726,811
210,741,734,770,726,810
220,741,734,770,726,809
230,741,734,770,727,810
240,741,734,770,726,810
250,742,734,770,726,810
260,741,735,770,727,809
270,741,734,770,725,810
280,741,734,770,726,810
290,742,734,770,727,809
300,742,734,770,727,810
310,741,734,771,726,810
320,742,734,770,726,810
330,742,734,770,726,810
340,741,734,770,726,810
350,741,733,770,726,810
360,742,734,771,726,810
370,741,734,770,726,810
380,741,734,770,726,809
390,741,734,770,727,810
400,742,734,770,726,809
410,741,734,770,726,809
420,741,734,770,726,810
430,741,734,770,727,810
440,742,734,770,726,810
450,741,734,770,726,811
460,742,734,771,726,810
470,741,734,770,726,810
480,742,734,770,726,810
490,741,734,770,726,810
500,742,735,769,726,809
510,742,734,770,727,810
520,741,734,770,726,810
530,741,734,770,727,809
540,741,734,770,726,810
550,741,734,770,726,810
560,741,735,770,727,810
570,742,734,770,726,810
580,741,734,771,725,808
590,742,734,771,726,810
600,742,734,769,726,810
610,741,734,770,727,810
620,741,734,770,726,810
630,742,734,770,726,810
640,741,733,771,726,810
650,742,735,770,726,810
660,741,734,770,726,810
670,741,734,770,726,810
680,741,734,770,726,810
690,741,734,770,726,810
700,741,734,770,726,809
710,741,735,770,726,810
720,742,734,770,726,810
730,741,734,770,726,810
740,741,734,770,726,810
750,741,734,770,727,810
760,741,734,770,726,809
770,741,734,770,726,809
780,741,734,770,726,810
790,742,734,770,726,809
800,742,734,770,726,810
810,742,734,770,726,810
820,741,734,770,727,809
830,741,734,769,726,809
840,742,734,770,727,810
850,741,734,770,726,810
860,741,734,770,726,809
870,741,734,770,726,810
880,741,734,770,727,810
890,741,734,770,726,809
900,741,734,770,726,810
910,741,734,770,726,810
920,741,734,770,726,810
930,741,734,770,726,810
940,741,734,770,725,810
950,741,734,770,726,810
960,741,735,770,726,810
970,741,734,770,726,809
980,741,734,770,726,810
990,741,734,770,726,810
1000,741,734,770,726,810
1010,741,734,770,726,810
1020,741,734,770,727,809
1030,741,734,770,726,810
1040,741,734,770,726,810
1050,742,734,770,726,810
1060,742,734,770,726,810
1070,741,734,770,726,811
1080,742,734,770,727,809
1090,741,734,770,726,810
1100,741,734,770,726,810
1110,741,734,770,727,809
1120,742,733,769,726,810
1130,741,735,771,726,810
1140,741,735,770,727,810
1150,742,734,770,727,810
1160,741,735,770,726,810
1170,741,734,770,726,810
1180,741,734,771,727,809
1190,742,735,769,726,810
1200,741,734,770,726,810
1210,741,734,770,726,810
1220,741,734,771,726,809
1230,741,734,771,727,810
1240,741,734,770,726,810
1250,741,734,770,727,810
1260,741,734,770,726,810
1270,741,735,770,726,810
1280,741,734,770,727,810
1290,741,735,770,726,809
1300,741,734,770,726,810
1310,742,733,770,726,809
1320,741,734,770,726,809
1330,741,735,770,727,810
1340,741,734,770,726,811
1350,742,734,770,726,810
1360,741,734,770,726,809
1370,741,734,770,726,809
1380,741,734,770,726,809
1390,741,734,770,726,809
1400,741,734,770,726,810
1410,741,734,770,727,809
1420,741,735,770,726,810
1430,742,734,770,726,810
1440,741,734,770,726,810
1450,741,734,770,726,809
1460,742,734,770,726,810
1470,742,734,770,726,810
1480,741,734,770,726,810
1490,742,735,770,726,810
1500,742,733,770,726,810
1510,742,735,770,726,810
1520,742,734,770,725,810
1530,742,734,770,726,809
1540,742,735,770,726,810
1550,742,735,770,727,810
1560,743,735,770,726,810
1570,744,734,772,727,810
1580,743,735,771,726,810
1590,744,735,771,726,810
1600,745,735,771,727,809
1610,745,736,771,726,811
1620,747,735,772,726,811
1630,748,735,772,726,811
1640,749,737,772,726,811
1650,750,737,772,726,812
1660,752,736,773,726,812
1670,754,739,774,726,811
1680,756,739,774,727,812
1690,758,739,774,726,812
1700,761,739,775,727,812
1710,763,740,776,726,812
1720,767,742,776,726,813
1730,769,742,778,727,813
1740,773,744,778,727,814
1750,777,744,780,727,814
1760,780,745,781,727,814
1770,784,746,783,727,815
1780,787,747,784,727,815
1790,790,748,786,729,817
1800,793,750,786,728,817
1810,796,751,790,728,818
1820,798,753,790,729,819
1830,801,755,792,729,821
1840,803,756,793,730,821
1850,806,758,795,730,821
1860,807,759,797,731,824
1870,810,761,798,733,824
1880,812,763,800,735,827
1890,813,765,801,736,828
1900,816,766,803,736,829
1910,818,769,804,739,832
1920,820,770,806,740,833
1930,821,772,808,742,834
1940,824,775,809,744,835
1950,825,776,811,746,839
1960,827,778,812,747,840
1970,828,780,814,749,842
1980,830,782,815,752,843
1990,832,784,816,753,843
2000,833,785,818,755,846
2010,835,787,819,757,847
2020,836,789,822,760,849
2030,837,792,822,762,851
2040,838,793,824,764,852
2050,839,795,825,766,850
2060,840,797,827,768,855
2070,841,798,828,770,855
2080,842,799,830,771,857
2090,843,802,830,773,859
2100,844,803,832,776,859
2110,845,803,833,776,860
2120,846,805,834,779,861
2130,846,806,835,779,860
2140,847,808,836,781,863
2150,847,809,837,783,863
2160,848,810,839,784,864
2170,849,811,840,786,866
2180,849,812,841,787,867
2190,850,813,841,788,868
2200,850,814,843,788,869
2210,851,814,844,790,869
2220,851,815,844,791,871
2230,851,817,845,791,869
2240,852,817,845,793,871
2250,853,818,846,795,872
2260,853,819,847,795,873
2270,853,820,848,796,874
2280,854,820,848,795,874
2290,854,821,849,795,875
2300,855,821,850,795,876
2310,855,822,850,795,876
2320,855,822,851,795,876
2330,855,822,852,795,879
2340,855,822,852,795,877
2350,856,822,852,796,877
2360,856,822,853,795,879
2370,857,822,855,795,876
2380,858,822,854,796,879
2390,857,823,855,796,880
2400,857,823,854,795,880
2410,858,824,854,795,880
2420,858,825,855,796,880
2430,858,826,854,795,881
2440,858,826,855,796,879
2450,859,826,854,796,882
2460,859,826,855,797,882
2470,860,827,854,796,883
2480,859,827,854,796,883
2490,859,827,854,796,883
2500,859,828,854,795,882
2510,860,828,854,796,883
2520,859,828,854,797,884
2530,859,828,854,797,884
2540,860,828,855,796,882
2550,860,828,854,797,884
2560,859,829,854,797,884
2570,859,828,854,797,885
2580,859,829,854,797,885
2590,859,830,854,796,885
2600,860,829,854,797,885
2610,859,830,854,797,887
2620,859,830,854,797,886
2630,860,829,855,797,887
2640,859,830,854,797,886
2650,859,830,855,797,887
2660,860,830,855,796,886
2670,860,830,855,797,887
2680,860,830,854,797,886
2690,859,830,855,797,885
2700,860,830,854,797,886
2710,860,830,854,797,886
2720,860,830,853,797,886
2730,860,830,854,797,886
2740,859,830,854,797,885
2750,859,830,856,797,885
2760,860,830,856,797,885
2770,860,830,855,797,885
2780,859,830,855,797,885
2790,859,830,855,797,885
2800,860,830,854,797,885
2810,859,831,854,798,885
2820,859,830,855,797,885
2830,860,830,855,797,883
2840,860,830,854,797,885
2850,859,830,855,798,885
2860,860,830,854,797,885
2870,860,830,854,797,885
2880,860,830,854,797,885
2890,859,831,854,797,885
2900,860,830,854,797,885
2910,859,830,854,797,885
2920,860,830,854,797,885
2930,860,831,854,796,885
2940,859,831,854,797,885
2950,860,830,854,798,885
2960,859,831,854,797,885
2970,860,831,855,797,885
2980,859,830,856,797,887
2990,859,831,856,797,884
3000,859,831,855,798,885
3010,860,831,855,797,882
3020,859,831,855,797,885
3030,860,830,855,797,885
3040,859,831,854,797,885
3050,860,831,855,797,885
3060,860,831,856,797,885
3070,860,831,855,797,885
3080,860,831,855,797,883
3090,859,831,855,797,884
3100,859,831,855,797,885
3110,860,832,855,797,882
3120,860,831,855,797,884
3130,859,831,855,797,884
3140,859,831,855,797,884
3150,859,831,854,797,884
3160,860,831,854,798,884
3170,859,831,854,797,885
3180,859,831,855,797,884
3190,860,831,854,797,884
3200,860,831,854,797,885
3210,860,832,854,796,884
3220,859,831,854,797,884
3230,859,831,854,797,885
3240,860,831,854,797,884
3250,859,831,854,797,884
3260,859,832,854,797,884
3270,859,832,855,797,882
3280,859,831,854,797,884
3290,859,831,854,797,884
3300,859,831,856,797,884
3310,859,831,856,797,886
3320,859,831,856,797,884
3330,859,831,856,798,884
3340,859,832,855,797,884
3350,859,831,856,797,884
3360,859,831,856,797,884
3370,859,832,856,797,886
3380,859,831,856,797,886
3390,859,831,856,797,884
3400,859,831,855,797,884
3410,860,831,855,797,884
3420,859,831,855,798,884
3430,859,831,856,797,883
3440,859,832,855,797,885
3450,860,831,856,797,885
3460,859,831,856,797,884
3470,859,831,855,797,882
3480,859,831,855,798,884
3490,859,831,855,798,884
3500,859,832,855,796,882
3510,859,831,855,797,884
3520,859,832,855,796,881
3530,858,832,855,798,884
3540,859,832,855,797,884
3550,859,831,855,797,884
3560,859,832,855,798,884
3570,859,831,855,797,881
3580,859,831,856,797,884
3590,859,832,854,797,884
3600,859,832,855,796,881
3610,859,831,855,797,884
3620,859,831,854,797,883
3630,859,832,854,796,884
3640,859,832,854,797,884
3650,859,831,855,796,881
3660,859,832,855,797,884
3670,859,832,854,797,884
3680,858,831,855,796,882
3690,859,832,855,797,884
3700,859,832,855,797,883
3710,859,832,854,796,883
3720,859,832,854,797,883
3730,859,832,855,797,884
3740,859,832,854,797,884
3750,858,832,855,796,881
3760,858,832,854,797,884
3770,859,832,854,797,884
3780,859,832,854,796,883
3790,859,832,854,796,883
3800,859,833,854,797,884
3810,859,832,854,797,883
3820,858,832,854,797,883
3830,858,831,854,796,884
3840,858,832,854,797,884
3850,859,832,854,796,883
3860,858,832,853,796,884
3870,859,832,853,797,884
3880,858,832,854,796,883
3890,858,833,854,796,883
3900,859,832,854,797,883
3910,859,832,855,796,883
3920,859,832,854,796,883
3930,859,833,854,796,884
3940,858,832,855,796,883
3950,859,833,853,797,883
3960,858,832,853,796,883
3970,859,832,854,796,883
3980,858,832,853,796,883
3990,858,833,854,796,883
