Time_ms,Thumb,Index,Middle,Ring,Pinky
0,759,735,770,726,811
10,758,735,770,726,811
20,758,734,770,726,811
30,758,735,770,726,811
40,759,735,770,726,811
50,758,735,771,726,811
60,760,735,770,726,811
70,758,736,770,726,811
80,758,734,770,727,810
90,758,735,770,725,811
100,758,734,770,726,812
110,757,734,770,726,811
120,758,735,770,726,811
130,758,735,770,726,811
140,757,735,770,726,811
150,758,735,770,726,811
160,759,734,770,726,811
170,758,734,770,726,811
180,758,735,770,726,811
190,758,735,770,726,811
200,759,735,770,727,811
210,759,735,770,726,811
220,759,735,769,726,812
230,759,735,770,726,811
240,758,735,770,726,811
250,760,735,769,727,811
260,758,734,770,727,811
270,758,735,770,726,811
280,757,735,770,726,811
290,756,735,770,726,811
300,757,735,770,725,811
310,757,736,770,726,811
320,757,735,770,726,811
330,758,735,770,726,811
340,759,735,770,726,811
350,761,734,771,726,811
360,761,734,770,726,811
370,760,735,770,726,811
380,759,734,770,726,811
390,759,735,770,727,811
400,759,735,770,726,811
410,759,734,770,726,811
420,759,735,771,727,811
430,759,735,770,726,811
440,758,735,770,726,811
450,760,734,770,727,811
460,759,735,770,726,811
470,759,735,770,726,811
480,759,735,771,726,811
490,759,735,770,726,811
500,759,735,770,727,811
510,760,735,770,726,811
520,760,735,770,726,811
530,759,735,770,727,812
540,761,735,770,726,811
550,761,734,770,726,811
560,760,735,771,726,811
570,759,735,770,726,811
580,759,734,770,726,810
590,759,735,770,726,811
600,759,734,770,726,811
610,759,735,770,726,811
620,759,735,770,726,811
630,759,735,770,726,811
640,760,734,770,727,810
650,760,735,770,727,811
660,758,735,771,726,812
670,758,735,770,726,811
680,759,735,770,726,811
690,758,736,770,726,811
700,759,735,770,726,811
710,759,735,771,727,810
720,759,734,770,726,811
730,759,735,770,726,811
740,759,734,770,727,811
750,759,735,770,726,811
760,759,735,771,726,811
770,759,735,770,726,812
780,759,736,770,726,811
790,759,735,770,726,810
800,759,735,770,726,811
810,759,735,771,726,811
820,759,735,770,726,811
830,761,734,771,726,810
840,760,734,770,726,811
850,760,736,770,726,811
860,758,735,771,727,811
870,759,735,770,727,812
880,759,735,770,726,811
890,759,735,770,726,811
900,759,735,770,726,811
910,759,736,770,726,811
920,759,735,771,726,811
930,760,734,770,726,811
940,760,735,770,726,811
950,759,735,771,727,811
960,759,734,770,726,811
970,759,735,770,727,811
980,759,736,770,726,811
990,760,735,770,726,811
1000,759,734,770,726,811
1010,759,735,771,727,812
1020,758,735,770,726,811
1030,760,734,770,726,811
1040,759,735,770,726,811
1050,759,735,770,726,812
1060,759,734,770,726,811
1070,759,734,770,726,811
1080,759,735,770,726,811
1090,760,735,770,726,811
1100,759,735,771,726,811
1110,759,735,770,726,811
1120,760,735,770,726,811
1130,761,735,770,727,811
1140,760,735,771,727,811
1150,759,735,770,726,811
1160,760,735,770,726,811
1170,759,735,770,726,811
1180,759,736,770,726,811
1190,759,735,771,726,811
1200,759,734,770,726,812
1210,759,735,770,726,811
1220,761,734,770,727,811
1230,761,735,770,726,811
1240,759,735,770,726,811
1250,759,735,770,726,811
1260,759,735,770,726,811
1270,759,735,770,726,811
1280,759,735,770,726,811
1290,759,735,770,727,812
1300,758,735,771,726,811
1310,759,735,770,727,811
1320,758,734,770,726,810
1330,759,735,770,726,811
1340,759,735,770,727,811
1350,759,735,770,726,811
1360,759,735,771,726,811
1370,759,735,770,726,811
1380,759,735,770,727,811
1390,759,735,771,727,812
1400,759,735,770,726,811
1410,759,735,771,726,809
1420,760,735,770,726,811
1430,759,735,771,727,811
1440,759,735,770,726,811
1450,760,735,770,726,812
1460,760,735,771,727,811
1470,760,735,771,727,812
1480,759,735,770,726,811
1490,759,735,771,727,812
1500,759,735,770,727,811
1510,759,735,771,727,811
1520,759,735,771,727,811
1530,760,735,770,726,811
1540,760,735,770,726,812
1550,760,736,770,727,812
1560,760,736,771,726,812
1570,760,735,771,726,812
1580,760,735,770,727,812
1590,760,736,770,727,811
1600,762,735,771,727,812
1610,762,734,771,727,812
1620,761,736,772,726,812
1630,761,736,771,727,812
1640,762,737,772,726,814
1650,762,736,772,726,812
1660,762,736,772,726,812
1670,763,737,773,726,812
1680,763,737,774,727,812
1690,764,737,773,727,812
1700,766,738,774,727,812
1710,766,738,774,727,813
1720,766,738,774,727,813
1730,767,740,774,727,813
1740,768,739,775,727,814
1750,769,740,775,727,814
1760,770,740,776,727,813
1770,772,740,777,728,815
1780,774,742,778,727,815
1790,775,742,778,728,814
1800,779,743,780,728,815
1810,779,744,780,728,816
1820,782,745,782,728,816
1830,784,746,783,728,817
1840,787,747,784,729,817
1850,789,747,785,729,818
1860,791,749,786,729,819
1870,793,750,787,730,820
1880,796,751,789,731,820
1890,798,752,790,731,821
1900,800,754,791,732,823
1910,801,755,793,733,824
1920,803,757,794,733,823
1930,805,758,796,734,825
1940,807,760,797,735,826
1950,809,762,799,736,825
1960,810,763,800,737,828
1970,813,765,801,739,829
1980,814,766,803,740,831
1990,816,768,804,742,832
2000,818,769,805,744,834
2010,819,772,807,745,835
2020,821,773,808,747,837
2030,822,775,810,749,839
2040,824,776,811,751,838
2050,826,778,812,751,843
2060,827,780,813,754,844
2070,829,782,815,755,843
2080,830,783,816,756,846
2090,831,785,818,758,847
2100,833,786,819,759,848
2110,833,787,820,761,850
2120,834,789,822,763,854
2130,836,791,824,765,852
2140,837,792,824,766,853
2150,838,794,826,767,856
2160,839,795,827,769,856
2170,840,796,828,771,857
2180,841,799,829,773,858
2190,842,799,831,774,859
2200,842,800,831,774,859
2210,843,801,831,776,861
2220,843,802,833,777,862
2230,844,803,835,778,863
2240,844,803,835,779,863
2250,845,806,836,780,866
