Time_ms,Thumb,Index,Middle,Ring,Pinky
0,736,733,771,729,789
10,736,733,771,728,789
20,737,733,771,729,789
30,737,733,771,728,787
40,736,733,771,729,789
50,736,733,771,728,790
60,736,733,770,729,789
70,736,734,771,729,789
80,736,733,771,728,789
90,736,733,771,729,789
100,736,733,771,729,790
110,736,733,771,729,789
120,736,733,771,729,789
130,736,733,771,729,789
140,736,733,772,728,790
150,737,733,771,729,789
160,736,734,771,728,790
170,736,733,771,729,789
180,736,733,771,729,789
190,737,734,770,729,789
200,736,733,771,729,789
210,737,733,770,729,789
220,736,733,771,729,789
230,736,733,771,729,789
240,736,733,771,729,789
250,736,733,771,729,789
260,736,733,771,729,789
270,737,733,771,729,790
280,736,734,771,729,790
290,736,733,771,728,789
300,737,733,771,729,789
310,737,733,771,729,789
320,736,734,771,728,789
330,736,733,771,729,789
340,736,733,771,729,789
350,736,733,771,729,790
360,737,733,771,729,789
370,736,733,771,729,789
380,736,733,771,728,789
390,737,733,771,728,789
400,737,733,770,729,789
410,737,733,770,729,789
420,736,733,771,728,788
430,736,733,771,729,789
440,736,733,772,729,789
450,736,733,771,729,789
460,737,733,771,729,789
470,736,733,771,729,789
480,736,733,770,729,789
490,736,733,771,729,789
500,736,733,771,728,788
510,736,733,771,729,789
520,737,734,771,729,789
530,736,733,771,729,787
540,736,733,771,728,789
550,736,733,772,728,790
560,736,733,771,729,788
570,737,733,771,728,789
580,736,734,771,729,789
590,737,733,771,729,789
600,736,733,771,729,788
610,736,733,771,729,789
620,736,733,771,729,789
630,737,733,771,729,789
640,736,733,772,729,789
650,737,733,771,728,790
660,736,733,770,729,789
670,737,732,771,728,789
680,736,733,771,729,789
690,736,733,771,729,789
700,736,733,771,729,789
710,736,734,771,728,788
720,737,732,771,729,789
730,736,733,770,729,789
740,736,733,771,729,790
750,736,733,771,729,789
760,736,734,770,729,789
770,736,733,771,729,789
780,736,733,771,729,789
790,736,733,771,729,789
800,736,733,771,728,789
810,736,733,772,729,789
820,736,733,771,728,788
830,736,734,771,728,789
840,736,733,770,728,789
850,736,734,771,729,789
860,736,733,771,728,789
870,736,733,770,728,789
880,736,733,771,729,789
890,736,733,771,729,789
900,736,733,771,729,789
910,736,733,771,729,789
920,737,733,771,729,789
930,736,733,771,729,789
940,736,733,771,729,789
950,736,733,771,729,789
960,736,733,771,729,789
970,736,733,770,729,789
980,737,733,771,729,789
990,736,733,771,729,789
1000,736,732,771,729,789
1010,736,733,771,729,789
1020,736,733,771,729,789
1030,736,733,771,728,788
1040,736,733,771,728,789
1050,736,733,771,729,789
1060,737,733,771,729,789
1070,736,733,771,728,789
1080,736,732,772,728,789
1090,736,733,771,729,789
1100,736,732,771,729,788
1110,736,733,771,729,789
1120,736,733,771,728,789
1130,736,734,771,728,789
1140,737,733,772,728,789
1150,736,733,771,728,789
1160,736,733,771,729,789
1170,737,733,771,728,789
1180,737,733,770,729,789
1190,737,734,771,728,789
1200,738,733,771,728,790
1210,738,734,770,728,790
1220,738,733,771,728,789
1230,738,734,770,729,789
1240,738,733,771,729,789
1250,738,733,771,728,789
1260,739,734,771,728,790
1270,740,734,770,729,790
1280,741,733,770,728,790
1290,742,733,770,728,790
1300,743,734,770,728,790
1310,745,734,769,728,790
1320,746,734,769,728,790
1330,748,735,769,729,791
1340,749,735,770,728,791
1350,750,735,770,728,792
1360,752,738,770,728,792
1370,753,738,770,729,792
1380,756,739,771,729,794
1390,757,741,771,729,794
1400,758,743,772,730,796
1410,760,745,773,729,797
1420,762,748,774,730,799
1430,763,750,776,731,800
1440,765,753,776,732,802
1450,767,756,779,733,805
1460,768,759,780,732,806
1470,769,762,781,734,808
1480,771,764,783,735,811
1490,772,768,783,735,813
1500,773,770,785,737,814
1510,775,773,787,738,815
1520,777,776,788,739,818
1530,778,778,790,741,820
1540,779,781,792,743,821
1550,782,782,794,745,823
1560,783,785,796,746,825
1570,784,786,798,748,826
1580,787,787,799,749,828
1590,788,790,801,751,829
1600,788,792,803,754,831
1610,790,793,806,755,832
1620,791,795,807,757,833
1630,791,798,810,758,834
1640,793,799,810,761,836
1650,794,801,812,762,837
1660,795,802,814,764,839
1670,797,804,816,765,839
1680,799,806,817,768,841
1690,800,808,819,771,842
1700,801,809,821,772,843
1710,802,810,823,773,844
1720,803,812,823,773,844
1730,804,813,824,775,846
1740,804,815,826,776,845
1750,806,817,827,777,847
1760,807,817,828,778,848
1770,807,819,829,780,848
1780,808,820,830,781,849
1790,808,822,832,783,851
1800,809,822,833,784,851
1810,809,824,833,785,852
1820,810,824,833,786,852
1830,810,825,833,786,853
1840,810,825,834,786,853
1850,811,824,834,787,855
1860,811,824,834,787,855
1870,811,824,834,787,855
1880,812,824,833,787,856
1890,812,824,833,787,857
1900,812,825,833,787,859
1910,813,824,833,787,859
1920,813,824,833,787,859
1930,813,824,834,787,860
1940,814,824,833,787,860
1950,814,825,833,787,861
1960,815,825,833,786,862
1970,817,827,833,786,862
1980,821,829,832,786,863
1990,822,829,833,786,863
2000,822,828,832,786,866
2010,822,828,831,785,864
2020,821,828,832,785,864
2030,821,829,832,785,867
2040,822,831,832,785,866
2050,824,830,832,786,865
2060,823,831,832,785,866
2070,824,830,832,785,866
2080,823,831,831,785,867
2090,824,830,831,784,866
2100,824,829,831,785,868
2110,824,831,831,785,869
2120,825,831,831,783,867
2130,825,831,831,784,868
2140,826,831,831,784,870
2150,827,831,831,785,870
2160,828,832,832,784,870
2170,829,833,831,783,868
2180,830,833,831,783,871
2190,830,832,831,784,871
2200,831,832,831,783,870
2210,831,832,831,784,869
2220,832,832,831,783,871
2230,832,832,831,783,871
2240,832,832,831,783,872
2250,833,832,831,783,872
2260,833,832,831,783,872
2270,833,832,831,783,871
2280,834,832,831,783,872
2290,834,832,830,783,873
2300,834,832,831,782,871
2310,834,832,831,783,873
2320,834,832,830,783,873
2330,834,832,831,783,873
