Time_ms,Thumb,Index,Middle,Ring,Pinky
0,739,749,766,728,805
10,739,749,766,728,805
20,740,749,766,728,804
30,739,749,766,728,805
40,739,750,766,728,804
50,739,750,765,728,805
60,740,749,766,728,804
70,740,750,766,728,805
80,739,749,766,728,804
90,739,749,766,728,805
100,739,749,766,728,805
110,739,750,766,728,805
120,739,749,766,728,805
130,739,749,766,729,805
140,739,750,766,728,805
150,739,750,766,728,805
160,739,749,766,728,804
170,740,749,766,728,804
180,739,749,766,728,805
190,740,749,766,728,805
200,739,750,766,727,806
210,740,750,766,728,805
220,739,751,766,728,804
230,739,749,766,729,805
240,739,749,766,728,805
250,739,750,766,727,804
260,739,749,766,728,803
270,740,750,766,728,805
280,740,749,766,729,804
290,739,749,766,728,805
300,739,750,766,728,807
310,739,749,766,727,805
320,739,749,765,728,805
330,739,749,767,728,805
340,739,748,766,728,805
350,739,749,766,728,805
360,739,749,766,728,805
370,739,749,766,727,804
380,739,749,766,728,805
390,739,749,766,728,805
400,739,749,766,727,807
410,738,749,766,728,805
420,739,750,766,728,804
430,739,749,766,728,805
440,739,749,766,728,804
450,740,747,766,728,804
460,739,749,766,728,804
470,739,749,766,728,804
480,739,750,765,727,804
490,740,750,766,728,805
500,739,749,766,728,805
510,739,749,766,728,805
520,739,750,766,727,807
530,739,750,766,728,805
540,739,748,766,729,804
550,739,750,766,727,803
560,739,749,766,728,805
570,740,749,766,728,804
580,740,750,766,728,805
590,739,749,766,729,805
600,739,749,766,729,804
610,739,750,766,728,804
620,739,750,766,728,804
630,739,749,766,728,805
640,739,749,766,728,803
650,739,748,766,728,805
660,739,749,766,728,805
670,739,749,766,728,805
680,739,749,766,728,805
690,739,750,766,728,805
700,738,749,766,727,805
710,739,749,766,728,805
720,739,749,766,728,805
730,739,749,767,728,805
740,739,750,766,728,803
750,739,749,766,728,804
760,739,750,766,727,804
770,739,749,766,728,804
780,740,749,766,727,807
790,739,749,766,728,805
800,740,749,765,728,805
810,739,749,766,727,805
820,739,749,766,728,805
830,738,748,766,728,805
840,739,749,765,728,805
850,739,749,766,728,804
860,739,749,766,728,805
870,739,749,766,728,805
880,739,749,766,727,806
