Time_ms,Thumb,Index,Middle,Ring,Pinky
0,748,734,774,714,799
10,748,735,774,714,799
20,748,735,774,714,799
30,748,735,774,714,799
40,748,734,774,714,799
50,748,735,774,714,799
60,748,736,774,714,799
70,748,735,774,714,799
80,748,735,774,714,799
90,749,736,774,714,799
100,748,735,774,714,799
110,748,735,774,714,799
120,748,735,774,714,799
130,748,735,774,714,799
140,748,735,774,714,799
150,748,734,774,714,799
160,748,735,774,714,799
170,748,735,774,714,799
180,748,734,774,714,799
190,748,736,773,714,798
200,748,735,774,714,799
210,748,735,774,714,799
220,748,734,774,714,799
230,748,735,774,714,799
240,748,734,774,714,799
250,748,735,774,714,799
260,748,736,774,714,799
270,749,735,774,714,799
280,748,735,774,714,799
290,748,735,774,714,799
300,748,735,775,715,799
310,748,735,774,714,799
320,748,734,774,714,799
330,748,735,774,715,799
340,748,734,774,714,799
350,748,736,774,713,799
360,748,735,774,714,799
370,748,735,774,714,799
380,748,735,774,714,799
390,749,735,774,714,799
400,748,735,773,714,799
410,748,735,774,715,799
420,748,735,774,714,799
430,748,735,774,714,799
440,748,735,774,714,799
450,748,736,774,714,799
460,748,735,774,714,799
470,749,735,774,715,799
480,748,735,774,714,799
490,748,735,774,714,799
500,748,735,774,714,799
510,748,735,774,715,799
520,748,735,774,714,799
530,748,734,775,714,799
540,748,735,774,714,799
550,749,735,774,714,799
560,748,735,773,714,798
570,748,735,774,714,799
580,748,735,774,713,799
590,748,735,774,714,798
600,748,734,774,715,799
610,748,735,774,714,799
620,748,734,774,714,799
630,748,735,774,714,799
640,748,735,774,714,799
650,748,735,774,714,798
660,748,736,774,714,799
670,748,735,774,714,799
680,749,734,774,714,799
690,748,735,774,714,799
700,748,735,774,715,798
710,748,735,774,713,799
720,748,735,774,714,799
730,748,735,774,714,799
740,749,736,774,714,799
750,748,735,774,714,799
760,748,735,774,714,798
770,748,735,774,714,799
780,748,735,774,714,799
790,748,735,774,714,799
800,748,735,774,714,799
810,748,734,774,714,799
820,749,735,774,714,799
830,748,735,774,714,799
840,748,735,773,714,799
850,748,735,774,714,799
860,748,735,774,714,798
870,748,735,773,714,798
880,749,735,774,714,799
890,748,734,774,713,799
900,748,735,774,714,798
910,748,735,774,714,799
920,748,735,774,714,799
