Time_ms,Thumb,Index,Middle,Ring,Pinky
0,738,731,752,714,789
10,738,731,752,713,790
20,738,731,753,714,789
30,738,731,752,714,789
40,738,731,752,714,789
50,738,731,753,714,789
60,738,731,753,714,789
70,738,731,752,714,789
80,738,731,753,714,789
90,738,731,752,714,789
100,738,731,752,714,789
110,738,731,752,714,789
120,738,731,753,714,789
130,738,731,752,714,789
140,738,731,753,714,789
150,738,730,753,714,789
160,738,731,752,714,789
170,738,731,753,714,789
180,738,731,753,714,789
190,738,731,752,714,789
200,738,731,752,714,789
210,738,731,752,714,791
220,738,731,753,714,789
230,738,731,752,714,789
240,738,731,753,714,789
250,738,731,752,714,789
260,738,731,752,714,790
270,738,731,752,714,789
280,738,731,752,714,789
290,738,731,752,714,789
300,738,731,752,714,789
310,738,731,752,714,789
320,738,731,753,714,789
330,738,731,753,714,789
340,738,731,753,714,789
350,738,731,752,714,789
360,738,731,752,714,789
370,738,731,752,714,789
380,738,731,752,714,789
390,738,731,753,714,789
400,738,731,752,714,789
410,738,731,752,714,789
420,738,731,752,714,789
430,738,731,753,714,789
440,738,731,753,714,789
450,738,731,753,714,789
460,738,731,753,714,789
470,738,731,753,714,789
480,738,731,752,713,790
490,738,731,753,714,789
500,738,731,752,714,789
510,738,731,753,714,789
520,738,731,753,714,789
530,738,731,753,714,789
540,738,731,752,714,789
550,738,731,752,714,789
560,738,731,752,714,789
570,738,731,752,714,789
580,738,731,753,714,789
590,738,731,753,714,789
600,738,731,752,714,789
610,738,731,753,713,789
620,738,731,753,714,789
630,738,731,753,714,789
640,738,731,753,714,789
650,738,731,753,714,789
660,738,731,752,714,789
670,738,731,752,714,789
680,738,731,753,714,789
690,738,731,752,714,789
700,738,731,752,714,789
710,738,730,753,714,789
720,738,730,753,714,789
730,738,731,752,714,789
740,738,731,752,714,789
750,738,731,753,714,789
760,738,731,752,714,789
770,738,731,753,714,789
780,738,731,752,714,789
790,738,731,752,714,789
800,738,731,752,714,789
810,738,731,753,714,789
820,738,731,753,714,789
830,738,731,752,714,789
840,738,731,752,714,789
850,738,731,753,714,789
860,738,731,752,714,789
870,738,731,752,714,789
880,738,731,752,714,789
890,738,731,753,713,789
900,738,731,753,714,789
910,738,731,753,714,789
920,738,731,753,713,789
930,738,731,753,714,789
940,738,731,752,714,789
950,738,731,753,714,789
960,738,731,753,714,789
970,738,731,752,714,789
980,738,731,753,714,789
990,738,731,753,714,789
1000,738,730,753,714,789
1010,738,730,753,714,789
1020,738,731,753,714,788
1030,738,731,752,714,789
1040,738,731,752,714,789
1050,738,731,753,714,789
1060,738,731,752,714,789
1070,738,731,752,714,789
1080,738,731,752,714,789
1090,738,731,753,714,789
1100,738,731,753,714,789
1110,738,730,753,714,789
1120,738,730,753,714,789
1130,738,730,753,714,789
1140,739,730,753,714,789
1150,739,729,753,714,789
1160,740,730,753,714,789
1170,740,730,753,714,789
1180,741,729,753,715,789
1190,741,729,753,714,789
1200,741,729,753,715,789
1210,742,730,754,715,789
1220,743,730,754,715,790
1230,744,729,753,715,789
1240,745,730,753,715,789
1250,746,730,754,716,789
1260,747,730,754,717,789
1270,749,731,754,718,790
1280,751,732,754,719,790
1290,754,733,754,720,790
1300,757,735,755,721,790
1310,760,736,755,723,791
1320,763,737,755,724,791
1330,767,739,755,726,791
1340,771,740,756,728,792
1350,775,743,757,730,793
1360,779,746,757,732,795
1370,783,748,758,734,796
1380,786,750,760,737,798
1390,789,753,761,738,800
1400,792,755,762,741,803
