Time_ms,Thumb,Index,Middle,Ring,Pinky
0,739,728,754,715,792
10,739,728,754,716,792
20,739,728,754,715,792
30,739,728,753,715,792
40,739,728,754,715,792
50,739,728,754,715,791
60,739,728,754,715,792
70,739,727,754,715,792
80,739,728,754,715,792
90,739,728,754,715,792
100,739,728,754,715,792
110,739,727,754,715,792
120,739,728,754,715,792
130,739,728,754,715,792
140,739,727,754,715,791
150,739,727,754,715,792
160,739,728,754,715,792
170,739,728,754,715,792
180,739,728,754,715,792
190,739,727,753,715,792
200,739,728,754,715,792
210,739,728,754,715,791
220,739,728,754,715,792
230,739,728,754,715,792
240,739,727,754,715,791
250,739,728,754,715,791
260,739,728,753,715,792
270,739,728,754,715,792
280,739,728,754,715,792
290,739,728,754,715,791
300,739,728,754,715,792
310,739,728,754,715,792
320,739,728,754,715,791
330,739,728,754,715,792
340,739,728,754,715,792
350,739,728,754,715,792
360,739,728,754,715,791
370,739,728,754,715,792
380,739,728,754,715,792
390,739,727,754,715,792
400,739,728,754,715,792
410,739,728,754,715,792
420,739,728,754,715,792
430,739,727,754,715,791
440,739,728,754,715,792
450,739,728,754,715,791
460,739,728,754,715,791
470,739,728,754,715,792
480,739,727,754,715,792
490,739,728,754,715,791
500,740,728,754,715,792
510,739,728,754,715,792
520,739,728,754,715,792
530,739,728,754,715,791
540,739,728,754,715,791
550,739,728,754,716,791
560,739,728,754,715,791
570,739,728,754,715,791
580,739,728,754,715,792
590,739,727,754,715,791
600,739,728,754,715,791
610,739,728,754,715,792
620,739,727,754,715,791
630,739,727,754,715,791
640,739,728,754,715,792
650,739,728,754,715,791
660,739,728,753,715,791
670,739,727,754,715,791
680,739,728,754,715,791
690,739,728,754,715,792
700,739,728,754,715,792
710,739,728,754,715,791
720,739,727,754,715,791
730,739,728,754,715,791
740,739,728,754,715,792
750,739,727,754,715,792
760,739,728,754,715,791
770,739,728,754,715,791
780,739,727,754,715,792
790,739,728,754,715,791
800,739,728,754,715,791
810,739,727,754,715,791
820,739,728,754,715,792
830,739,728,753,715,791
840,739,727,753,715,791
850,739,728,754,715,791
860,739,728,754,715,792
870,739,728,754,715,791
880,739,728,754,716,791
890,739,727,754,715,792
900,739,727,754,715,791
910,739,727,754,715,791
920,739,728,754,715,792
930,739,728,754,715,791
940,739,728,754,715,791
950,739,727,754,715,791
960,739,728,754,715,791
970,739,728,753,715,791
980,739,728,754,715,791
990,739,728,754,716,791
1000,739,728,754,715,791
1010,739,728,754,715,791
1020,739,728,754,715,791
1030,739,728,754,715,791
1040,739,727,754,715,791
1050,739,728,754,715,791
1060,739,728,754,715,792
1070,739,728,754,715,791
1080,739,728,754,715,791
1090,739,728,754,715,792
1100,739,727,754,715,792
1110,739,728,754,716,792
1120,740,728,754,716,792
1130,740,728,754,716,792
1140,740,728,754,716,791
1150,740,728,754,716,791
1160,741,728,754,716,792
1170,741,729,754,716,792
1180,741,728,754,716,792
1190,741,729,754,716,792
1200,741,729,754,717,792
1210,741,729,754,717,792
1220,742,730,755,717,792
1230,742,729,754,717,792
1240,742,729,755,717,792
1250,743,729,755,718,792
1260,744,730,755,718,793
1270,745,730,755,719,793
1280,745,731,756,719,795
1290,746,731,756,720,793
1300,747,732,756,721,794
1310,749,732,756,722,795
1320,750,733,757,723,796
1330,752,734,757,725,797
1340,751,735,757,726,798
1350,752,736,758,728,799
1360,754,737,758,729,800
1370,755,738,759,730,802
1380,756,739,759,732,803
1390,758,739,760,733,805
1400,758,741,761,735,808
1410,759,742,762,737,810
1420,760,743,762,739,812
1430,761,744,763,741,815
1440,762,745,764,743,817
1450,764,746,765,745,819
1460,765,747,765,746,822
1470,767,748,766,748,825
1480,768,749,767,749,826
1490,770,750,768,751,828
1500,771,751,769,753,830
1510,772,752,769,755,832
1520,773,752,770,757,835
1530,775,754,771,759,836
1540,776,755,771,761,837
1550,777,755,772,762,840
1560,778,757,773,765,841
1570,780,759,774,765,842
1580,781,760,774,767,845
1590,782,761,775,769,846
1600,783,762,776,771,847
1610,785,763,777,772,849
1620,786,765,777,774,850
1630,785,766,778,775,852
1640,783,767,779,777,853
1650,784,767,780,779,854
1660,783,768,780,781,856
1670,783,768,780,782,857
1680,783,769,782,783,858
1690,783,769,782,785,859
1700,783,770,783,785,860
1710,783,769,783,788,861
1720,783,770,783,788,862
1730,783,769,784,790,863
1740,783,769,785,791,864
1750,784,769,785,792,865
1760,784,769,786,793,866
1770,784,769,787,794,867
1780,785,769,787,795,867
1790,786,768,788,797,869
1800,787,768,788,798,870
1810,787,768,789,796,870
1820,787,768,789,798,871
1830,788,768,790,797,871
1840,788,768,791,797,872
1850,788,767,791,797,873
1860,788,767,792,797,872
1870,788,768,792,797,874
1880,788,767,792,796,874
1890,788,767,793,797,875
1900,789,767,793,797,876
1910,789,767,794,797,876
1920,789,767,794,797,877
1930,789,767,795,797,877
1940,789,767,795,797,877
1950,789,766,796,797,877
1960,789,766,796,797,878
1970,789,766,796,797,879
1980,789,766,797,797,879
1990,789,766,797,798,879
2000,789,766,798,798,880
2010,789,766,798,798,880
2020,789,766,799,799,881
2030,789,766,799,799,881
2040,789,765,799,799,881
2050,789,766,799,799,882
2060,789,765,799,799,882
2070,789,766,800,800,882
2080,789,765,800,800,883
2090,789,766,800,800,883
2100,789,765,801,800,883
2110,789,765,801,800,883
2120,789,766,801,801,884
2130,788,766,802,801,884
2140,788,766,802,801,884
2150,788,765,801,801,883
2160,788,765,801,801,884
2170,788,766,801,801,885
2180,789,765,801,802,885
2190,789,766,801,802,886
2200,789,766,802,802,887
2210,789,765,801,803,887
2220,789,766,801,803,887
2230,789,766,801,803,887
2240,790,765,801,803,886
2250,789,765,802,804,887
2260,790,765,801,804,888
2270,790,765,801,804,888
2280,790,765,801,804,888
2290,790,765,801,805,888
2300,791,765,802,805,888
2310,791,765,801,805,888
2320,791,765,801,805,889
2330,790,765,801,805,889
2340,791,765,801,805,887
2350,791,765,801,805,889
2360,791,765,801,806,889
2370,791,765,801,806,889
2380,791,765,801,806,890
2390,791,765,801,806,890
2400,791,765,801,806,890
2410,791,765,802,806,890
2420,791,765,801,806,890
2430,791,764,801,806,889
2440,792,765,801,806,889
2450,791,765,801,806,890
2460,791,765,801,806,890
2470,791,765,801,806,890
2480,791,765,801,806,890
2490,791,765,801,806,890
2500,792,765,801,807,890
2510,792,765,801,806,890
2520,792,765,801,807,891
2530,792,764,801,807,889
2540,792,765,801,807,891
2550,792,765,801,807,891
2560,793,765,802,807,891
2570,793,765,801,807,891
2580,792,764,802,807,891
2590,793,764,801,807,891
2600,793,764,801,807,891
2610,793,764,802,807,891
2620,793,764,802,807,891
2630,793,764,801,807,891
2640,793,764,801,807,891
2650,793,764,802,808,891
2660,793,764,802,807,892
2670,794,764,802,807,892
2680,794,764,802,807,891
2690,794,764,802,807,892
2700,794,764,802,807,892
2710,794,764,802,807,891
2720,794,764,802,807,891
2730,794,765,802,807,892
2740,794,764,802,807,892
2750,794,764,801,807,892
2760,794,764,802,807,892
2770,794,764,802,807,892
2780,794,764,802,807,892
2790,794,764,801,807,892
2800,794,764,801,807,892
2810,794,764,802,807,892
2820,794,764,801,807,891
2830,794,764,801,807,892
2840,794,764,802,807,892
2850,794,764,801,807,893
2860,794,764,802,807,893
2870,794,764,802,807,893
2880,794,763,801,807,893
2890,794,764,802,808,892
2900,794,764,802,808,893
2910,795,764,801,807,892
2920,794,763,801,807,892
2930,794,764,802,808,892
2940,794,764,802,807,892
2950,794,764,801,807,893
2960,794,763,802,808,893
2970,794,764,802,808,892
2980,794,764,801,807,893
2990,794,763,802,808,893
3000,795,763,802,807,893
3010,794,763,801,808,891
3020,794,764,802,808,893
3030,795,763,802,807,893
3040,794,763,802,808,893
3050,794,763,802,808,892
3060,794,763,801,808,893
3070,795,763,802,808,893
3080,795,763,801,808,893
3090,794,763,801,808,893
3100,795,764,802,807,893
3110,795,763,801,807,893
3120,795,763,801,808,893
3130,795,763,802,808,893
3140,795,763,801,808,893
3150,795,763,801,808,893
3160,795,763,801,807,893
3170,794,763,802,808,893
3180,795,763,801,808,893
3190,794,763,802,807,893
3200,795,763,801,808,892
3210,795,763,801,808,893
3220,794,763,801,808,893
3230,795,763,801,808,893
3240,795,763,801,808,893
3250,794,763,801,808,893
3260,795,763,801,808,893
3270,794,763,802,808,893
3280,794,763,801,808,893
3290,795,763,801,808,893
3300,795,763,801,807,892
3310,795,763,801,808,893
3320,795,763,801,808,893
3330,795,763,801,808,893
3340,795,763,801,808,893
3350,795,763,801,808,893
3360,795,763,801,808,893
3370,795,763,801,808,893
3380,795,763,802,808,893
3390,795,763,801,807,892
3400,795,763,801,808,892
3410,795,763,801,808,893
3420,795,763,801,808,893
3430,795,763,801,808,893
3440,795,763,801,808,893
3450,795,763,802,808,893
3460,795,763,801,808,893
3470,795,763,801,808,893
3480,795,763,801,807,893
3490,795,762,801,808,892
3500,795,763,801,808,893
3510,795,763,801,808,893
3520,795,763,801,807,893
3530,795,763,801,808,893
3540,795,763,801,808,893
3550,795,763,802,808,893
3560,795,763,801,807,893
3570,795,763,801,808,893
3580,795,763,801,808,893
3590,795,763,801,807,892
3600,795,763,802,807,893
3610,795,763,801,808,893
3620,795,763,801,807,893
3630,795,763,801,808,893
3640,795,763,801,808,893
3650,795,763,801,808,893
3660,795,763,801,808,893
3670,795,763,801,807,893
3680,795,763,801,808,892
3690,795,763,800,807,893
3700,795,763,801,808,893
3710,795,763,801,808,893
3720,795,763,801,807,893
3730,795,763,801,807,893
3740,795,763,800,807,893
3750,795,763,801,807,893
3760,795,763,801,807,893
3770,795,763,801,807,894
3780,795,762,801,807,893
3790,795,763,801,807,893
3800,795,763,801,807,893
3810,795,763,801,808,894
3820,795,763,801,807,893
3830,795,763,801,807,893
3840,795,763,800,807,893
3850,795,763,801,808,893
3860,795,763,801,807,894
3870,795,762,801,807,894
3880,795,762,801,807,892
3890,795,763,801,807,894
3900,795,762,800,807,894
3910,795,763,801,807,894
3920,795,763,801,807,893
3930,795,763,801,807,893
3940,795,763,801,807,893
3950,795,763,801,807,894
3960,795,762,801,807,893
3970,795,762,801,807,892
3980,795,763,800,807,893
3990,795,763,800,808,894
