Time_ms,Thumb,Middle,Pinky
0,742,769,804
10,741,769,805
20,742,769,804
30,742,769,805
40,741,769,804
50,742,769,805
60,742,769,805
70,741,769,804
80,741,769,804
90,742,768,805
100,742,769,804
110,741,769,804
120,741,768,805
130,742,769,804
140,742,769,805
150,741,769,804
160,742,769,805
170,742,768,804
180,741,770,804
190,741,768,804
200,741,768,805
210,742,769,804
220,742,769,805
230,742,769,804
240,742,770,804
250,742,769,805
260,742,769,805
270,741,769,804
280,742,769,804
290,742,769,804
300,742,769,804
310,742,769,805
320,742,770,804
330,741,769,804
340,742,768,804
350,742,769,804
360,742,769,805
370,742,769,805
380,742,769,803
390,742,769,804
400,742,768,805
410,742,769,804
420,742,769,804
430,741,769,804
440,741,769,805
450,742,769,805
460,741,769,804
470,742,769,805
480,742,768,805
490,741,769,804
500,741,768,805
510,742,769,804
520,742,768,805
530,741,768,804
540,742,769,804
550,742,769,802
560,741,769,805
570,742,768,805
580,741,769,804
590,741,769,804
600,742,768,804
610,742,769,804
620,741,768,805
630,741,769,804
640,742,769,804
650,741,769,805
660,741,769,804
670,741,769,804
680,742,769,802
690,741,768,804
700,741,768,804
710,741,769,803
720,742,769,804
730,741,769,805
740,742,769,804
750,741,769,804
760,742,768,805
770,742,769,804
780,741,768,804
790,741,769,804
800,742,769,804
810,742,768,804
820,741,769,804
830,742,769,804
840,742,769,804
850,742,769,804
860,741,769,804
870,742,768,804
880,741,768,804
890,741,769,805
900,742,768,804
910,742,768,804
920,741,768,804
930,741,769,804
940,742,770,804
950,741,768,804
960,741,768,804
970,741,769,805
980,742,769,804
990,742,768,804
1000,741,768,804
1010,742,769,802
1020,742,769,804
1030,741,769,804
1040,741,768,804
1050,742,770,804
1060,741,768,804
1070,742,769,804
1080,741,769,804
1090,741,769,804
1100,741,768,804
1110,741,769,802
1120,741,769,804
1130,742,769,804
1140,741,768,805
1150,741,768,804
1160,741,769,802
1170,741,769,804
1180,742,769,804
1190,742,769,804
1200,741,769,804
1210,742,768,804
1220,742,769,805
1230,741,769,804
1240,742,769,804
1250,742,768,804
1260,741,769,804
1270,741,768,804
1280,741,769,804
1290,742,768,804
1300,742,770,805
1310,741,769,805
1320,741,770,804
1330,741,769,804
1340,742,770,804
1350,741,769,804
1360,741,769,805
1370,741,768,804
1380,741,769,804
1390,741,769,805
1400,742,768,804
1410,741,769,804
1420,741,768,805
1430,741,769,804
1440,742,770,804
1450,741,769,803
1460,741,768,804
1470,742,768,804
1480,741,768,804
1490,742,769,804
1500,741,769,804
1510,741,769,804
1520,742,768,803
1530,741,769,804
1540,741,769,804
1550,741,769,802
1560,742,770,804
1570,741,768,804
1580,741,769,804
1590,741,769,804
1600,742,768,804
1610,741,769,804
1620,742,769,804
1630,742,769,803
1640,742,769,804
1650,741,769,804
1660,742,769,804
1670,742,769,804
1680,742,769,804
1690,742,769,804
1700,743,769,804
1710,742,769,804
1720,743,769,805
1730,743,770,804
1740,745,769,804
1750,744,770,805
1760,745,770,805
1770,746,770,804
1780,747,770,805
1790,747,770,805
1800,749,770,805
1810,750,770,805
1820,752,771,806
1830,753,771,806
1840,755,771,805
1850,758,772,806
1860,761,773,806
1870,764,773,806
1880,766,774,807
1890,769,775,808
1900,772,776,808
1910,774,777,808
1920,778,778,809
1930,780,780,809
1940,784,780,810
1950,788,782,811
1960,790,783,812
1970,793,784,814
1980,795,785,814
1990,797,786,815
2000,799,788,817
2010,800,789,816
2020,803,792,821
2030,805,793,822
2040,807,795,822
2050,809,796,827
2060,810,798,827
2070,811,800,828
2080,813,801,831
2090,814,802,832
2100,817,803,834
2110,818,805,836
2120,819,807,837
2130,821,807,839
2140,823,808,841
2150,823,810,843
2160,824,812,846
2170,826,813,845
2180,827,814,847
2190,828,815,847
2200,829,817,849
2210,830,818,850
2220,832,820,851
2230,832,820,852
2240,833,823,854
2250,834,823,855
2260,834,824,856
2270,836,827,856
2280,836,827,857
2290,837,828,858
2300,838,830,859
2310,838,831,861
2320,839,831,859
2330,839,833,862
2340,840,833,863
2350,840,834,863
2360,841,836,864
2370,841,836,867
2380,842,836,865
2390,842,837,867
2400,843,839,867
2410,843,840,868
2420,844,839,868
2430,844,839,869
2440,844,839,867
2450,845,839,869
2460,846,839,869
2470,846,840,869
2480,846,840,870
2490,846,839,870
2500,846,839,868
2510,847,840,871
2520,847,839,871
2530,847,839,871
2540,848,840,871
2550,847,840,871
2560,847,841,871
2570,847,840,872
2580,849,840,873
2590,848,839,871
2600,848,840,875
2610,848,841,876
2620,848,840,876
2630,848,840,876
2640,848,840,876
2650,849,840,875
