Time_ms,Thumb,Middle,Pinky
0,736,755,790
10,736,755,790
20,736,755,790
30,736,755,790
40,736,755,790
50,736,755,790
60,737,755,788
70,736,755,790
80,736,755,790
90,736,755,790
100,736,755,790
110,736,755,789
120,736,755,790
130,736,755,790
140,736,755,790
150,736,755,789
160,736,755,790
170,736,755,790
180,736,755,790
190,736,755,790
200,736,755,790
210,736,755,790
220,736,755,790
230,736,755,790
240,736,755,790
250,736,755,790
260,736,755,790
270,736,755,790
280,736,755,790
290,736,755,790
300,736,755,790
310,736,755,790
320,736,755,789
330,736,755,790
340,736,755,790
350,736,755,790
360,736,755,790
370,736,755,790
380,736,755,790
390,736,755,790
400,736,755,790
410,737,755,790
420,736,755,790
430,736,755,790
440,736,755,790
450,736,755,790
460,736,755,791
470,736,755,790
480,736,755,788
490,736,755,790
500,736,755,790
510,736,755,790
520,736,755,790
530,736,755,790
540,736,755,790
550,736,755,790
560,736,755,790
570,736,755,790
580,736,755,788
590,736,755,790
600,736,755,790
610,736,755,789
620,736,755,790
630,736,755,788
640,736,755,790
650,736,755,790
660,736,755,790
670,736,755,790
680,736,755,790
690,736,755,789
700,736,755,790
710,736,755,790
720,736,755,789
730,736,755,790
740,736,755,790
750,736,755,790
760,736,755,790
770,736,755,790
780,736,755,790
790,736,755,790
800,736,755,790
810,736,755,790
820,736,755,790
830,736,755,790
840,736,755,790
850,736,755,790
860,736,755,790
870,736,756,790
880,736,755,790
890,736,755,789
900,736,755,790
910,736,755,790
920,736,755,789
930,736,755,790
940,736,755,790
950,736,755,790
960,736,755,790
970,736,755,790
980,736,755,790
990,736,755,790
1000,736,755,790
1010,736,755,790
1020,736,755,790
1030,736,755,789
1040,736,755,790
1050,736,755,790
1060,736,755,790
1070,736,755,790
1080,736,755,790
1090,736,755,790
1100,736,755,790
1110,736,755,790
1120,736,755,790
1130,736,755,791
1140,736,755,790
1150,736,755,790
1160,736,755,790
1170,736,755,790
1180,736,755,789
1190,736,755,790
1200,736,755,790
1210,736,755,790
1220,736,755,789
1230,736,755,790
1240,736,755,790
1250,736,756,789
1260,736,755,790
1270,736,755,790
1280,736,755,789
1290,737,755,789
1300,736,755,790
1310,736,755,790
1320,736,755,790
1330,736,755,790
1340,737,755,790
1350,736,755,790
1360,736,754,790
1370,737,755,790
1380,736,756,789
1390,736,755,788
1400,736,755,790
1410,736,755,790
1420,736,755,790
1430,737,755,790
1440,736,755,788
1450,736,755,790
1460,736,755,790
1470,736,755,789
1480,736,755,789
1490,736,755,790
1500,736,756,790
1510,737,755,790
1520,736,755,789
1530,736,755,790
1540,736,755,790
1550,736,755,790
1560,736,755,790
1570,736,755,790
1580,736,755,790
1590,736,755,790
1600,736,755,790
1610,736,754,790
1620,736,755,790
1630,736,755,790
1640,736,755,791
1650,736,755,789
1660,736,755,790
1670,736,755,790
1680,736,755,790
1690,736,755,790
1700,736,755,790
1710,736,755,790
1720,737,755,790
1730,736,755,789
1740,736,755,790
1750,736,755,790
1760,736,755,790
1770,736,755,790
1780,736,755,790
1790,736,755,790
1800,736,755,790
1810,736,755,789
1820,736,755,790
1830,736,755,790
1840,736,755,790
1850,736,755,790
1860,736,755,790
1870,737,755,790
1880,736,755,790
1890,736,755,790
1900,736,755,790
1910,736,755,790
1920,736,755,790
1930,737,755,790
1940,736,755,789
1950,736,755,790
1960,737,756,790
1970,737,755,790
1980,737,756,791
1990,737,756,790
2000,737,756,791
2010,738,756,790
2020,739,756,791
2030,740,756,791
2040,742,756,793
2050,744,756,791
2060,746,757,791
2070,749,756,792
2080,752,757,792
2090,756,757,793
2100,760,757,793
2110,763,758,794
2120,767,758,794
2130,771,759,795
2140,774,759,796
2150,778,760,798
2160,782,761,799
2170,786,761,801
2180,789,763,804
2190,792,764,806
2200,794,765,808
2210,797,766,811
2220,799,768,813
2230,801,769,814
2240,803,771,818
2250,805,772,820
2260,807,773,822
2270,809,774,824
2280,812,776,827
2290,814,777,828
2300,816,779,828
2310,818,781,830
2320,821,782,833
2330,822,784,834
2340,824,785,836
2350,826,785,837
2360,829,787,839
2370,830,788,840
2380,832,789,840
2390,834,791,843
2400,835,792,844
2410,837,793,845
2420,838,795,845
2430,840,796,847
2440,841,797,848
2450,843,798,850
2460,844,799,851
2470,846,800,852
2480,847,801,851
2490,848,802,854
2500,850,803,855
2510,851,804,856
2520,852,805,857
2530,853,806,857
2540,854,807,858
2550,856,807,859
2560,856,808,861
2570,857,809,862
2580,858,810,862
2590,859,811,863
2600,859,811,863
2610,859,813,865
2620,860,813,863
2630,860,814,865
2640,860,814,867
2650,860,815,867
2660,860,815,866
2670,860,816,868
2680,860,817,869
2690,861,817,869
2700,862,818,869
2710,861,819,870
2720,862,819,870
2730,862,820,871
2740,863,820,873
2750,863,821,871
2760,863,821,874
2770,863,822,874
2780,863,821,873
2790,863,821,875
2800,864,821,875
2810,864,821,875
2820,864,822,876
2830,864,822,877
2840,864,823,877
2850,864,823,877
2860,864,823,878
2870,864,824,878
2880,865,824,878
2890,864,824,879
2900,865,825,879
2910,865,825,878
2920,865,825,880
2930,864,826,880
2940,864,826,882
2950,864,826,881
2960,864,827,881
2970,864,826,882
2980,864,827,881
2990,864,827,882
3000,864,827,881
3010,864,828,882
3020,864,828,882
3030,865,828,882
3040,867,828,882
3050,868,828,882
3060,868,829,883
3070,868,829,882
3080,867,829,883
3090,867,829,881
3100,867,830,882
3110,867,830,883
3120,867,830,883
3130,866,830,882
3140,866,831,881
3150,866,831,883
3160,866,831,882
3170,866,831,881
3180,866,831,882
3190,866,831,882
3200,866,831,881
3210,865,831,881
3220,865,832,882
3230,865,832,884
3240,866,831,883
3250,865,831,882
3260,865,830,882
3270,865,830,883
3280,865,830,883
3290,865,830,882
