Time_ms,Thumb,Middle,Pinky
0,741,766,803
10,742,766,803
20,741,765,803
30,741,766,804
40,742,766,804
50,742,765,803
60,741,765,803
70,741,766,803
80,741,766,803
90,741,766,803
100,741,766,805
110,742,766,803
120,741,765,803
130,742,766,803
140,741,766,804
150,741,766,803
160,741,766,803
170,741,765,803
180,741,766,803
190,741,766,804
200,741,766,804
210,741,766,804
220,741,766,803
230,742,766,803
240,741,766,804
250,741,766,802
260,742,766,804
270,742,766,804
280,741,766,804
290,741,766,803
300,741,766,803
310,741,766,803
320,741,766,804
330,742,766,804
340,741,766,803
350,742,766,803
360,742,766,803
370,741,766,804
380,741,766,804
390,742,766,804
400,741,766,804
410,741,766,803
420,741,765,803
430,741,766,804
440,742,766,802
450,741,766,802
460,741,766,803
470,741,766,803
480,741,765,803
490,742,766,803
500,741,765,804
510,741,766,804
520,741,766,803
530,741,766,805
540,742,766,804
550,741,766,804
560,741,765,803
570,741,766,803
580,741,766,804
590,741,766,804
600,741,766,803
610,741,766,804
620,741,766,803
630,741,766,803
640,741,766,802
650,741,766,803
660,741,766,803
670,741,766,803
680,741,766,803
690,742,765,803
700,741,766,803
710,741,766,804
720,742,766,803
730,741,766,802
740,741,766,803
750,741,765,804
760,741,766,803
770,741,766,803
780,741,766,803
790,741,766,803
800,741,766,803
810,741,766,803
820,741,766,803
830,741,766,803
840,741,766,803
850,742,766,803
860,741,766,803
870,741,766,803
880,741,765,803
890,741,766,805
900,741,766,803
910,741,766,804
920,741,766,802
930,741,766,803
940,741,766,803
950,741,766,803
960,742,766,803
970,741,766,803
980,741,766,803
990,741,766,805
1000,741,766,803
1010,741,766,803
1020,741,766,802
1030,741,766,803
1040,741,765,803
1050,741,765,803
1060,741,766,803
1070,741,766,804
1080,741,765,803
1090,741,766,803
1100,741,766,803
1110,740,765,803
1120,741,766,802
1130,741,766,803
1140,741,766,802
1150,742,765,803
1160,741,766,803
1170,741,766,806
1180,741,766,803
1190,741,766,803
1200,741,766,804
1210,741,766,802
1220,742,766,805
1230,741,765,803
1240,741,765,803
1250,741,766,803
1260,740,765,803
1270,742,766,803
1280,741,766,803
1290,741,766,803
1300,740,766,803
1310,741,766,804
1320,741,766,803
1330,740,766,803
1340,740,765,803
1350,741,766,805
1360,741,766,803
1370,740,765,804
1380,741,766,803
1390,741,766,803
1400,741,766,803
1410,741,766,803
1420,740,765,803
1430,741,766,803
1440,742,766,802
1450,740,766,803
1460,741,766,803
1470,741,766,804
1480,741,766,804
1490,741,766,803
1500,742,766,803
1510,742,766,803
1520,742,766,803
1530,742,766,803
1540,743,766,803
1550,743,766,803
1560,743,767,803
1570,743,767,804
1580,745,767,803
1590,744,767,803
1600,745,767,803
1610,746,768,803
1620,747,768,803
1630,748,768,805
1640,748,770,804
1650,750,770,804
1660,751,770,805
1670,752,772,804
1680,754,772,804
1690,756,773,805
1700,757,774,805
1710,760,776,806
1720,761,778,807
1730,763,779,807
1740,766,782,809
1750,768,782,810
1760,768,784,812
1770,770,786,813
1780,771,787,814
1790,772,789,816
1800,773,791,818
1810,775,793,820
1820,776,795,822
1830,776,796,825
1840,777,798,827
1850,778,800,829
1860,779,802,831
1870,779,802,833
1880,780,804,836
1890,781,808,837
1900,783,810,840
1910,782,810,841
1920,783,812,843
1930,784,814,845
1940,785,816,847
1950,786,818,848
1960,787,819,849
1970,788,821,851
1980,788,823,850
1990,789,824,853
2000,789,826,855
2010,790,827,856
2020,791,829,857
2030,792,829,859
2040,792,831,859
2050,793,831,860
2060,794,833,861
2070,794,835,862
2080,795,835,862
2090,795,836,864
2100,796,838,865
2110,796,837,866
2120,797,837,867
2130,797,838,867
2140,798,838,868
2150,798,839,868
2160,798,838,868
2170,798,839,867
2180,799,839,869
2190,800,839,869
2200,799,840,871
2210,800,840,871
2220,799,841,872
2230,800,841,873
2240,800,840,874
2250,800,841,874
2260,801,840,874
2270,800,841,875
2280,801,841,875
2290,801,841,876
2300,801,843,876
2310,801,844,878
2320,801,843,879
2330,802,843,879
2340,802,842,879
2350,802,843,879
2360,803,842,880
2370,803,843,879
2380,802,842,879
2390,803,842,880
2400,804,842,881
2410,803,842,880
2420,803,843,881
2430,803,843,881
2440,803,842,881
2450,804,843,882
2460,804,842,882
2470,805,843,882
2480,804,842,883
2490,805,842,882
2500,804,843,881
2510,805,843,883
2520,805,844,883
2530,805,842,884
2540,806,843,884
2550,805,842,884
2560,806,844,885
2570,805,843,885
2580,807,843,885
2590,806,843,885
2600,806,844,886
2610,806,843,885
2620,807,843,885
2630,807,843,886
2640,807,844,886
2650,807,843,886
2660,807,844,886
