Time_ms,Thumb,Middle,Pinky
0,743,770,812
10,742,771,812
20,742,770,812
30,743,770,812
40,742,771,812
50,743,771,812
60,743,770,811
70,744,770,811
80,743,770,811
90,743,771,812
100,743,771,812
110,743,770,812
120,742,771,812
130,743,770,812
140,743,770,812
150,743,771,812
160,743,770,812
170,743,770,812
180,743,770,812
190,742,770,811
200,743,770,812
210,743,771,811
220,743,771,812
230,743,770,811
240,743,770,811
250,742,770,812
260,743,770,811
270,743,771,812
280,742,770,811
290,743,770,811
300,742,770,812
310,742,770,812
320,743,770,811
330,743,770,812
340,743,771,811
350,743,771,812
360,743,770,811
370,742,771,811
380,742,770,812
390,743,770,812
400,743,770,812
410,742,770,811
420,743,771,812
430,743,771,811
440,743,770,812
450,742,770,811
460,742,770,811
470,743,770,811
480,743,770,811
490,742,770,812
500,742,771,811
510,743,770,812
520,743,770,812
530,743,770,811
540,742,771,811
550,742,771,811
560,743,770,812
570,742,770,812
580,742,770,812
590,743,771,810
600,742,770,812
610,742,770,811
620,742,770,811
630,742,770,811
640,742,771,812
650,742,770,811
660,743,771,811
670,742,770,811
680,742,770,812
690,742,770,811
700,742,770,811
710,742,771,809
720,742,770,812
730,742,771,812
740,742,770,811
750,742,770,811
760,743,771,812
770,742,770,811
780,742,770,812
790,742,770,812
800,743,771,811
810,742,770,811
820,742,770,811
830,742,770,811
840,742,771,811
850,742,771,811
860,742,771,811
870,742,770,812
880,742,770,812
890,743,771,811
900,742,770,812
910,742,770,812
920,742,771,811
930,742,770,811
940,742,770,811
950,742,771,811
960,743,770,811
970,742,770,811
980,742,770,812
990,742,770,812
1000,742,770,811
1010,743,771,811
1020,742,771,812
1030,742,771,811
1040,742,770,812
1050,742,770,812
1060,743,770,812
1070,742,770,812
1080,742,770,812
1090,743,771,812
1100,742,770,811
1110,742,770,812
1120,742,771,811
1130,742,770,811
1140,742,770,811
1150,742,771,811
1160,742,770,811
1170,742,771,811
1180,742,770,811
1190,742,770,811
1200,742,770,811
1210,742,771,811
1220,742,770,811
1230,742,770,811
1240,742,770,811
1250,742,770,812
1260,743,770,812
1270,742,770,812
1280,742,770,811
1290,742,771,811
1300,742,771,811
1310,742,771,811
1320,742,770,811
1330,743,771,811
1340,743,771,810
1350,743,770,812
1360,742,770,811
1370,742,770,811
1380,742,770,811
1390,742,771,812
1400,742,771,811
1410,742,771,811
1420,742,770,811
1430,742,771,811
1440,742,770,811
1450,742,770,812
1460,742,770,811
1470,742,770,812
1480,743,770,811
1490,742,770,811
1500,742,770,812
1510,743,771,811
1520,742,770,811
1530,742,771,811
1540,742,770,812
1550,743,770,811
1560,743,770,811
1570,743,771,811
1580,744,770,812
1590,744,772,810
1600,744,771,811
1610,744,771,811
1620,746,772,812
1630,746,772,812
1640,747,772,812
1650,748,772,812
1660,749,772,812
1670,751,773,812
1680,752,773,813
1690,754,774,813
1700,757,774,813
1710,759,774,813
1720,761,776,813
1730,764,776,813
1740,768,778,814
1750,771,778,814
1760,774,779,815
1770,778,782,815
1780,783,783,816
1790,786,783,816
1800,789,785,817
1810,792,787,818
1820,795,788,818
1830,798,790,820
1840,801,792,823
1850,804,794,822
1860,806,795,823
1870,808,798,825
1880,810,799,826
1890,813,801,826
1900,815,803,830
1910,817,804,831
1920,820,806,833
1930,821,808,836
1940,823,809,836
1950,825,811,838
1960,826,812,842
1970,827,814,844
1980,829,816,845
1990,831,817,846
2000,832,819,847
2010,834,820,849
2020,835,822,853
2030,835,824,852
2040,836,824,853
2050,838,826,856
2060,839,827,856
2070,840,830,857
2080,841,830,858
2090,842,831,858
2100,843,832,860
2110,843,834,861
2120,844,833,862
2130,845,836,865
2140,845,837,865
2150,846,838,865
2160,846,839,866
2170,847,840,867
2180,848,841,867
2190,847,842,869
2200,848,843,870
2210,849,844,870
2220,849,845,869
2230,850,845,872
2240,851,846,873
2250,850,847,873
2260,851,848,875
2270,851,848,874
2280,852,849,875
2290,852,849,875
2300,852,850,876
2310,853,850,876
2320,853,852,877
2330,853,852,879
2340,853,851,878
2350,854,851,878
2360,854,851,879
2370,854,852,878
2380,855,852,879
2390,855,852,882
2400,855,851,879
2410,855,852,880
2420,855,852,881
2430,856,852,882
2440,855,852,882
2450,856,852,880
2460,855,852,882
2470,856,852,882
2480,856,852,882
2490,856,851,882
2500,856,852,884
2510,856,852,883
2520,856,852,884
2530,856,852,884
2540,856,852,883
2550,856,852,884
2560,856,851,884
2570,856,852,884
2580,857,852,885
2590,855,852,885
2600,856,851,885
2610,857,852,886
2620,855,852,887
2630,856,851,885
2640,856,852,885
2650,856,851,885
2660,856,851,884
2670,856,851,884
2680,856,852,885
2690,856,853,884
2700,857,852,885
2710,856,852,885
2720,856,852,886
2730,856,851,885
2740,856,852,883
2750,856,852,884
2760,856,852,884
2770,856,852,886
2780,857,851,883
2790,856,852,885
2800,856,852,886
2810,856,852,884
2820,856,852,884
2830,856,851,884
2840,856,852,884
2850,856,851,884
2860,856,851,884
2870,856,852,884
2880,857,853,884
2890,856,853,884
2900,856,854,883
2910,856,853,884
2920,856,852,884
2930,856,853,883
2940,857,852,883
2950,856,853,883
2960,856,852,884
2970,856,852,884
2980,856,852,885
2990,856,853,884
3000,856,852,884
3010,855,852,885
3020,856,852,882
3030,856,852,885
3040,856,852,883
3050,856,852,885
3060,856,852,883
3070,856,852,883
3080,856,852,885
3090,856,852,883
3100,856,852,883
3110,855,852,885
3120,857,851,883
3130,856,852,882
3140,856,852,883
3150,856,852,883
3160,856,851,881
3170,856,852,883
3180,856,852,883
3190,856,851,882
3200,856,852,883
3210,855,851,883
3220,856,852,884
3230,856,852,883
3240,856,852,883
3250,856,852,883
3260,856,852,885
3270,856,853,883
3280,856,854,884
3290,856,854,883
3300,856,854,883
3310,856,853,883
3320,855,854,883
3330,856,854,882
3340,855,854,883
3350,856,853,883
3360,856,853,883
3370,855,853,883
3380,856,853,883
3390,855,853,884
3400,855,852,883
3410,856,853,883
3420,855,853,883
3430,856,853,882
3440,856,853,882
3450,855,853,883
3460,855,853,882
3470,856,853,883
3480,855,852,882
3490,856,853,883
3500,855,853,883
3510,855,852,882
3520,855,852,882
3530,855,852,883
3540,856,853,882
3550,855,853,882
3560,856,852,882
3570,855,852,885
3580,856,853,883
3590,855,852,883
3600,856,852,881
3610,856,852,882
3620,856,853,882
3630,855,852,882
3640,855,852,882
3650,855,852,884
3660,855,852,882
3670,856,852,883
3680,855,852,882
3690,855,852,881
3700,855,852,881
3710,855,852,882
3720,855,852,882
3730,856,852,884
3740,855,852,883
3750,855,852,883
3760,856,852,882
3770,855,852,884
3780,855,852,883
3790,855,852,881
3800,856,852,882
3810,855,853,881
3820,855,852,882
3830,855,852,884
3840,855,852,882
3850,855,852,882
3860,855,852,882
3870,855,852,884
3880,855,852,881
3890,855,852,881
3900,855,851,882
3910,855,852,882
3920,855,852,883
3930,855,852,884
3940,856,852,882
3950,855,851,882
3960,855,851,881
3970,855,852,884
3980,854,851,883
3990,855,852,882
