Time_ms,Thumb,Middle,Pinky
0,744,770,811
10,744,770,812
20,744,770,811
30,744,770,812
40,744,770,812
50,744,770,811
60,744,770,811
70,744,770,812
80,743,770,811
90,744,770,812
100,743,770,811
110,744,770,812
120,744,770,812
130,743,770,811
140,744,770,812
150,744,770,812
160,743,770,811
170,744,770,811
180,744,770,811
190,744,770,811
200,743,770,811
210,744,770,811
220,743,770,811
230,743,769,811
240,744,770,811
250,744,770,811
260,743,770,812
270,744,770,811
280,744,770,811
290,744,770,812
300,743,770,811
310,744,769,811
320,744,770,812
330,743,770,812
340,743,770,811
350,744,770,811
360,744,770,811
370,743,770,811
380,743,771,812
390,743,770,811
400,744,770,812
410,744,770,812
420,744,770,811
430,744,770,812
440,743,770,811
450,744,770,811
460,744,770,812
470,743,770,811
480,743,770,811
490,743,770,811
500,744,770,811
510,744,770,811
520,743,770,811
530,744,770,812
540,743,770,812
550,744,770,811
560,743,770,811
570,743,770,811
580,744,770,811
590,743,770,812
600,744,770,811
610,744,770,812
620,743,770,811
630,744,771,811
640,743,770,811
650,743,770,812
660,743,770,812
670,743,770,811
680,743,770,811
690,743,770,812
700,744,770,811
710,743,770,812
720,743,770,812
730,744,770,811
740,743,770,811
750,744,770,812
760,743,770,811
770,743,770,811
780,743,770,812
790,743,770,811
800,744,770,811
810,744,770,811
820,743,770,811
830,743,770,811
840,744,770,811
850,743,769,811
860,744,770,811
870,743,770,812
880,743,770,811
890,743,770,811
900,743,770,812
910,743,770,812
920,744,770,811
930,743,770,811
940,743,770,811
950,743,770,811
960,743,769,811
970,743,770,811
980,744,770,811
990,744,770,811
1000,743,770,812
1010,743,770,811
1020,743,770,811
1030,743,770,811
1040,743,770,812
1050,743,770,811
1060,743,770,811
1070,744,770,811
1080,743,770,811
1090,743,770,811
1100,744,770,811
1110,743,770,811
1120,743,770,811
1130,743,771,811
1140,743,770,811
1150,743,770,811
1160,743,770,811
1170,743,769,811
1180,743,770,811
1190,743,770,811
1200,743,770,812
1210,743,770,811
1220,743,770,810
1230,744,770,811
1240,743,770,812
1250,743,770,811
1260,743,770,811
1270,743,770,812
1280,743,770,812
1290,743,770,811
1300,743,770,811
1310,743,770,811
1320,744,770,811
1330,743,770,811
1340,744,770,811
1350,743,769,811
1360,743,770,811
1370,743,770,811
1380,743,770,811
1390,743,770,812
1400,743,770,812
1410,743,771,811
1420,743,770,811
1430,743,770,811
1440,743,770,811
1450,743,770,811
1460,743,770,811
1470,744,770,811
1480,743,770,811
1490,743,770,812
1500,743,770,811
1510,743,770,812
1520,743,770,811
1530,743,770,811
1540,744,770,812
1550,743,770,811
1560,744,770,811
1570,743,770,811
1580,743,770,812
1590,744,770,812
1600,744,770,812
1610,743,770,811
1620,744,771,811
1630,743,770,811
1640,745,770,812
1650,744,771,811
1660,744,770,811
1670,744,771,812
1680,745,771,809
1690,745,772,811
1700,746,772,811
1710,746,771,812
1720,747,772,812
1730,748,772,813
1740,749,772,812
1750,750,773,812
1760,751,774,813
1770,752,773,813
1780,753,774,813
1790,755,775,814
1800,757,775,811
1810,759,776,814
1820,761,777,814
1830,764,778,815
1840,766,778,815
1850,769,780,815
1860,773,781,816
1870,776,783,817
1880,780,784,817
1890,782,785,818
1900,785,787,818
1910,788,788,820
1920,791,789,821
1930,793,790,822
1940,796,792,823
1950,797,794,824
1960,799,795,825
1970,802,797,826
1980,804,799,828
1990,807,799,829
2000,809,802,830
2010,811,802,831
2020,813,804,833
2030,815,806,836
2040,816,806,836
2050,817,808,838
2060,820,810,839
2070,821,811,839
2080,823,812,842
2090,824,814,844
2100,825,815,846
2110,826,817,847
2120,828,818,848
2130,829,819,850
2140,829,821,849
2150,831,822,852
2160,832,824,853
2170,833,824,853
2180,834,826,854
2190,834,827,856
2200,835,828,858
2210,837,829,859
2220,837,830,859
2230,837,831,861
2240,838,832,861
2250,839,833,862
2260,838,834,863
2270,839,835,863
2280,840,837,864
2290,840,837,865
2300,840,837,866
2310,840,838,866
2320,841,839,867
2330,841,840,868
2340,842,841,868
2350,843,841,869
2360,842,842,869
2370,842,843,870
2380,842,844,871
2390,844,844,872
2400,843,844,873
