Time_ms,Thumb,Middle,Pinky
0,736,770,808
10,736,770,807
20,736,770,807
30,736,771,807
40,736,770,807
50,736,771,807
60,736,771,807
70,736,770,807
80,736,770,807
90,736,770,807
100,736,771,807
110,736,771,807
120,736,770,807
130,736,770,807
140,736,771,805
150,736,771,807
160,736,771,807
170,737,770,807
180,736,770,807
190,736,770,807
200,736,770,807
210,736,771,807
220,736,770,807
230,736,771,807
240,736,772,809
250,736,771,807
260,736,771,807
270,736,770,808
280,736,770,807
290,736,771,807
300,736,771,807
310,736,771,808
320,736,771,805
330,736,771,807
340,736,770,807
350,736,771,807
360,736,771,807
370,737,770,807
380,736,770,807
390,736,771,807
400,736,771,807
410,736,771,807
420,736,771,806
430,737,771,807
440,736,771,807
450,736,771,808
460,736,770,807
470,736,770,807
480,736,770,807
490,736,771,807
500,736,771,807
510,736,771,808
520,736,771,806
530,735,771,807
540,736,770,807
550,736,771,806
560,736,770,807
570,736,770,807
580,736,771,807
590,736,770,807
600,736,771,807
610,736,771,807
620,736,770,807
630,736,771,807
640,736,771,807
650,736,771,807
660,736,771,807
670,736,770,807
680,736,770,807
690,736,770,807
700,736,771,806
710,736,771,807
720,736,770,807
730,736,771,807
740,736,771,807
750,736,770,807
760,736,771,807
770,736,770,807
780,736,771,807
790,736,770,807
800,736,771,807
810,736,770,807
820,736,770,808
830,736,771,807
840,736,771,807
850,736,770,807
860,736,771,808
870,737,770,807
880,736,771,807
890,736,770,807
900,736,770,807
910,736,771,807
920,735,771,805
930,736,771,807
940,736,771,807
950,736,770,807
960,736,771,807
970,736,770,807
980,736,771,806
990,736,771,807
1000,736,771,807
1010,736,770,807
1020,736,771,807
1030,736,771,807
1040,736,771,807
1050,736,771,807
1060,736,771,807
1070,736,771,807
1080,736,770,807
1090,736,770,807
1100,736,771,805
1110,736,771,808
1120,736,771,805
1130,736,772,806
1140,736,770,807
1150,736,771,807
1160,736,771,807
1170,736,770,807
1180,736,771,805
1190,736,770,807
1200,736,770,807
1210,736,771,807
1220,736,771,807
1230,736,771,807
1240,736,770,807
1250,736,771,807
1260,736,771,807
1270,737,770,808
1280,737,770,807
1290,738,770,808
1300,737,770,808
1310,738,770,808
1320,737,771,807
1330,738,770,808
1340,739,770,807
1350,739,770,808
1360,740,770,807
1370,741,770,807
1380,742,770,808
1390,743,770,807
1400,744,770,808
1410,746,770,808
1420,747,770,807
1430,748,770,808
1440,750,771,808
1450,752,771,809
1460,753,772,809
1470,754,773,809
1480,757,774,809
1490,758,775,810
1500,760,777,811
1510,762,779,811
1520,764,781,812
1530,765,782,813
1540,766,784,814
1550,767,786,815
1560,769,788,816
1570,771,789,818
1580,772,791,820
1590,774,793,821
1600,776,794,823
1610,777,796,824
1620,779,798,828
1630,781,799,829
1640,783,800,832
1650,785,802,835
1660,786,803,836
1670,788,805,838
1680,789,806,841
1690,790,809,841
1700,792,809,843
1710,793,810,844
1720,794,813,846
1730,795,814,848
1740,797,815,849
1750,798,817,851
1760,799,817,852
1770,800,819,852
1780,802,820,855
1790,803,822,856
1800,805,824,857
1810,806,824,858
1820,806,826,860
1830,807,827,861
1840,808,827,863
1850,808,828,863
1860,809,830,864
1870,810,831,863
1880,810,831,864
1890,810,833,867
1900,811,833,867
1910,811,834,868
1920,811,836,869
1930,811,836,871
1940,812,837,871
1950,813,837,872
1960,813,838,872
1970,813,839,871
1980,814,838,874
1990,814,838,874
2000,815,839,875
2010,816,838,876
2020,816,838,876
2030,816,837,876
2040,817,837,878
2050,819,837,877
2060,822,838,877
2070,825,836,879
2080,825,836,877
2090,824,837,880
2100,823,836,879
2110,823,836,882
2120,824,836,882
2130,824,836,881
2140,824,836,881
2150,824,835,879
2160,824,836,882
2170,825,836,882
2180,825,836,881
2190,825,836,882
2200,826,836,885
2210,826,835,883
2220,827,836,884
2230,827,836,886
2240,827,836,884
2250,827,836,884
2260,827,835,882
2270,828,835,885
2280,828,836,887
2290,828,836,885
2300,829,836,887
2310,829,836,885
2320,829,836,886
2330,829,835,884
2340,829,835,887
2350,830,835,886
2360,830,835,886
2370,830,835,887
2380,830,835,886
2390,831,835,886
2400,830,835,887
2410,831,836,887
2420,832,835,885
2430,832,835,887
2440,832,835,887
2450,832,835,887
2460,832,836,887
2470,833,835,886
2480,833,835,888
2490,833,835,888
2500,833,835,889
2510,833,835,889
2520,833,835,888
2530,833,835,889
2540,834,834,889
2550,834,834,890
2560,835,835,890
2570,835,836,890
2580,835,835,890
2590,835,835,889
2600,836,834,889
2610,836,835,889
2620,835,835,889
2630,836,835,889
2640,836,834,890
2650,836,835,890
2660,836,835,889
2670,836,835,890
2680,837,835,890
2690,836,836,890
2700,836,835,887
2710,837,835,890
2720,837,835,890
2730,837,835,889
2740,837,835,889
2750,837,836,890
2760,838,836,890
2770,838,836,890
2780,838,836,892
2790,838,836,889
2800,838,836,890
2810,838,836,891
2820,838,836,890
2830,838,836,889
2840,838,835,889
2850,838,836,890
2860,838,836,890
2870,838,836,890
2880,838,836,893
2890,838,835,891
2900,838,835,890
2910,838,836,892
2920,838,835,888
2930,838,835,890
2940,838,835,890
2950,839,836,889
2960,838,835,891
2970,838,836,891
2980,838,835,892
2990,838,835,890
3000,838,835,891
3010,838,835,891
3020,838,835,891
3030,838,835,890
3040,838,835,889
3050,838,835,891
3060,838,835,889
3070,839,835,891
3080,838,835,891
3090,838,836,893
3100,838,835,892
3110,838,835,892
3120,838,835,891
3130,838,835,891
3140,838,835,892
3150,838,835,892
3160,838,835,889
3170,838,834,892
3180,838,834,892
3190,839,835,891
3200,838,835,893
3210,838,834,894
3220,839,835,894
3230,839,834,894
3240,838,835,893
3250,838,834,894
3260,838,835,893
3270,838,835,893
3280,838,834,893
3290,838,834,893
3300,839,834,893
3310,839,834,893
3320,838,834,892
3330,838,834,892
3340,838,835,892
3350,838,834,892
3360,838,834,893
3370,838,835,893
3380,838,834,893
