Time_ms,Thumb,Middle,Pinky
0,739,766,805
10,739,766,805
20,740,766,804
30,739,766,805
40,739,766,804
50,739,765,805
60,740,766,804
70,740,766,805
80,739,766,804
90,739,766,805
100,739,766,805
110,739,766,805
120,739,766,805
130,739,766,805
140,739,766,805
150,739,766,805
160,739,766,804
170,740,766,804
180,739,766,805
190,740,766,805
200,739,766,806
210,740,766,805
220,739,766,804
230,739,766,805
240,739,766,805
250,739,766,804
260,739,766,803
270,740,766,805
280,740,766,804
290,739,766,805
300,739,766,807
310,739,766,805
320,739,765,805
330,739,767,805
340,739,766,805
350,739,766,805
360,739,766,805
370,739,766,804
380,739,766,805
390,739,766,805
400,739,766,807
410,738,766,805
420,739,766,804
430,739,766,805
440,739,766,804
450,740,766,804
460,739,766,804
470,739,766,804
480,739,765,804
490,740,766,805
500,739,766,805
510,739,766,805
520,739,766,807
530,739,766,805
540,739,766,804
550,739,766,803
560,739,766,805
570,740,766,804
580,740,766,805
590,739,766,805
600,739,766,804
610,739,766,804
620,739,766,804
630,739,766,805
640,739,766,803
650,739,766,805
660,739,766,805
670,739,766,805
680,739,766,805
690,739,766,805
700,738,766,805
710,739,766,805
720,739,766,805
730,739,767,805
740,739,766,803
750,739,766,804
760,739,766,804
770,739,766,804
780,740,766,807
790,739,766,805
800,740,765,805
810,739,766,805
820,739,766,805
830,738,766,805
840,739,765,805
850,739,766,804
860,739,766,805
870,739,766,805
880,739,766,806
890,739,766,804
900,739,766,805
910,739,766,805
920,738,766,805
930,739,766,804
940,739,766,804
950,739,766,805
960,739,766,805
970,739,766,804
980,739,766,804
990,739,766,804
1000,739,766,804
1010,739,765,803
1020,739,765,804
1030,739,766,804
1040,739,766,804
1050,739,766,804
1060,739,766,807
1070,739,766,804
1080,739,766,805
1090,739,766,805
1100,740,766,804
1110,739,766,805
1120,739,766,803
1130,739,766,804
1140,739,766,805
1150,739,766,805
1160,739,766,804
1170,739,766,804
1180,739,766,805
1190,739,766,805
1200,739,766,804
1210,739,765,805
1220,740,766,804
1230,739,766,804
1240,739,765,804
1250,739,766,805
1260,740,766,804
1270,739,766,804
1280,738,766,805
1290,739,766,804
1300,739,766,805
1310,739,765,805
1320,739,766,805
1330,739,766,804
1340,739,766,805
1350,739,766,804
1360,739,766,805
1370,739,766,805
1380,739,765,805
1390,739,766,804
1400,739,766,804
1410,739,765,804
1420,739,766,805
1430,739,766,804
1440,739,766,806
1450,739,766,805
1460,739,766,804
1470,739,766,805
1480,739,766,804
1490,739,766,805
1500,739,765,804
1510,739,766,804
1520,739,766,804
1530,740,766,804
1540,740,766,804
1550,739,766,804
1560,739,766,804
1570,739,766,805
1580,739,766,804
1590,739,765,804
1600,739,766,804
1610,739,766,806
1620,739,766,804
1630,739,766,804
1640,739,766,804
1650,739,766,804
1660,740,766,806
1670,739,766,805
1680,740,766,804
1690,740,766,806
1700,740,766,805
1710,741,767,804
1720,740,766,804
1730,740,767,804
1740,741,767,805
1750,741,767,805
1760,741,768,805
1770,742,768,805
1780,742,769,805
1790,743,769,805
1800,744,769,806
1810,744,770,806
1820,745,770,806
1830,745,771,806
1840,746,772,808
1850,747,773,806
1860,748,774,807
1870,748,774,807
1880,749,776,808
1890,750,776,807
1900,751,778,808
1910,753,779,809
1920,754,780,810
1930,755,782,811
1940,757,783,811
1950,759,785,812
1960,760,786,813
1970,760,788,813
1980,762,789,815
1990,763,791,816
2000,765,792,818
2010,766,794,819
2020,767,795,817
2030,768,798,821
2040,770,798,823
2050,771,800,824
2060,772,802,826
2070,775,802,828
2080,775,804,829
2090,777,805,830
2100,779,807,833
2110,780,807,836
2120,781,808,839
2130,782,811,839
2140,783,812,839
2150,784,813,840
2160,785,814,843
2170,786,815,843
2180,788,816,844
2190,790,818,846
2200,791,819,846
2210,791,820,847
2220,792,821,849
2230,792,822,850
2240,793,823,850
2250,794,824,851
2260,794,825,852
2270,795,826,854
2280,795,828,854
2290,797,828,854
2300,797,829,855
2310,798,830,857
2320,799,831,857
2330,799,831,857
2340,800,833,859
2350,801,834,859
2360,800,835,858
2370,802,835,859
2380,803,836,861
2390,802,837,861
2400,803,838,862
2410,804,838,862
2420,804,839,861
2430,805,840,864
2440,805,841,863
2450,805,841,861
2460,806,842,863
2470,807,842,863
2480,806,843,865
2490,808,843,863
2500,808,844,865
2510,808,844,866
2520,809,845,865
2530,809,845,864
2540,810,847,866
2550,810,846,866
2560,810,848,866
2570,810,847,866
2580,811,848,866
2590,811,848,867
