Time_ms,Thumb,Middle,Pinky
0,749,775,799
10,749,774,799
20,749,774,799
30,749,774,799
40,750,774,799
50,749,775,799
60,749,774,799
70,749,775,799
80,749,774,799
90,749,774,800
100,749,775,799
110,749,774,799
120,749,774,799
130,749,774,799
140,749,774,799
150,750,774,799
160,749,774,800
170,749,774,799
180,749,774,799
190,749,775,799
200,750,774,799
210,749,774,799
220,749,774,799
230,749,774,799
240,749,774,799
250,750,775,799
260,749,775,799
270,750,775,800
280,749,774,799
290,749,775,799
300,749,775,799
310,749,774,799
320,749,774,799
330,749,774,799
340,750,775,798
350,749,774,799
360,749,775,799
370,750,774,799
380,750,775,799
390,749,775,799
400,750,774,799
410,749,774,799
420,749,774,799
430,749,774,799
440,750,774,799
450,749,775,799
460,750,775,799
470,749,774,799
480,750,775,799
490,749,774,799
500,749,774,799
510,750,775,799
520,749,774,799
530,749,775,799
540,749,774,799
550,750,774,799
560,749,774,799
570,749,775,799
580,749,774,799
590,749,774,799
600,749,774,799
610,749,775,799
620,749,775,799
630,749,774,799
640,749,774,799
650,749,775,799
660,750,774,800
670,749,774,799
680,749,774,799
690,750,775,799
700,749,774,799
710,749,774,799
720,749,775,799
730,749,774,799
740,749,774,799
750,750,775,799
760,749,774,799
770,749,774,799
780,749,774,799
790,750,774,799
800,749,774,799
810,749,774,799
820,749,774,799
830,749,774,799
840,749,774,799
850,749,775,799
860,749,774,799
870,749,775,799
880,750,774,799
890,750,774,799
900,749,774,799
910,749,774,799
920,749,774,799
930,749,774,799
940,749,774,799
950,749,774,799
960,749,774,799
970,749,775,799
980,749,775,799
990,750,774,799
1000,749,774,799
1010,749,774,799
1020,749,774,799
1030,750,774,799
1040,750,774,799
1050,749,774,799
1060,749,774,799
1070,749,774,799
1080,749,774,799
1090,749,775,799
1100,749,774,799
1110,749,774,799
1120,749,774,799
1130,749,774,799
1140,749,774,799
1150,749,774,799
1160,749,774,799
1170,749,774,799
1180,749,774,799
1190,749,774,799
1200,749,774,799
1210,750,774,799
1220,749,775,799
1230,750,774,799
1240,749,774,799
1250,749,774,799
1260,749,774,799
1270,749,774,799
1280,749,774,799
1290,750,774,799
1300,749,774,799
1310,749,774,799
1320,750,774,799
1330,749,774,799
1340,749,774,799
1350,750,774,799
1360,749,774,799
1370,749,774,799
1380,750,774,799
1390,749,774,800
1400,749,774,799
1410,750,773,799
1420,750,774,799
1430,750,774,800
1440,750,773,799
1450,750,773,799
1460,750,773,801
1470,751,773,799
1480,750,772,801
1490,751,772,800
1500,751,772,800
1510,753,772,801
1520,753,771,801
1530,754,771,801
1540,756,771,802
1550,756,771,802
1560,757,771,803
1570,759,772,803
1580,761,772,804
1590,763,772,805
1600,766,772,807
1610,768,773,808
1620,771,774,810
1630,774,774,811
1640,776,776,813
1650,779,776,815
1660,781,778,817
1670,782,779,820
1680,785,780,822
1690,787,782,824
1700,789,784,827
1710,791,786,829
1720,792,787,831
1730,794,790,834
1740,795,792,836
1750,797,793,838
1760,798,795,839
1770,800,796,841
1780,801,798,843
1790,803,800,845
1800,805,802,846
1810,805,804,848
1820,807,807,849
1830,808,809,849
1840,810,810,852
1850,811,811,851
1860,812,810,854
1870,813,812,854
1880,815,811,856
1890,816,813,857
1900,817,812,858
1910,819,812,860
1920,819,813,860
1930,820,813,860
1940,821,815,861
1950,822,815,862
1960,823,815,863
1970,823,815,863
1980,826,815,864
1990,826,816,867
2000,826,816,867
2010,827,817,866
2020,829,817,867
2030,829,817,868
2040,830,817,868
2050,830,819,869
2060,831,819,870
2070,832,818,870
2080,833,818,871
2090,833,819,870
2100,833,819,872
2110,834,820,873
2120,836,820,873
2130,834,820,873
2140,836,820,873
2150,836,820,873
2160,837,820,874
2170,837,820,874
2180,837,821,873
2190,838,821,874
2200,838,821,874
2210,838,821,874
2220,840,821,872
2230,839,821,874
2240,840,822,874
2250,840,822,875
2260,841,821,875
2270,841,822,876
2280,842,822,876
2290,843,823,875
2300,842,823,875
2310,842,823,875
2320,843,824,875
2330,844,823,875
2340,844,823,876
2350,844,823,875
2360,844,824,876
2370,844,823,875
2380,844,824,876
2390,844,824,876
2400,845,823,876
2410,845,824,876
2420,845,824,876
2430,846,824,876
2440,846,824,875
2450,846,823,875
2460,846,824,876
2470,846,825,876
2480,847,825,874
2490,847,824,876
2500,847,825,876
2510,847,825,875
2520,847,825,877
2530,847,825,873
2540,848,825,876
2550,848,824,876
2560,848,825,874
2570,848,825,875
2580,849,825,877
2590,848,825,875
2600,849,825,874
2610,849,825,877
2620,849,825,876
2630,850,826,876
2640,849,825,876
2650,849,825,876
2660,849,825,874
2670,849,826,877
2680,849,826,877
2690,850,826,879
2700,850,826,878
2710,849,827,876
2720,849,826,877
2730,849,827,876
2740,849,826,878
2750,849,826,876
2760,849,826,877
2770,849,826,879
2780,849,826,879
2790,849,827,877
2800,849,826,877
2810,849,827,876
2820,849,826,876
2830,849,826,877
2840,849,827,877
2850,849,826,877
2860,849,826,877
2870,849,827,877
2880,849,827,877
2890,849,826,877
2900,849,827,877
2910,849,827,877
2920,848,827,877
2930,849,827,877
2940,849,827,876
2950,848,828,877
2960,849,827,877
2970,849,827,876
2980,849,827,877
2990,849,828,877
3000,849,827,877
3010,849,827,877
3020,850,827,876
3030,849,827,877
3040,849,827,877
3050,848,827,877
3060,849,827,877
3070,849,828,877
3080,849,827,876
3090,848,828,877
3100,848,827,877
3110,849,827,877
3120,849,828,877
3130,849,828,877
3140,849,828,877
3150,849,828,877
3160,849,828,878
3170,848,828,877
3180,849,828,877
3190,849,828,877
3200,849,828,878
3210,849,828,877
3220,849,828,877
3230,849,828,877
3240,849,828,877
3250,849,828,877
3260,849,829,876
3270,848,828,877
3280,849,828,877
3290,848,828,876
3300,849,828,877
3310,849,828,877
3320,849,828,877
3330,848,828,877
3340,848,829,874
3350,848,828,877
3360,848,828,877
3370,848,828,877
3380,849,828,876
3390,848,828,877
3400,848,829,877
3410,848,828,876
3420,848,827,877
3430,848,828,877
3440,849,828,877
3450,849,829,876
3460,848,828,877
3470,848,828,876
3480,849,829,877
3490,849,828,876
3500,848,828,877
3510,848,829,876
3520,848,828,877
3530,849,828,877
3540,848,827,876
3550,849,829,875
3560,848,828,877
3570,848,828,877
3580,848,829,877
3590,849,828,877
3600,848,828,877
3610,849,828,877
3620,849,828,877
3630,848,828,876
3640,848,828,877
3650,848,829,875
3660,848,828,876
3670,849,829,875
3680,848,828,877
3690,848,828,877
3700,848,829,875
3710,848,828,876
3720,848,828,877
3730,848,828,877
3740,848,828,877
3750,848,828,876
3760,848,828,877
3770,849,829,876
3780,848,829,876
3790,848,828,876
3800,848,828,877
3810,848,828,877
3820,848,828,876
3830,848,828,877
3840,848,828,877
3850,848,828,876
3860,848,828,877
3870,848,828,876
3880,848,828,876
3890,848,828,876
3900,848,829,877
3910,848,828,877
3920,848,829,876
3930,848,828,877
3940,848,828,877
3950,848,829,876
3960,848,829,877
3970,848,828,876
3980,848,829,875
3990,848,828,876
