Time_ms,Thumb,Middle,Pinky
0,743,753,790
10,743,753,790
20,743,753,790
30,743,753,790
40,743,753,791
50,743,753,790
60,743,753,790
70,743,753,790
80,743,753,791
90,743,753,790
100,743,753,790
110,743,753,790
120,743,753,790
130,743,753,790
140,743,753,790
150,743,753,790
160,743,753,790
170,743,753,790
180,743,753,790
190,743,753,790
200,743,753,790
210,743,753,791
220,743,753,790
230,743,753,791
240,743,753,790
250,743,753,790
260,743,753,790
270,743,753,790
280,743,753,790
290,743,753,790
300,743,753,790
310,743,753,790
320,743,753,790
330,743,753,790
340,743,753,790
350,743,753,790
360,743,753,790
370,743,753,790
380,743,753,790
390,743,753,790
400,743,753,790
410,743,753,790
420,743,753,790
430,743,753,790
440,743,753,790
450,743,753,790
460,743,754,790
470,743,753,790
480,743,753,790
490,743,753,790
500,743,753,790
510,743,753,790
520,743,754,790
530,743,753,790
540,743,753,790
550,743,753,790
560,743,753,790
570,743,753,790
580,743,753,790
590,743,754,790
600,743,753,790
610,743,754,790
620,743,753,790
630,743,753,790
640,743,753,790
650,743,753,790
660,743,753,790
670,743,753,791
680,743,753,790
690,743,753,790
700,743,753,790
710,743,753,790
720,743,753,790
730,743,753,790
740,743,753,790
750,743,753,790
760,743,753,790
770,743,753,790
780,743,753,790
790,743,753,790
800,743,753,790
810,743,753,791
820,743,753,790
830,743,753,790
840,743,753,790
850,743,753,790
860,743,753,790
870,743,753,790
880,743,753,790
890,743,753,790
900,743,753,790
910,743,753,790
920,743,753,790
930,743,753,790
940,743,753,790
950,743,753,790
960,743,753,790
970,743,753,790
980,743,753,790
990,743,753,790
1000,743,753,790
1010,743,753,791
1020,743,753,790
1030,743,753,790
1040,743,753,790
1050,743,753,790
1060,743,753,790
1070,743,753,790
1080,743,753,790
1090,743,753,790
1100,743,753,790
1110,743,753,790
1120,743,753,790
1130,743,753,790
1140,743,753,790
1150,743,753,790
1160,743,753,790
1170,743,753,790
1180,743,753,790
1190,743,753,790
1200,743,753,790
1210,743,753,790
1220,743,753,790
1230,743,753,790
1240,743,753,790
1250,743,753,791
1260,743,753,790
1270,743,753,790
1280,744,753,790
1290,744,753,790
1300,745,753,790
1310,745,753,790
1320,746,753,790
1330,746,754,790
1340,746,753,790
1350,747,753,790
1360,747,754,790
1370,747,754,790
1380,748,754,790
1390,750,754,791
1400,751,754,790
1410,752,754,791
1420,754,754,791
1430,756,754,791
1440,759,755,791
1450,761,755,791
1460,764,755,791
1470,767,756,792
1480,770,756,792
1490,773,756,792
1500,776,756,793
1510,779,757,794
1520,782,757,795
1530,785,758,796
1540,788,758,797
1550,791,759,798
1560,793,759,800
1570,796,760,801
1580,798,760,803
1590,800,761,805
1600,802,762,808
1610,805,763,808
1620,806,763,811
1630,809,764,813
1640,811,765,814
1650,813,766,818
1660,814,767,820
1670,816,768,822
1680,818,769,824
1690,820,770,827
1700,821,771,827
1710,823,771,830
1720,825,772,833
1730,826,773,835
1740,828,775,835
1750,830,775,838
1760,832,776,839
1770,833,777,842
1780,835,778,843
1790,837,779,845
1800,838,779,847
1810,840,780,848
1820,841,781,848
1830,842,781,851
1840,843,782,852
1850,845,783,853
1860,846,784,855
1870,847,784,856
1880,848,784,857
1890,848,785,858
1900,849,786,859
1910,850,787,860
1920,851,787,861
1930,852,788,862
1940,852,789,863
1950,853,789,863
1960,854,789,863
1970,855,790,865
1980,855,790,867
1990,856,791,865
2000,856,792,868
2010,857,792,869
2020,857,793,869
2030,858,794,870
2040,859,794,871
2050,859,794,871
2060,859,795,872
2070,860,795,872
2080,860,796,873
2090,861,795,873
2100,862,796,874
2110,862,797,874
2120,862,797,875
2130,863,798,876
2140,863,798,876
2150,863,798,877
2160,863,799,877
2170,862,799,875
2180,862,800,878
2190,862,800,878
2200,862,800,879
2210,862,801,877
2220,862,800,879
2230,862,801,879
2240,862,801,880
2250,862,802,880
2260,862,802,881
2270,862,802,881
2280,862,803,881
2290,862,803,882
2300,862,803,882
2310,862,803,881
2320,862,804,882
2330,862,804,882
2340,862,804,882
2350,862,804,882
2360,862,805,882
2370,862,805,882
2380,862,805,880
2390,862,805,881
2400,862,805,882
2410,862,806,882
2420,862,806,884
2430,862,806,881
2440,862,806,882
2450,862,806,882
2460,862,807,882
2470,862,807,882
2480,862,807,882
2490,862,807,882
2500,862,807,882
2510,862,808,882
2520,862,808,882
2530,862,808,882
2540,862,808,882
2550,862,808,882
2560,862,808,883
2570,862,809,883
2580,862,809,881
2590,862,809,883
2600,862,809,883
2610,862,809,881
2620,862,809,883
2630,862,809,881
2640,862,809,883
2650,862,810,883
2660,862,810,883
2670,862,809,883
2680,863,810,883
2690,862,810,883
2700,862,809,883
2710,862,810,883
2720,862,809,883
2730,862,810,883
2740,862,810,883
2750,862,810,883
2760,862,810,883
2770,862,810,883
2780,862,810,883
2790,862,810,883
2800,862,810,883
2810,862,810,883
2820,862,810,883
2830,862,810,883
2840,862,810,883
2850,862,810,883
2860,862,810,883
2870,862,810,883
2880,862,810,883
2890,862,810,883
2900,862,810,883
2910,862,810,883
2920,862,810,883
2930,862,810,883
2940,862,810,883
2950,862,810,883
2960,862,810,883
2970,862,810,883
2980,862,810,883
2990,862,810,883
3000,862,810,883
3010,862,810,883
3020,862,810,883
3030,862,810,884
3040,862,810,883
3050,862,810,884
3060,862,810,883
3070,862,810,883
3080,862,810,883
3090,862,810,884
3100,862,810,883
3110,862,810,883
3120,862,810,883
3130,862,810,883
3140,862,810,883
3150,862,810,884
3160,862,810,884
3170,862,810,884
3180,862,810,883
3190,862,810,884
3200,862,810,883
3210,862,810,884
3220,862,810,883
3230,862,810,884
3240,862,810,883
3250,862,810,883
3260,862,810,883
3270,862,810,883
3280,862,810,883
3290,862,810,883
3300,862,810,883
3310,862,810,883
3320,862,810,883
3330,862,810,883
3340,862,810,883
3350,862,810,883
3360,862,810,883
3370,862,810,883
3380,862,810,883
3390,862,810,883
3400,862,810,883
3410,862,810,883
3420,862,810,883
3430,862,810,883
3440,862,810,883
3450,862,810,883
3460,862,810,883
3470,862,811,881
3480,862,810,883
3490,862,810,883
3500,862,810,882
3510,861,810,882
3520,862,810,883
3530,862,810,883
3540,862,810,883
3550,862,810,883
3560,862,810,883
3570,861,810,883
3580,862,810,883
3590,861,810,882
3600,861,810,882
3610,861,810,883
3620,861,810,883
3630,861,810,882
3640,861,810,882
3650,861,810,883
3660,861,810,883
3670,861,809,882
3680,861,810,882
3690,861,809,883
3700,861,810,882
3710,861,810,882
3720,861,810,882
3730,861,810,883
3740,861,810,882
3750,861,810,882
3760,861,810,882
3770,861,810,882
3780,861,810,882
3790,861,810,882
3800,861,809,882
3810,861,809,882
3820,861,810,882
3830,861,810,882
3840,861,809,882
3850,861,810,882
3860,861,810,882
3870,861,810,882
3880,861,810,882
3890,861,810,882
3900,861,810,882
3910,861,810,882
3920,861,809,882
3930,861,809,882
3940,861,809,880
3950,861,809,882
3960,861,809,881
3970,861,809,880
3980,861,810,882
3990,861,809,880
