Time_ms,Thumb,Middle,Pinky
0,736,754,791
10,736,754,791
20,736,754,791
30,736,754,791
40,737,754,791
50,736,754,791
60,737,754,791
70,736,754,791
80,736,754,791
90,736,754,791
100,736,754,791
110,736,754,791
120,736,754,791
130,736,754,791
140,736,754,791
150,736,754,791
160,736,754,791
170,736,754,791
180,736,754,791
190,737,754,791
200,736,754,791
210,737,754,791
220,736,754,791
230,736,754,791
240,736,754,791
250,736,754,791
260,736,754,791
270,736,754,791
280,737,754,791
290,736,754,791
300,736,754,791
310,736,754,791
320,736,754,791
330,736,754,791
340,736,754,791
350,736,754,791
360,737,754,791
370,737,754,791
380,736,754,791
390,736,754,791
400,737,754,791
410,736,754,791
420,736,754,791
430,737,754,791
440,737,754,791
450,736,754,791
460,736,754,791
470,736,754,791
480,737,754,791
490,736,754,791
500,736,754,791
510,736,754,791
520,736,754,791
530,736,755,791
540,736,754,791
550,736,754,791
560,736,754,791
570,736,754,791
580,736,754,791
590,736,754,791
600,736,754,791
610,736,754,791
620,736,754,791
630,736,754,791
640,736,754,791
650,736,754,791
660,736,754,791
670,736,754,791
680,736,754,791
690,736,754,791
700,736,754,791
710,736,754,791
720,736,754,791
730,736,754,791
740,736,754,791
750,736,754,791
760,736,754,791
770,736,754,791
780,737,754,791
790,736,754,791
800,736,754,791
810,736,754,791
820,736,754,791
830,736,754,791
840,737,754,791
850,736,754,791
860,736,754,791
870,736,754,791
880,736,754,791
890,736,754,791
900,736,754,791
910,736,754,791
920,736,754,791
930,736,754,791
940,736,754,791
950,736,754,791
960,736,754,791
970,736,754,791
980,736,754,791
990,736,754,791
1000,736,754,791
1010,736,754,791
1020,737,754,791
1030,736,754,791
1040,736,754,791
1050,736,754,791
1060,736,754,791
1070,736,754,791
1080,736,754,791
1090,736,754,791
1100,736,755,791
1110,736,754,791
1120,736,754,791
1130,736,754,791
1140,736,754,791
1150,737,754,791
1160,737,754,791
1170,737,754,791
1180,737,754,791
1190,737,754,791
1200,737,754,791
1210,737,754,791
1220,737,754,791
1230,738,754,791
1240,737,754,791
1250,738,754,791
1260,738,755,791
1270,738,754,791
1280,738,754,791
1290,739,755,791
1300,740,754,791
1310,740,754,792
1320,741,755,792
1330,742,755,792
1340,743,755,792
1350,744,755,793
1360,745,755,793
1370,746,756,793
1380,748,756,793
1390,749,756,795
1400,751,757,796
1410,752,757,797
1420,754,757,798
1430,755,758,800
1440,756,759,801
1450,757,759,803
1460,759,760,805
1470,760,760,808
1480,761,761,810
1490,763,762,813
1500,764,763,815
1510,766,763,818
1520,767,764,821
1530,769,765,823
1540,770,766,826
1550,772,767,827
1560,774,767,830
1570,776,768,832
1580,777,770,834
1590,779,770,836
1600,780,770,838
1610,782,771,839
1620,783,771,841
1630,784,772,843
1640,786,773,845
1650,787,774,846
1660,789,775,848
1670,790,776,850
1680,791,776,851
1690,792,777,852
1700,794,778,854
1710,795,778,855
1720,796,778,857
1730,797,779,858
1740,799,780,859
1750,799,781,860
1760,800,781,861
1770,801,782,862
1780,802,782,862
1790,803,783,864
1800,804,784,865
1810,805,784,866
1820,806,784,867
1830,807,785,866
1840,808,786,870
1850,809,786,869
1860,809,786,870
1870,810,787,871
1880,811,787,872
1890,812,788,873
1900,813,788,873
1910,813,789,873
1920,814,789,873
1930,814,790,875
1940,815,790,876
1950,816,791,877
1960,816,791,877
1970,817,792,878
1980,817,793,878
1990,815,794,879
2000,815,794,879
2010,815,795,878
2020,815,795,879
2030,815,795,881
2040,815,795,880
2050,815,796,881
2060,814,796,884
2070,815,797,882
2080,814,798,883
2090,814,798,883
2100,814,798,884
2110,814,799,883
2120,815,799,883
2130,814,799,885
2140,814,799,886
2150,814,800,886
2160,814,800,886
2170,814,800,886
2180,814,801,885
2190,814,801,883
2200,814,802,887
2210,814,801,885
2220,814,802,886
2230,814,802,887
2240,814,802,884
2250,814,803,885
2260,814,803,884
2270,814,803,884
2280,813,803,884
2290,814,803,884
2300,814,804,884
2310,813,804,884
2320,813,804,884
2330,813,804,884
2340,813,804,884
2350,813,804,884
2360,813,805,884
2370,813,805,884
2380,813,805,884
2390,813,805,883
2400,813,806,884
2410,813,806,884
2420,813,806,886
2430,813,806,884
2440,813,806,884
2450,813,806,884
2460,814,806,884
2470,813,806,886
2480,813,806,884
2490,813,806,884
2500,813,805,883
2510,813,806,885
2520,813,805,884
2530,813,806,883
2540,814,806,884
2550,814,805,884
2560,813,805,883
2570,814,805,884
2580,813,805,883
2590,813,805,882
2600,813,805,884
2610,813,805,884
2620,813,805,884
2630,813,805,884
2640,813,805,884
2650,813,805,884
2660,813,806,885
2670,813,805,883
2680,814,805,884
2690,813,805,884
2700,813,805,883
2710,813,805,883
2720,813,806,885
2730,813,805,884
2740,813,805,884
2750,812,805,884
2760,813,805,883
2770,812,805,883
2780,813,805,884
2790,812,805,884
2800,812,806,886
2810,812,805,884
2820,812,805,884
2830,812,805,884
2840,813,805,886
2850,812,805,882
2860,812,805,884
2870,812,805,884
2880,812,806,886
2890,812,806,884
2900,812,805,885
2910,812,805,884
2920,812,805,884
2930,812,806,884
2940,812,806,885
2950,812,806,886
2960,812,805,884
2970,812,806,884
2980,812,806,886
2990,812,806,885
3000,812,806,884
3010,812,805,884
3020,812,806,884
3030,812,806,884
3040,812,806,884
3050,811,805,884
3060,811,806,886
3070,811,806,884
3080,811,805,884
3090,811,806,885
3100,811,806,883
3110,811,806,883
3120,811,806,884
3130,811,806,885
3140,811,805,884
3150,811,806,884
3160,811,806,886
3170,811,806,885
3180,812,806,884
3190,811,806,886
3200,811,806,883
3210,811,806,886
3220,811,806,884
3230,811,806,886
3240,811,806,884
3250,811,806,885
3260,811,806,886
3270,811,806,884
3280,811,806,884
3290,811,806,884
3300,811,806,885
3310,811,806,884
3320,811,806,884
3330,811,806,884
3340,811,806,886
3350,811,806,885
3360,811,806,884
3370,811,806,886
3380,811,806,886
3390,811,806,884
3400,811,806,885
3410,811,806,884
3420,811,806,884
3430,811,806,884
3440,811,806,886
3450,811,806,885
3460,810,806,884
3470,810,806,886
3480,811,806,886
3490,811,806,884
3500,810,806,884
3510,811,806,884
3520,810,806,885
3530,811,806,885
3540,811,806,886
3550,811,806,885
3560,811,806,884
3570,811,806,886
3580,810,807,884
3590,810,806,884
3600,810,806,884
3610,811,806,885
3620,811,806,886
3630,810,806,885
3640,811,806,884
3650,810,806,886
3660,810,806,885
3670,810,806,884
3680,810,806,884
3690,810,806,884
3700,810,806,884
3710,810,806,884
3720,810,806,886
3730,811,806,885
3740,810,806,884
3750,810,806,886
3760,810,806,884
3770,810,806,883
3780,810,806,884
3790,810,806,884
3800,810,806,886
3810,810,806,884
3820,810,806,884
3830,810,806,886
3840,810,806,885
3850,810,806,884
3860,811,806,885
3870,810,806,883
3880,810,806,886
3890,810,806,884
3900,810,806,886
3910,811,806,885
3920,810,806,884
3930,810,806,886
3940,810,806,885
3950,810,806,884
3960,810,806,884
3970,810,806,884
3980,810,806,884
