Time_ms,Thumb,Index,Middle,Ring,Pinky
0,736,730,755,716,791
10,736,729,755,716,791
20,736,729,756,716,791
30,736,730,755,716,791
40,736,729,755,716,791
50,736,729,755,716,791
60,736,729,755,716,791
70,736,729,755,716,791
80,736,729,755,716,791
90,736,729,755,716,791
100,736,729,755,716,791
110,736,729,755,716,791
120,736,729,755,716,791
130,736,729,755,716,791
140,736,729,755,716,791
150,736,729,755,716,790
160,736,730,755,716,791
170,736,729,755,716,791
180,736,729,755,716,791
190,736,729,755,716,791
200,736,729,756,716,791
210,736,729,755,716,791
220,736,729,755,716,791
230,736,729,755,716,791
240,736,730,756,716,790
250,736,729,756,716,791
260,736,730,755,716,791
270,736,730,755,716,791
280,736,729,755,716,791
290,736,729,755,716,790
300,736,729,756,716,791
310,736,729,755,716,791
320,736,730,756,715,792
330,736,729,756,716,791
340,736,730,755,716,791
350,736,729,755,715,791
360,736,729,755,716,791
370,736,729,755,716,791
380,736,729,755,716,791
390,736,729,755,716,791
400,736,730,755,716,791
410,736,729,755,716,791
420,736,729,755,716,791
430,736,729,756,716,790
440,736,729,755,716,791
450,736,729,755,716,791
460,736,729,756,716,791
470,736,730,755,716,791
480,736,729,755,716,791
490,736,730,755,716,791
500,736,730,755,717,791
510,736,729,755,716,791
520,736,729,756,716,791
530,736,729,756,716,791
540,736,730,755,716,791
550,736,730,755,716,791
560,736,729,755,716,791
570,736,729,755,716,791
580,736,729,756,716,791
590,736,729,755,716,791
600,736,730,755,716,791
610,736,730,755,716,791
620,736,729,756,716,791
630,736,729,756,716,792
640,736,730,756,716,791
650,736,729,755,716,791
660,736,729,755,716,791
670,736,729,755,716,791
680,736,729,756,716,791
690,736,729,756,716,791
700,736,730,755,716,791
710,736,730,755,715,790
720,736,729,755,716,791
730,736,729,755,716,791
740,736,729,756,716,791
750,736,729,756,716,791
760,736,730,755,716,791
770,736,729,755,716,791
780,736,729,755,716,791
790,736,729,755,716,791
800,736,730,755,716,791
810,736,729,755,716,791
820,736,730,755,716,790
830,736,729,756,716,791
840,736,730,755,716,791
850,736,729,755,716,791
860,736,729,756,716,791
870,736,729,755,716,791
880,736,729,755,716,791
890,736,729,756,715,793
900,736,730,756,716,791
910,736,730,756,716,790
920,736,729,755,715,791
930,736,730,755,716,791
940,736,730,756,716,791
950,736,729,756,717,791
960,736,729,755,716,791
970,736,730,755,716,791
980,736,729,755,716,791
990,736,729,756,716,791
1000,736,729,756,716,790
1010,736,729,756,716,791
1020,736,729,756,716,791
1030,736,729,756,716,791
1040,736,729,755,716,791
1050,736,730,755,716,791
1060,736,729,755,716,791
1070,736,729,756,716,791
1080,736,729,756,716,791
1090,736,730,755,716,791
1100,736,729,756,716,791
1110,736,729,755,716,791
1120,736,729,756,716,791
1130,736,729,755,716,791
1140,736,729,756,716,791
1150,736,729,755,716,791
1160,736,730,755,716,791
1170,736,729,756,716,791
1180,736,729,755,716,791
1190,736,729,756,716,790
1200,736,730,755,716,791
1210,736,730,755,717,791
1220,736,729,756,716,791
1230,736,729,755,716,791
1240,736,729,755,716,791
1250,736,729,756,716,791
1260,736,729,755,716,791
1270,736,729,755,716,791
1280,736,729,755,716,791
1290,736,729,756,716,790
1300,736,729,755,716,791
1310,736,730,755,716,791
1320,736,730,756,716,791
1330,736,730,755,716,791
1340,736,729,756,716,792
1350,737,730,756,716,791
1360,737,730,755,717,791
1370,737,730,756,716,791
1380,737,730,756,716,791
1390,738,730,756,716,793
1400,738,730,756,717,791
1410,738,730,756,717,791
1420,739,730,756,717,792
1430,740,731,756,717,791
1440,741,732,756,717,792
1450,742,731,757,717,792
1460,744,733,756,717,792
1470,746,734,757,719,793
1480,748,735,757,719,792
1490,751,736,757,721,792
1500,753,738,758,723,793
1510,756,740,758,724,793
1520,760,743,758,726,794
1530,763,745,758,728,795
1540,767,747,759,730,795
1550,771,750,759,733,797
1560,775,752,760,735,798
1570,779,754,761,737,799
1580,782,756,762,739,802
1590,787,759,763,742,804
1600,790,762,764,744,807
1610,793,766,766,746,809
1620,796,768,766,750,812
1630,799,771,768,751,814
1640,801,773,770,752,817
1650,804,775,771,755,820
1660,806,777,772,757,822
1670,809,779,774,759,825
1680,811,782,775,762,826
1690,814,785,777,763,828
1700,816,787,778,765,830
1710,819,789,780,767,832
1720,821,791,782,769,834
1730,823,793,783,771,836
1740,825,795,784,773,838
1750,827,797,786,775,839
1760,830,799,788,777,841
1770,832,801,789,779,842
1780,834,803,790,781,843
1790,836,805,792,782,845
1800,837,807,793,784,846
1810,840,806,795,785,846
1820,841,808,795,786,847
1830,843,810,797,789,850
1840,845,811,798,790,852
1850,846,812,800,791,853
1860,848,813,801,793,854
1870,850,814,802,794,855
1880,851,816,803,795,856
1890,852,817,804,797,857
1900,853,818,805,797,858
1910,855,819,806,798,861
1920,856,820,807,799,860
1930,857,822,808,799,861
1940,858,823,809,799,862
1950,859,824,810,798,863
1960,860,825,811,797,862
1970,861,824,811,797,865
1980,862,823,812,796,866
1990,863,821,813,795,867
2000,863,820,813,795,868
2010,864,819,814,795,868
2020,865,819,815,795,869
2030,866,820,816,795,871
2040,866,820,816,795,870
2050,867,820,816,795,871
2060,868,820,817,795,872
2070,868,821,818,795,872
2080,869,822,818,795,872
2090,869,823,819,795,871
2100,870,824,820,797,873
2110,870,825,820,797,873
2120,871,826,820,797,872
2130,870,826,821,798,872
2140,870,827,821,798,871
2150,871,827,822,799,871
2160,871,828,823,799,872
2170,871,828,823,800,872
2180,871,828,824,801,873
2190,871,829,824,802,873
2200,871,830,825,803,873
2210,872,830,825,803,874
2220,872,830,826,804,874
2230,872,831,826,805,874
2240,872,832,827,806,873
2250,872,832,827,806,874
2260,872,833,827,807,874
2270,872,833,828,808,875
2280,872,834,829,808,875
2290,872,835,828,808,875
2300,872,835,829,808,874
2310,872,835,829,808,876
2320,872,835,830,808,876
2330,872,836,830,808,875
2340,872,836,830,808,875
2350,872,836,830,808,876
2360,872,836,831,808,876
2370,872,836,831,808,877
2380,872,836,831,808,877
2390,872,836,831,807,877
2400,872,836,831,807,877
2410,872,835,831,807,877
2420,872,835,830,807,877
2430,872,835,830,807,877
2440,872,835,830,807,877
2450,872,835,830,807,877
2460,872,835,830,807,877
2470,871,835,830,806,877
2480,871,835,830,807,877
2490,871,834,830,806,877
2500,871,834,830,807,877
2510,871,834,830,806,877
2520,871,834,830,806,878
2530,871,834,830,806,877
2540,871,834,830,806,877
2550,871,834,830,806,877
2560,871,834,830,807,877
2570,871,834,830,806,878
2580,871,834,830,806,878
2590,870,833,830,806,878
2600,871,833,830,806,878
2610,870,833,830,806,878
