Time_ms,Thumb,Index,Middle,Ring,Pinky
0,739,734,765,724,807
10,739,734,765,724,806
20,738,734,764,725,807
30,739,734,765,725,807
40,739,734,764,724,806
50,739,734,764,724,807
60,739,734,765,725,807
70,739,735,764,724,806
80,739,734,765,724,807
90,739,734,764,725,807
100,739,735,765,724,805
110,739,734,765,725,806
120,739,734,765,725,807
130,739,734,765,725,807
140,740,734,764,724,807
150,739,735,765,724,806
160,739,734,765,725,807
170,739,734,765,724,807
180,739,734,764,725,807
190,739,734,764,724,807
200,739,735,764,724,807
210,739,734,764,725,807
220,739,734,765,725,807
230,739,735,764,725,807
240,739,734,765,725,807
250,739,734,765,725,807
260,739,735,765,725,807
270,739,734,765,725,806
280,739,734,765,724,805
290,739,734,765,724,806
300,739,734,765,725,806
310,739,734,765,725,807
320,739,734,765,724,807
330,739,734,764,724,806
340,739,734,764,724,807
350,738,733,764,725,807
360,739,734,765,725,806
370,738,734,764,725,807
380,739,735,764,724,807
390,739,734,765,725,806
400,739,734,765,724,806
410,739,733,766,725,806
420,739,734,764,725,807
430,739,733,765,724,806
440,740,734,765,725,806
450,739,734,764,725,806
460,739,734,764,725,806
470,739,734,765,724,806
480,739,735,764,724,807
490,739,734,764,725,806
500,739,734,764,725,806
510,739,735,764,725,807
520,739,734,764,724,806
530,740,734,765,725,804
540,739,734,765,725,807
550,739,734,765,725,806
560,739,735,764,724,806
570,739,734,765,725,807
580,738,734,765,725,806
590,739,734,764,725,806
600,739,734,764,724,806
610,739,734,765,724,806
620,739,734,764,724,807
630,739,735,765,724,806
640,739,733,765,725,807
650,739,735,764,725,806
660,739,734,765,724,807
670,739,734,765,725,807
680,739,734,764,724,806
690,739,734,764,725,806
700,738,735,764,724,806
710,739,735,765,725,806
720,739,734,765,724,806
730,739,734,765,725,806
740,739,735,765,724,807
750,739,734,765,725,806
760,739,734,764,724,807
770,739,734,764,725,807
780,739,733,765,724,806
790,739,735,764,724,806
800,739,734,764,724,807
810,738,733,764,724,807
820,739,734,765,725,806
830,739,734,765,725,807
840,739,734,764,724,806
850,739,734,765,725,806
860,738,734,766,724,806
870,739,734,765,724,807
880,739,734,764,724,806
890,738,734,764,725,806
900,738,734,765,724,807
910,739,735,764,725,806
920,739,733,765,725,807
930,738,734,765,725,806
940,739,733,764,724,806
950,739,734,764,725,806
960,739,735,765,724,806
970,738,734,764,724,806
980,739,734,764,724,806
990,739,735,766,725,808
1000,739,733,765,725,806
1010,738,734,764,725,806
1020,739,732,765,725,805
1030,739,734,764,725,806
1040,738,734,765,725,806
1050,739,734,765,725,806
1060,738,734,766,725,806
1070,739,734,764,725,806
1080,739,734,764,725,806
1090,738,734,765,724,805
1100,738,734,765,724,806
1110,739,735,765,725,806
1120,739,734,765,725,806
1130,739,734,764,725,806
1140,738,734,765,725,806
1150,739,734,764,724,806
1160,739,734,765,724,806
1170,739,734,765,725,804
1180,739,734,765,725,806
1190,739,733,764,724,806
1200,740,734,764,724,806
1210,740,734,765,724,806
1220,740,734,765,724,804
1230,740,734,765,724,806
1240,740,734,765,724,806
1250,740,734,765,724,807
1260,740,734,765,725,806
1270,741,735,765,724,806
1280,741,735,766,725,806
1290,742,734,765,725,806
1300,742,735,766,724,807
1310,743,734,767,725,807
1320,743,735,766,724,807
1330,744,736,766,725,806
1340,746,736,767,725,807
1350,746,736,767,725,807
1360,747,737,768,725,806
1370,748,739,768,725,807
1380,750,739,769,725,807
1390,751,741,770,725,807
1400,752,740,771,726,807
1410,754,743,772,726,808
1420,755,745,773,726,808
1430,757,747,775,726,807
1440,758,750,776,727,809
1450,759,751,779,728,808
1460,761,754,780,728,809
1470,762,757,782,728,810
1480,764,759,783,729,811
1490,765,762,785,730,812
1500,767,764,787,731,813
1510,768,767,788,731,814
1520,770,770,790,733,816
1530,771,771,792,735,818
1540,773,774,793,736,820
1550,773,776,794,738,822
1560,774,779,795,742,824
1570,774,780,797,743,827
1580,775,784,798,744,830
1590,775,785,799,748,832
1600,776,786,800,750,834
1610,777,790,802,752,836
1620,777,792,803,755,838
1630,778,794,804,758,840
1640,778,795,805,759,842
1650,778,797,807,763,844
1660,779,799,808,765,845
1670,780,800,809,767,847
1680,781,803,811,770,847
1690,781,804,812,770,849
1700,781,806,814,773,851
1710,782,808,814,775,853
1720,782,809,815,777,854
1730,783,811,817,779,855
1740,783,812,818,781,856
1750,784,813,819,783,858
1760,784,815,820,785,859
1770,785,816,821,786,859
1780,786,817,822,788,861
1790,786,817,823,789,862
1800,786,819,825,791,862
1810,786,820,825,792,863
1820,787,821,825,793,864
1830,788,821,828,795,865
1840,788,822,828,795,865
1850,788,823,828,797,867
1860,789,823,830,798,867
1870,790,824,829,799,868
1880,790,823,830,801,868
1890,791,825,831,801,870
1900,791,825,831,801,870
