Time_ms,Thumb,Index,Middle,Ring,Pinky
0,753,733,777,714,799
10,753,732,778,714,799
20,753,732,777,714,799
30,753,733,777,715,799
40,753,732,777,714,799
50,753,732,778,714,799
60,753,733,777,714,799
70,753,732,777,714,800
80,753,732,777,714,799
90,753,732,777,714,799
100,753,732,777,714,799
110,753,732,777,714,799
120,753,733,778,714,800
130,753,732,777,714,799
140,753,733,778,713,799
150,753,732,777,714,800
160,753,732,777,714,799
170,753,732,777,714,800
180,753,733,778,714,799
190,753,733,778,714,800
200,753,733,777,714,799
210,753,732,777,714,799
220,753,732,778,714,799
230,753,733,777,714,800
240,753,731,777,714,799
250,753,732,778,714,799
260,753,733,777,713,799
270,754,733,776,713,799
280,753,732,777,714,799
290,753,732,778,714,799
300,753,733,777,714,799
310,754,732,777,714,799
320,753,732,777,714,799
330,753,733,777,714,799
340,753,732,777,714,799
350,753,732,777,714,800
360,754,732,777,714,799
370,753,732,777,714,799
380,752,732,777,714,799
390,753,733,777,714,799
400,753,732,778,714,799
410,753,733,777,714,799
420,753,732,777,714,799
430,753,731,777,714,799
440,753,733,777,714,799
450,754,732,777,714,800
460,753,733,777,714,799
470,753,732,777,713,799
480,753,731,778,714,799
490,753,732,777,714,799
500,753,734,777,714,800
510,753,732,777,715,799
520,753,732,778,714,800
530,753,732,777,714,799
540,753,732,777,714,799
550,753,732,777,714,799
560,753,732,777,714,799
570,753,732,777,714,799
580,753,732,777,713,800
590,753,732,777,714,799
600,753,733,777,714,799
610,753,733,777,713,799
620,753,732,778,714,799
630,754,733,777,714,799
640,754,732,777,714,799
650,753,732,777,714,799
660,753,734,777,714,799
670,753,732,777,714,799
680,753,733,778,714,799
690,753,732,777,714,799
700,753,732,777,715,799
710,753,733,777,714,799
720,753,732,777,714,800
730,753,734,778,714,800
740,754,733,777,714,799
750,753,733,777,714,799
760,753,733,777,714,799
770,753,732,777,714,799
780,753,733,777,714,799
790,753,734,777,714,799
800,753,732,778,714,799
810,753,732,778,714,799
820,753,732,777,713,799
830,753,733,776,714,799
840,753,732,777,714,799
850,753,733,777,714,799
860,753,734,778,714,799
870,753,732,777,714,799
880,753,732,777,714,799
890,753,732,777,714,799
900,753,733,777,714,800
910,754,732,777,714,799
920,753,733,778,714,799
930,753,733,777,714,799
940,753,733,777,714,800
950,753,732,776,713,799
960,753,732,777,714,799
970,753,732,777,714,799
980,753,732,777,714,799
990,752,732,778,714,799
1000,753,731,777,714,799
1010,753,732,777,714,799
1020,754,732,777,714,799
1030,753,733,777,714,800
1040,753,732,777,714,799
1050,753,732,777,714,799
1060,753,733,778,714,799
1070,753,733,777,713,799
1080,753,732,778,714,799
1090,753,732,778,714,799
1100,753,732,777,714,800
1110,753,732,777,714,800
1120,753,732,778,713,799
1130,753,733,776,713,799
1140,753,732,777,714,799
1150,753,732,777,715,800
1160,752,733,776,713,799
1170,753,733,776,714,799
1180,753,733,776,714,800
1190,752,733,777,714,799
1200,753,733,776,713,800
1210,752,732,776,714,800
1220,752,733,776,714,800
1230,753,733,776,714,800
1240,752,732,776,714,800
1250,752,733,775,714,801
1260,752,733,775,714,800
1270,753,733,775,714,801
1280,753,733,774,714,801
1290,753,733,775,715,801
1300,754,733,774,715,802
1310,754,734,774,715,802
1320,755,735,774,716,803
1330,756,736,773,716,804
1340,758,737,773,717,804
1350,760,738,774,718,805
1360,763,739,774,718,805
1370,766,741,774,719,808
1380,769,744,774,720,809
1390,772,745,775,721,810
1400,776,748,775,722,811
1410,779,750,777,723,813
1420,782,752,777,725,815
1430,784,756,778,727,817
1440,786,759,778,729,819
1450,789,761,779,730,822
1460,790,763,782,733,824
1470,792,765,783,735,826
1480,794,768,784,736,829
1490,796,771,786,738,831
1500,797,773,788,738,832
1510,799,775,790,740,836
1520,801,777,792,741,838
1530,802,779,794,743,839
1540,804,781,796,744,843
1550,806,783,797,745,843
1560,807,784,799,746,843
1570,808,786,801,748,844
1580,810,789,804,750,847
1590,812,789,806,751,848
1600,812,792,808,751,850
1610,814,794,810,753,851
1620,815,795,811,755,851
1630,816,797,812,755,853
1640,818,799,814,756,855
1650,818,801,815,758,853
1660,820,802,816,759,856
1670,820,803,818,760,856
1680,822,804,818,761,858
1690,823,805,818,762,858
1700,823,807,820,763,859
1710,825,807,821,764,858
1720,825,808,823,766,861
1730,825,809,825,766,861
1740,827,810,824,766,863
1750,828,811,825,768,862
1760,828,812,825,769,863
1770,830,813,825,770,864
1780,830,814,825,770,865
1790,831,815,825,771,866
1800,832,816,825,772,867
1810,832,816,826,773,867
1820,833,817,826,773,871
1830,834,817,826,774,869
1840,834,818,826,775,869
1850,835,819,826,775,871
1860,835,820,826,777,869
1870,836,820,826,776,873
