Time_ms,Thumb,Index,Middle,Ring,Pinky
0,739,732,755,715,793
10,739,732,754,715,792
20,739,733,754,715,792
30,739,732,754,715,792
40,739,732,755,715,792
50,739,732,754,715,792
60,739,733,754,715,792
70,739,733,755,715,792
80,739,733,754,715,792
90,739,733,754,715,792
100,739,732,754,715,792
110,739,733,754,715,792
120,739,732,754,715,792
130,739,733,754,715,792
140,739,732,754,715,792
150,739,732,755,715,792
160,739,733,754,715,792
170,740,732,755,715,792
180,739,732,754,715,792
190,739,732,754,715,792
200,739,733,754,715,792
210,739,732,754,715,792
220,739,732,754,715,792
230,739,733,754,715,792
240,739,732,754,716,792
250,739,733,754,715,792
260,739,733,755,715,792
270,739,733,754,715,792
280,739,733,754,715,792
290,739,733,755,715,792
300,739,733,754,715,792
310,739,732,754,715,792
320,739,732,754,715,792
330,739,732,754,715,793
340,739,732,755,716,792
350,739,732,754,715,792
360,739,732,754,715,792
370,739,733,754,715,792
380,739,732,754,716,792
390,739,732,754,716,792
400,739,733,754,715,792
410,739,732,754,715,792
420,739,732,754,715,792
430,739,732,755,716,792
440,739,732,755,715,792
450,739,732,755,716,792
460,739,732,754,715,791
470,739,732,754,715,792
480,739,732,754,715,792
490,739,733,754,715,792
500,739,732,754,715,792
510,739,733,754,715,792
520,739,732,754,715,792
530,739,732,754,715,792
540,739,732,754,715,792
550,739,733,754,715,792
560,739,733,754,715,792
570,739,732,754,715,792
580,739,732,754,715,792
590,739,732,754,715,792
600,739,732,754,715,792
610,739,732,754,715,792
620,739,732,755,715,792
630,740,732,755,715,792
640,739,732,754,715,792
650,739,732,754,715,792
660,739,732,754,716,792
670,739,732,755,716,792
680,739,732,754,715,792
690,739,732,755,715,792
700,739,732,754,716,792
710,739,732,755,715,790
720,739,732,754,715,792
730,739,733,754,715,792
740,739,733,754,715,792
750,739,732,755,715,792
760,739,732,754,715,792
770,739,732,754,715,792
780,739,732,754,715,792
790,739,732,755,715,792
800,739,733,754,715,792
810,739,732,754,715,792
820,739,733,754,715,792
830,739,733,754,715,792
840,739,733,754,715,792
850,739,732,754,715,792
860,740,733,755,715,792
870,739,733,754,715,792
880,739,732,754,715,792
890,739,733,754,715,792
900,739,733,755,716,792
910,739,733,754,715,792
920,739,732,754,715,792
930,739,732,754,715,792
940,739,732,755,715,792
950,739,733,754,715,792
960,739,732,754,715,792
970,739,732,754,716,792
980,739,732,755,715,792
990,739,732,754,715,792
1000,739,731,754,715,792
1010,739,732,754,715,792
1020,739,732,755,715,792
1030,739,733,754,715,792
1040,739,732,755,715,792
1050,739,733,754,715,792
1060,739,732,754,715,792
1070,739,733,754,715,792
1080,739,732,755,715,792
1090,739,732,754,715,792
1100,739,732,755,715,791
1110,739,733,755,715,792
1120,739,732,755,715,792
1130,739,732,754,715,792
1140,739,732,754,715,792
1150,739,733,754,715,792
1160,739,733,754,715,792
1170,739,732,755,715,792
1180,739,733,754,715,792
1190,739,733,755,715,792
1200,740,733,755,715,792
1210,740,733,755,716,792
1220,741,732,755,716,793
1230,742,732,755,716,792
1240,742,732,755,716,792
1250,743,732,755,716,792
1260,743,732,755,716,792
1270,744,732,755,716,792
1280,745,732,755,716,791
1290,746,732,755,716,793
1300,747,732,755,717,792
1310,749,733,755,717,792
1320,750,733,756,718,793
1330,752,734,756,719,793
1340,755,735,756,719,793
1350,757,736,756,720,793
1360,760,738,756,721,793
1370,763,739,756,722,793
1380,767,741,757,725,793
1390,771,744,758,726,794
1400,774,746,758,728,794
1410,778,749,758,729,795
1420,782,751,760,731,796
1430,786,753,760,733,797
1440,790,756,761,735,799
1450,793,759,762,738,800
1460,796,762,764,739,801
1470,799,764,765,742,804
1480,803,767,766,744,806
1490,806,769,768,746,808
1500,808,772,769,748,811
1510,811,774,771,750,813
1520,814,777,772,751,816
1530,817,779,773,754,818
1540,820,781,774,756,820
1550,822,783,776,758,822
1560,824,785,778,759,824
1570,827,788,779,762,826
1580,829,790,781,764,828
1590,832,792,782,766,831
1600,834,794,783,768,830
1610,836,796,784,769,833
1620,838,798,785,771,835
1630,840,801,787,773,837
1640,843,802,788,774,839
1650,844,804,790,777,841
1660,846,807,791,779,843
1670,848,809,792,780,843
1680,850,810,793,782,842
1690,852,812,794,783,844
1700,853,814,795,784,845
1710,855,816,796,786,849
1720,856,818,797,788,849
1730,858,820,798,789,850
1740,859,822,799,791,852
1750,860,823,800,792,853
1760,861,824,800,793,854
1770,861,826,801,794,855
1780,862,827,802,796,856
1790,864,829,803,797,857
1800,864,830,803,798,859
1810,865,831,804,799,859
1820,866,832,805,800,858
1830,867,834,806,801,861
1840,867,834,806,802,862
1850,868,834,807,803,863
1860,869,835,808,805,863
1870,870,835,808,806,865
1880,870,836,809,807,865
1890,870,837,809,807,865
1900,871,838,810,808,867
1910,872,838,811,809,867
1920,871,839,811,808,868
1930,872,840,812,807,869
1940,873,840,812,807,869
1950,873,840,812,807,870
1960,873,841,814,806,870
1970,874,842,813,806,870
1980,874,842,814,806,871
1990,875,842,814,806,872
2000,875,842,814,806,872
2010,875,843,815,806,873
2020,875,844,816,805,873
2030,876,844,816,805,873
2040,876,844,816,805,874
2050,876,844,817,805,872
2060,876,845,817,805,874
2070,877,845,817,805,874
2080,877,846,818,805,874
2090,877,846,818,805,875
2100,877,847,818,805,875
2110,877,847,819,805,874
2120,878,848,819,805,875
2130,878,848,819,805,875
2140,878,848,820,805,875
2150,878,849,820,805,875
2160,878,849,820,805,875
2170,879,850,820,805,875
2180,878,850,820,805,876
2190,879,851,821,805,876
2200,879,851,821,805,876
2210,880,851,821,804,876
2220,879,851,822,805,876
2230,880,852,822,804,877
2240,880,852,822,804,876
2250,880,852,823,804,875
2260,880,853,823,804,876
2270,880,854,823,805,876
2280,880,854,823,804,876
2290,881,855,823,804,876
2300,881,855,823,804,876
