Time_ms,Thumb,Index,Middle,Ring,Pinky
0,765,736,771,728,813
10,765,736,772,728,813
20,765,737,771,728,813
30,765,737,771,728,813
40,765,736,772,727,815
50,765,737,772,728,812
60,766,737,772,728,813
70,766,736,772,729,812
80,765,737,771,728,812
90,764,737,771,728,813
100,765,737,772,728,812
110,765,737,771,728,812
120,765,736,771,727,811
130,764,737,771,728,813
140,765,737,771,728,812
150,764,736,771,728,812
160,765,737,772,729,812
170,765,737,772,728,812
180,764,737,771,729,812
190,765,737,771,728,812
200,764,736,772,728,812
210,765,737,772,727,814
220,765,737,771,729,812
230,764,737,771,729,813
240,764,736,772,728,812
250,764,736,771,729,812
260,765,736,772,729,812
270,765,737,772,728,812
280,765,737,772,728,812
290,765,736,772,728,813
300,764,736,771,728,812
310,765,737,771,728,812
320,764,736,772,728,813
330,764,737,771,728,812
340,764,737,771,729,813
350,765,736,772,728,813
360,765,736,771,728,813
370,765,737,772,728,812
380,764,737,771,728,812
390,765,738,771,728,812
400,764,737,771,728,812
410,765,736,772,728,812
420,765,737,771,728,813
430,765,737,771,728,812
440,765,736,772,728,812
450,766,736,772,728,811
460,765,737,771,728,812
470,764,737,772,728,812
480,764,737,772,728,812
490,765,737,772,727,814
500,764,736,771,728,812
510,764,736,771,728,812
520,765,737,772,727,813
530,765,737,771,728,812
540,765,737,771,728,812
550,765,737,772,729,811
560,765,737,771,728,812
570,765,737,771,728,813
580,765,736,772,728,812
590,764,736,771,728,812
600,765,737,771,728,813
610,764,737,771,728,812
620,764,736,772,728,813
630,765,737,771,728,812
640,766,737,771,728,812
650,766,736,771,728,812
660,765,736,771,728,812
670,764,736,771,727,812
680,764,737,771,729,813
690,765,736,771,728,812
700,765,736,772,728,812
710,765,737,772,729,812
720,765,736,772,728,814
730,765,736,772,728,812
740,765,736,772,728,811
750,765,737,771,728,813
760,765,737,771,728,812
770,765,737,772,727,813
780,765,737,772,728,812
790,765,737,771,729,812
800,765,737,771,728,812
810,765,737,771,728,812
820,765,736,772,728,813
830,765,736,771,728,813
840,765,736,772,728,811
850,765,736,772,728,812
860,765,737,772,728,812
870,765,737,771,728,812
880,765,736,772,728,813
890,765,737,772,729,812
900,765,736,771,728,812
910,764,737,771,728,813
920,765,736,772,728,812
930,766,736,772,728,812
940,766,736,771,729,812
950,765,737,771,728,812
960,765,736,772,728,812
970,764,737,771,727,810
980,765,737,771,728,812
990,765,736,771,728,812
1000,765,736,771,728,812
1010,765,736,772,729,812
1020,765,737,771,728,812
1030,765,737,772,728,812
1040,765,737,771,728,813
1050,764,737,772,728,812
1060,764,736,771,728,813
1070,765,737,771,728,812
1080,765,736,771,728,812
1090,764,736,771,728,812
1100,765,736,772,728,812
1110,765,737,771,728,812
1120,764,736,771,727,810
1130,765,737,772,728,811
1140,765,736,771,728,812
1150,765,737,771,727,812
1160,764,736,771,728,812
1170,765,736,772,728,812
1180,765,736,771,728,812
1190,764,736,771,728,812
1200,765,736,771,728,811
1210,764,737,772,728,812
1220,765,735,772,728,812
1230,765,736,771,728,812
1240,765,738,771,728,812
1250,765,736,772,728,812
1260,764,736,771,728,812
1270,765,737,771,728,812
1280,764,736,772,728,812
1290,765,736,771,728,812
1300,764,736,771,728,812
1310,764,736,771,728,812
1320,765,736,771,728,812
1330,765,736,771,728,813
1340,765,736,771,728,812
1350,764,736,771,728,812
1360,765,737,771,728,812
1370,764,737,771,727,810
1380,764,737,771,728,813
1390,765,737,771,728,812
1400,764,737,771,727,810
1410,764,737,771,728,813
1420,765,737,772,728,812
1430,765,736,772,728,813
1440,765,737,771,728,812
1450,764,736,771,728,812
1460,764,736,771,728,812
1470,764,736,772,728,812
1480,764,736,771,728,812
1490,764,736,771,728,812
1500,764,736,772,728,812
1510,765,737,772,727,811
1520,765,737,771,727,812
1530,764,736,771,728,812
1540,764,736,771,728,812
1550,764,736,771,727,812
1560,764,736,771,728,812
1570,764,736,771,728,812
1580,764,736,771,728,812
1590,764,736,771,727,812
1600,764,737,771,727,812
1610,765,735,771,727,810
1620,765,737,771,727,812
1630,764,736,771,727,812
1640,764,736,771,728,812
1650,764,735,771,727,812
1660,764,736,771,728,812
1670,765,736,771,727,812
1680,765,736,771,728,812
1690,764,736,771,728,812
1700,765,737,772,728,812
1710,765,736,771,727,811
1720,765,736,771,727,811
1730,764,736,771,728,812
1740,764,736,771,728,812
1750,765,736,772,727,813
1760,765,737,771,727,812
1770,765,736,772,728,812
1780,765,737,773,726,812
1790,765,736,773,728,812
1800,767,736,773,727,812
1810,767,737,773,727,813
1820,766,737,773,727,812
1830,767,738,773,727,813
1840,767,737,773,727,813
1850,767,739,774,727,813
1860,768,739,774,728,813
1870,769,739,774,728,813
1880,769,738,774,727,814
1890,770,740,775,728,814
1900,771,740,776,727,815
1910,773,741,776,728,814
1920,773,740,776,728,814
1930,775,741,778,728,815
1940,777,742,779,728,815
1950,778,743,778,728,815
1960,780,743,780,728,816
1970,783,745,781,729,816
1980,784,746,781,729,816
1990,788,746,784,730,817
2000,789,747,784,729,818
2010,791,749,785,730,818
2020,794,749,787,731,819
2030,796,750,787,731,820
2040,797,752,789,732,820
2050,800,754,791,731,820
2060,801,755,792,731,823
2070,803,756,793,733,824
2080,805,758,795,733,822
2090,807,759,796,735,824
2100,809,761,798,735,827
2110,810,762,799,737,828
2120,812,764,800,738,829
2130,813,766,801,740,831
2140,815,767,803,742,832
2150,817,769,804,743,833
2160,819,771,805,745,836
2170,820,773,808,747,837
2180,822,774,809,747,839
2190,823,776,811,749,840
2200,825,777,811,751,841
2210,827,779,812,752,842
2220,828,781,814,754,845
2230,829,782,815,756,846
2240,831,784,817,756,847
2250,831,785,819,759,848
2260,833,786,819,760,849
2270,834,788,821,761,849
2280,836,790,822,763,851
2290,836,791,823,765,853
2300,837,792,825,766,854
2310,838,794,826,768,855
2320,839,796,828,769,856
2330,840,797,829,771,855
2340,840,798,829,772,858
2350,841,799,831,774,859
2360,841,800,830,774,860
2370,843,801,832,776,861
2380,843,803,834,777,861
2390,844,804,834,777,862
2400,845,804,835,779,863
2410,845,805,835,780,863
2420,846,806,836,781,867
2430,846,807,837,782,865
2440,847,807,838,783,866
2450,847,808,839,783,866
2460,847,809,839,784,865
2470,848,810,841,785,868
2480,848,810,841,786,868
2490,848,811,842,787,869
2500,849,811,843,787,870
2510,849,812,843,788,870
2520,849,812,844,789,871
2530,850,812,844,790,871
2540,850,812,845,790,871
2550,851,813,846,790,874
2560,851,813,846,791,872
2570,851,814,846,793,873
2580,851,814,847,792,873
2590,852,815,848,793,874
2600,852,815,848,795,874
2610,852,815,848,795,875
2620,852,816,849,795,874
2630,853,816,849,795,876
2640,853,817,850,797,875
2650,853,818,850,796,876
2660,853,818,850,797,877
2670,853,818,850,797,876
2680,854,818,851,798,877
2690,854,819,851,798,877
