Time_ms,Thumb,Index,Middle,Ring,Pinky
0,743,735,771,729,812
10,742,735,771,728,811
20,742,735,771,728,812
30,742,735,770,729,812
40,742,735,771,728,809
50,743,735,770,728,812
60,743,734,771,729,812
70,743,736,771,728,811
80,743,735,771,729,812
90,743,736,771,729,812
100,742,736,771,729,812
110,742,735,772,728,812
120,742,736,770,729,813
130,744,736,771,729,812
140,743,735,772,728,814
150,742,736,771,728,811
160,742,735,771,729,812
170,743,735,770,728,812
180,742,735,771,729,812
190,742,735,770,729,811
200,742,736,770,729,812
210,742,735,771,729,812
220,742,735,771,728,812
230,742,735,771,729,812
240,742,735,771,728,810
250,742,735,771,729,812
260,742,736,771,729,811
270,742,736,771,728,811
280,743,735,771,728,812
290,742,736,770,729,812
300,742,735,771,729,811
310,742,735,771,728,812
320,742,736,771,728,812
330,742,736,771,729,812
340,742,735,771,728,812
350,742,735,771,729,812
360,743,736,771,729,812
370,742,736,770,729,812
380,742,735,770,728,812
390,742,735,771,728,812
400,743,736,771,728,811
410,742,736,771,728,811
420,742,735,770,728,812
430,743,735,771,729,811
440,742,735,771,729,812
450,743,734,771,729,811
460,743,735,771,729,812
470,742,735,770,728,811
480,742,735,771,728,812
490,742,735,771,728,811
500,742,736,771,729,811
510,743,735,771,728,812
520,742,735,772,728,812
530,743,735,771,728,811
540,743,735,771,728,812
550,742,734,770,728,812
560,742,735,771,729,812
570,742,735,771,729,812
580,742,736,771,728,811
590,742,735,771,728,812
600,742,735,771,728,812
610,742,736,770,729,811
620,742,736,771,728,809
630,742,735,771,729,812
640,742,735,771,729,811
650,742,736,770,729,812
660,742,735,770,728,811
670,743,735,771,729,812
680,742,735,771,729,812
690,742,735,771,729,811
700,742,736,771,729,812
710,743,736,771,728,811
720,742,735,771,728,811
730,743,735,771,728,811
740,743,735,772,728,811
750,742,736,771,728,812
760,743,735,771,729,811
770,742,736,770,728,812
780,742,735,771,728,812
790,742,735,771,728,811
800,742,735,770,728,812
810,742,736,771,729,812
820,743,735,771,728,811
830,742,734,771,729,810
840,742,735,771,728,812
850,742,736,770,728,812
860,743,735,771,729,812
870,743,735,771,728,811
880,742,736,770,729,812
890,742,736,771,729,812
900,743,735,771,729,812
910,742,735,771,728,812
920,743,736,770,728,812
930,743,735,771,730,811
940,742,735,771,729,811
950,743,735,770,728,812
960,742,735,771,729,812
970,742,735,771,728,811
980,743,736,770,728,812
990,742,735,771,729,812
1000,742,735,771,729,809
1010,742,735,771,728,812
1020,743,735,771,728,812
1030,742,736,771,729,811
1040,742,735,771,729,812
1050,742,736,770,729,811
1060,742,735,770,728,811
1070,742,735,771,729,812
1080,742,736,771,728,810
1090,742,735,771,729,811
1100,743,735,771,729,812
1110,742,736,771,728,811
1120,743,735,771,728,811
1130,742,735,771,729,811
1140,743,736,771,729,811
1150,742,735,771,729,811
1160,742,735,770,729,811
1170,742,735,771,729,812
1180,743,736,771,728,811
1190,742,735,771,728,812
1200,742,736,770,729,812
1210,742,735,771,728,810
1220,742,735,771,728,811
1230,742,736,771,729,811
1240,742,736,770,728,812
1250,743,735,770,729,812
1260,742,736,770,728,812
1270,742,735,770,728,812
1280,742,735,770,729,812
1290,742,736,771,729,812
1300,742,735,771,728,812
1310,742,736,771,729,811
1320,742,735,771,729,811
1330,742,735,770,729,811
1340,742,735,771,728,812
1350,743,735,771,728,812
1360,742,736,771,728,812
1370,742,735,771,728,811
1380,743,735,770,728,812
1390,742,736,771,728,812
1400,742,735,770,728,812
1410,742,734,771,729,811
1420,742,735,771,729,812
1430,742,735,770,729,811
1440,743,735,771,728,812
1450,742,735,771,728,812
1460,743,736,771,729,811
1470,743,735,771,728,811
1480,742,735,770,729,812
1490,742,736,771,728,811
1500,743,736,771,728,812
1510,743,734,771,729,809
1520,743,735,771,728,811
1530,742,735,771,728,811
1540,743,735,771,728,812
1550,743,735,772,728,812
1560,743,736,771,728,811
1570,744,735,771,728,812
1580,744,735,772,728,813
1590,745,736,771,728,812
1600,745,736,772,728,812
1610,745,736,772,728,813
1620,746,736,772,728,812
1630,747,736,773,728,812
1640,748,738,773,727,812
1650,749,737,773,728,812
1660,751,738,773,728,812
1670,753,738,774,728,812
1680,755,738,774,728,813
1690,756,738,775,728,813
1700,758,739,775,728,814
1710,760,740,775,727,813
1720,763,741,776,728,814
1730,766,741,777,728,814
1740,769,741,778,728,814
1750,772,742,780,728,815
1760,776,744,780,728,815
1770,779,744,782,728,816
1780,782,744,783,728,817
1790,786,746,785,729,817
1800,789,746,786,729,817
1810,792,747,787,730,818
1820,796,749,790,730,819
1830,799,751,791,730,820
1840,801,752,793,731,822
1850,803,754,795,733,823
1860,806,755,796,733,826
1870,808,758,798,734,825
1880,810,760,800,736,826
1890,813,762,801,738,828
1900,815,763,804,740,829
1910,817,766,805,742,832
1920,820,768,807,744,835
1930,821,770,808,747,836
1940,823,772,809,748,838
1950,826,774,812,751,840
1960,827,777,813,753,841
1970,828,778,815,755,843
1980,831,780,816,757,846
1990,831,782,818,759,847
2000,832,784,819,761,849
2010,834,786,822,763,851
2020,835,788,822,765,852
2030,836,790,824,768,852
2040,838,792,826,769,854
2050,838,793,827,771,855
2060,839,795,828,773,857
2070,840,797,830,775,858
2080,842,797,831,777,859
2090,842,799,832,779,860
2100,842,801,834,781,862
2110,844,802,835,783,863
2120,844,804,836,785,866
2130,845,805,837,785,864
2140,846,805,839,787,866
2150,847,807,840,789,866
2160,847,807,840,789,867
2170,848,809,842,791,868
2180,849,810,843,792,869
2190,848,810,844,792,870
2200,849,811,844,793,871
2210,850,812,845,795,871
2220,850,812,846,796,873
2230,850,812,846,797,873
2240,850,812,848,797,873
2250,852,814,848,798,874
2260,851,814,849,797,875
2270,852,814,848,796,876
2280,852,815,850,797,876
2290,853,815,851,797,876
2300,853,815,852,797,876
2310,853,815,853,797,878
2320,854,816,853,797,877
2330,854,816,854,796,878
2340,855,816,853,797,879
2350,854,818,854,797,880
2360,854,818,853,797,880
2370,855,818,854,796,881
2380,855,818,854,796,880
2390,855,819,854,797,880
2400,856,819,853,796,880
2410,855,819,855,797,881
2420,856,820,854,797,881
2430,857,822,853,797,882
2440,856,820,854,797,882
2450,857,822,853,797,883
2460,856,822,853,797,883
2470,856,821,853,797,884
2480,856,822,853,797,883
2490,857,822,854,797,884
2500,857,823,853,797,884
2510,857,822,853,797,884
2520,857,823,854,797,884
2530,856,823,853,797,885
2540,857,823,853,797,885
2550,856,823,854,797,885
2560,856,823,853,797,885
2570,856,823,854,798,885
2580,856,824,853,798,886
2590,856,823,853,797,887
2600,856,824,853,797,886
2610,857,824,854,797,886
2620,857,824,853,797,887
2630,857,824,853,797,887
2640,856,823,853,798,887
2650,857,823,853,797,887
2660,857,823,854,797,886
2670,857,824,853,798,887
2680,856,824,853,798,886
2690,857,824,853,797,886
2700,857,824,854,798,886
2710,857,824,854,797,886
2720,856,824,854,797,886
2730,856,824,854,798,887
2740,857,824,854,798,885
2750,857,823,854,798,886
2760,857,824,854,798,886
2770,856,824,854,797,885
2780,856,824,854,797,885
2790,857,824,853,798,885
2800,856,824,853,798,885
2810,857,824,853,797,885
2820,856,824,853,798,885
2830,857,824,853,798,885
2840,856,824,853,797,885
2850,857,824,853,798,885
2860,857,824,853,797,885
2870,856,824,853,797,885
2880,857,824,853,798,885
2890,856,824,853,797,885
