Time_ms,Thumb,Index,Middle,Ring,Pinky
0,739,749,766,727,804
10,739,749,766,727,805
20,740,749,766,727,804
30,739,749,766,727,804
40,739,750,766,727,804
50,740,750,767,727,804
60,739,749,766,727,804
70,739,749,767,727,804
80,739,749,766,728,804
90,740,749,766,727,805
100,740,749,766,727,804
110,740,749,766,727,805
120,739,749,766,726,804
130,739,749,766,727,805
140,738,750,766,727,804
150,740,750,766,728,804
160,739,749,766,728,803
170,739,749,766,727,804
180,739,749,766,727,804
190,740,749,766,727,804
200,739,749,766,726,806
210,739,750,766,726,805
220,739,750,766,727,804
230,739,748,766,727,805
240,739,749,766,727,805
250,740,749,766,727,805
260,739,749,766,727,803
270,739,748,766,727,804
280,739,748,767,727,804
290,739,749,766,727,804
300,739,749,766,727,804
310,739,749,766,728,805
320,740,749,766,727,804
330,739,749,766,727,804
340,739,750,766,727,804
350,739,749,766,727,804
360,739,748,766,727,804
370,739,749,766,726,805
380,739,748,766,727,804
390,739,749,766,727,804
400,740,750,766,727,805
410,739,749,767,727,804
420,739,748,766,727,805
430,739,749,766,727,804
440,739,749,766,727,804
450,739,749,767,727,804
460,740,749,766,727,804
470,739,749,766,727,804
480,739,749,766,726,806
490,739,748,766,727,805
500,739,749,766,727,805
510,739,749,766,727,804
520,739,748,767,727,804
530,739,749,766,727,805
540,739,748,766,727,804
550,739,749,766,726,806
560,739,748,766,727,804
570,739,748,766,727,804
580,740,749,767,727,804
590,739,749,767,727,804
600,739,748,766,727,804
610,739,749,766,727,804
620,739,749,766,727,805
630,739,749,766,726,805
640,739,748,766,727,803
650,739,748,766,727,804
660,739,749,766,727,804
670,739,748,767,727,804
680,739,749,766,727,804
690,740,749,766,727,804
700,739,748,766,727,804
710,739,749,766,727,804
720,739,750,766,727,804
730,739,749,766,726,804
740,740,748,766,727,803
750,739,750,766,727,805
760,739,749,766,727,806
770,739,749,767,727,803
780,739,748,766,727,805
790,739,749,766,727,805
800,739,748,766,727,804
810,739,748,766,727,805
820,739,749,766,726,804
830,739,748,766,727,803
840,739,749,767,727,805
850,739,749,767,727,804
860,739,748,766,727,806
870,739,750,767,728,805
880,739,749,766,728,804
890,739,749,766,727,804
900,739,749,766,727,804
910,739,749,766,727,805
920,740,749,766,727,805
930,739,748,767,727,805
940,739,749,766,727,804
950,739,749,766,727,804
960,740,749,766,727,804
970,740,749,766,727,804
980,739,749,767,726,804
990,739,749,766,727,805
1000,740,749,766,727,804
1010,739,749,766,726,804
1020,739,749,767,727,804
1030,740,748,766,727,804
1040,739,749,766,726,804
1050,740,749,766,727,805
1060,739,750,766,727,805
1070,739,748,766,727,804
1080,739,749,766,727,804
1090,739,749,766,727,804
1100,738,748,767,727,804
1110,739,748,766,727,804
1120,739,749,766,727,804
1130,739,748,766,727,804
1140,740,748,766,727,804
1150,739,749,767,727,804
1160,740,748,767,727,804
1170,739,749,766,727,804
1180,739,749,766,727,805
1190,739,749,767,727,804
1200,739,749,766,727,804
1210,739,749,766,727,805
1220,739,748,766,727,803
1230,739,749,766,727,804
1240,739,748,766,726,804
1250,739,749,766,727,804
1260,739,749,766,728,804
1270,739,749,766,726,806
1280,739,748,767,727,804
1290,739,749,766,727,805
1300,739,749,766,727,804
1310,739,748,767,727,805
1320,739,749,767,727,804
1330,739,749,766,727,804
1340,739,749,767,727,804
1350,739,748,766,727,804
1360,739,749,766,727,804
1370,739,749,767,726,804
1380,739,748,766,727,804
1390,739,748,766,727,805
1400,740,749,766,726,804
1410,739,749,766,728,803
1420,739,749,766,726,804
1430,739,749,766,727,804
1440,739,749,766,727,805
1450,739,749,766,727,804
1460,739,748,767,726,804
1470,739,749,766,727,804
1480,739,749,766,727,804
1490,739,749,766,727,804
1500,739,748,766,727,804
1510,739,749,766,727,804
1520,739,749,766,727,805
1530,739,749,766,726,804
1540,739,749,767,728,804
1550,739,748,766,727,806
1560,739,749,767,726,804
1570,739,749,766,727,804
1580,739,749,766,727,805
1590,739,749,766,727,803
1600,739,748,766,727,804
1610,739,749,767,727,804
1620,739,749,766,726,804
1630,738,749,766,726,805
1640,739,749,766,726,805
1650,739,749,766,727,804
1660,739,749,767,727,804
1670,740,748,767,727,803
1680,740,749,767,726,804
1690,741,748,767,727,805
1700,740,749,767,727,804
1710,741,749,767,727,804
1720,741,750,767,727,805
1730,742,749,768,727,804
1740,741,750,769,727,804
1750,742,750,768,727,805
1760,743,749,769,727,805
1770,743,750,770,726,805
1780,744,750,769,727,805
1790,745,749,771,727,805
1800,745,750,770,727,806
1810,746,751,771,727,805
1820,746,751,772,727,805
1830,747,751,773,727,806
1840,748,752,774,726,806
1850,749,753,774,727,806
1860,750,752,776,727,806
1870,751,754,777,727,807
1880,752,754,778,727,808
1890,754,755,779,727,807
1900,756,756,781,728,808
1910,758,757,782,728,809
1920,759,757,783,728,809
1930,760,758,786,728,811
1940,761,760,787,729,811
1950,763,760,788,730,812
1960,765,761,791,730,812
1970,766,761,792,731,813
1980,767,762,794,731,815
1990,768,763,795,733,815
2000,769,764,797,733,816
2010,771,765,798,733,818
2020,772,766,800,735,819
2030,774,767,801,735,820
2040,776,770,803,737,822
2050,777,771,804,739,823
2060,780,771,806,739,823
2070,781,773,807,742,825
2080,783,774,809,743,826
2090,784,777,810,745,828
2100,785,777,811,747,830
2110,787,779,812,749,832
2120,787,781,814,751,833
2130,788,784,814,753,837
2140,790,784,816,754,839
2150,791,786,817,755,841
2160,792,788,819,759,844
2170,793,789,819,760,845
2180,794,790,821,761,846
2190,795,794,822,762,848
2200,796,795,823,765,848
2210,796,796,824,765,847
2220,798,797,826,767,848
2230,799,798,827,770,848
2240,801,799,828,769,849
2250,801,802,829,769,847
2260,802,803,831,771,848
2270,802,804,832,770,849
2280,802,805,831,771,848
2290,803,806,833,772,850
2300,803,807,833,772,851
2310,804,807,834,773,851
2320,806,808,836,772,852
2330,806,809,836,773,855
2340,806,811,837,773,853
2350,807,811,839,773,854
2360,808,811,840,774,854
2370,808,813,840,774,855
2380,810,813,841,774,857
2390,810,814,841,773,855
2400,811,815,841,774,853
2410,810,815,843,774,857
2420,811,815,844,774,857
2430,812,816,844,775,858
2440,812,818,845,775,858
2450,812,818,845,775,859
2460,813,818,846,775,858
2470,814,819,846,776,861
2480,814,820,846,776,860
2490,813,820,847,776,861
2500,814,821,848,777,861
2510,815,821,848,777,863
2520,814,822,849,778,863
2530,815,822,849,777,863
2540,815,822,849,777,863
2550,816,823,850,778,866
2560,816,824,850,779,866
2570,817,824,851,779,867
2580,817,826,851,779,866
2590,817,825,852,779,867
2600,817,826,852,780,868
2610,817,827,853,779,868
2620,818,827,853,780,869
2630,818,827,853,781,869
2640,818,828,854,781,870
2650,818,828,854,781,869
2660,819,828,854,781,870
2670,819,829,855,782,872
2680,819,828,855,783,872
2690,819,829,855,783,869
2700,819,830,855,783,873
2710,820,831,856,783,873
2720,821,830,856,783,876
2730,819,830,857,784,873
2740,820,831,857,786,874
2750,821,831,857,786,874
2760,821,832,858,786,875
2770,821,832,858,786,875
2780,821,832,858,787,875
2790,822,833,858,787,876
2800,822,833,859,788,876
2810,823,833,859,790,876
2820,822,833,859,789,874
2830,823,833,860,791,876
2840,823,833,860,792,876
2850,823,834,860,794,876
2860,823,834,861,794,877
2870,823,835,861,795,875
2880,824,835,860,794,877
2890,824,835,861,795,877
2900,823,835,862,795,879
2910,824,835,862,796,879
2920,823,836,861,797,877
2930,824,836,862,797,879
2940,825,836,863,799,879
2950,824,837,862,798,878
2960,825,837,863,798,879
2970,825,837,863,799,879
2980,824,837,863,799,879
2990,825,837,863,799,879
3000,825,837,863,799,879
3010,824,838,863,800,879
3020,825,839,864,799,880
3030,825,837,864,800,879
3040,824,838,864,801,880
3050,825,839,865,801,880
3060,824,838,864,801,880
3070,824,839,865,801,880
3080,825,839,864,801,881
3090,824,839,865,801,881
3100,825,839,865,801,879
3110,824,839,865,802,881
3120,825,839,865,801,881
3130,825,839,866,802,881
