Time_ms,Thumb,Index,Middle,Ring,Pinky
0,736,733,770,728,807
10,737,733,769,727,807
20,737,732,769,727,807
30,736,733,770,727,807
40,736,733,769,727,806
50,737,733,769,728,807
60,737,732,769,727,807
70,736,732,770,727,806
80,737,732,770,727,806
90,736,732,770,727,807
100,737,733,770,727,807
110,737,733,770,727,806
120,736,732,769,727,805
130,737,733,769,728,807
140,736,733,770,727,806
150,737,732,770,727,807
160,737,733,769,727,807
170,736,733,769,727,807
180,736,732,769,727,807
190,737,733,769,727,807
200,737,733,770,727,806
210,737,732,770,728,807
220,737,733,769,727,806
230,736,733,770,727,807
240,736,732,769,727,804
250,736,732,769,727,806
260,737,732,769,727,806
270,736,733,770,727,806
280,736,732,770,728,806
290,737,733,769,727,806
300,737,732,769,727,807
310,736,733,770,727,807
320,737,732,770,727,806
330,737,732,770,727,807
340,737,733,769,727,806
350,736,733,769,727,805
360,737,732,769,727,806
370,737,733,769,728,806
380,736,733,770,727,806
390,736,732,769,727,807
400,736,732,770,727,807
410,736,732,770,727,806
420,736,733,769,727,808
430,737,733,769,727,807
440,736,732,770,728,807
450,737,732,769,727,806
460,736,732,769,728,806
470,736,732,769,727,807
480,737,733,769,727,806
490,736,732,770,727,807
500,737,733,769,728,806
510,737,733,769,727,807
520,736,732,769,727,806
530,737,732,769,727,806
540,737,733,769,727,806
550,736,731,770,727,806
560,736,732,769,727,807
570,737,732,769,727,808
580,736,732,769,727,806
590,737,733,769,727,807
600,736,733,770,727,806
610,736,732,769,727,806
620,737,733,769,727,806
630,736,733,770,727,806
640,736,732,769,727,807
650,737,733,769,727,804
660,736,732,770,727,807
670,736,732,770,727,807
680,736,732,770,727,806
690,736,732,769,727,807
700,736,732,769,727,806
710,736,733,770,727,806
720,736,733,770,727,807
730,736,733,770,728,807
740,737,732,769,727,806
750,736,733,770,727,806
760,736,733,769,727,807
770,736,733,769,727,806
780,736,732,769,727,805
790,737,732,769,727,806
800,737,733,769,728,806
810,736,732,769,727,807
820,737,732,769,727,807
830,736,732,769,727,806
840,736,733,769,728,807
850,736,732,769,727,806
860,736,733,769,728,807
870,737,732,769,727,806
880,736,732,770,727,807
890,736,732,769,728,807
900,736,732,769,727,807
910,736,732,769,727,807
920,736,733,769,727,807
930,736,732,769,727,806
940,736,733,769,727,807
950,736,732,769,727,806
960,736,733,770,727,806
970,737,732,769,728,806
980,737,733,769,727,805
990,737,732,770,728,806
1000,736,732,769,727,806
1010,736,732,770,728,806
1020,737,733,770,727,806
1030,736,733,769,727,805
1040,736,732,769,727,806
1050,736,732,770,727,806
1060,737,732,770,727,806
1070,737,733,770,727,806
1080,736,732,769,727,806
1090,736,733,769,727,807
1100,736,732,770,727,806
1110,737,733,770,728,806
1120,736,733,770,727,807
1130,736,733,769,727,807
1140,736,733,769,727,806
1150,736,733,769,727,807
1160,737,733,770,727,806
1170,736,733,770,727,806
1180,736,733,769,728,807
1190,736,733,769,727,807
1200,736,732,770,727,807
1210,737,733,770,727,806
1220,736,732,770,727,805
1230,736,732,769,727,805
1240,736,732,770,727,806
1250,736,732,769,727,807
1260,736,733,769,727,806
1270,736,732,770,727,806
1280,736,732,769,727,805
1290,737,733,769,728,806
1300,736,733,770,727,807
1310,737,732,769,727,806
1320,736,732,769,727,807
1330,736,732,770,727,807
1340,736,732,769,727,806
1350,737,733,770,727,806
1360,736,732,769,727,804
1370,736,732,769,727,806
1380,736,733,769,727,807
1390,736,732,770,728,806
1400,736,732,770,727,806
1410,736,732,769,727,807
1420,737,733,770,727,807
1430,736,732,769,728,806
1440,737,732,770,727,806
1450,736,732,769,728,806
1460,736,732,769,727,806
1470,736,732,770,727,806
1480,737,732,768,727,807
1490,736,732,769,727,806
1500,736,732,770,727,806
1510,736,732,769,727,806
1520,736,732,770,727,806
1530,737,732,770,727,807
1540,737,732,769,727,805
1550,737,732,769,727,807
1560,737,733,769,728,807
1570,738,732,770,728,807
1580,738,733,769,727,804
1590,738,732,769,727,807
1600,739,733,769,727,807
1610,739,732,769,727,807
1620,739,733,770,728,808
1630,739,733,770,727,807
1640,740,733,769,727,807
1650,741,733,770,727,807
1660,742,733,770,727,807
1670,743,733,769,727,807
1680,744,734,770,728,807
1690,745,734,770,726,807
1700,747,734,770,727,807
1710,749,734,770,727,808
1720,750,735,770,727,808
