Time_ms,Thumb,Index,Middle,Ring,Pinky
0,733,727,748,709,784
10,733,726,748,709,785
20,733,726,748,710,784
30,733,726,747,710,784
40,733,726,747,709,784
50,733,726,748,709,784
60,733,726,748,709,785
70,733,726,748,709,784
80,733,726,748,709,784
90,733,726,748,709,784
100,733,727,747,709,784
110,733,726,748,709,784
120,733,726,748,709,784
130,733,726,747,709,784
140,733,726,747,708,784
150,733,726,747,709,784
160,732,726,747,709,783
170,732,725,747,708,783
180,732,725,747,708,783
190,731,725,746,708,783
200,732,725,746,708,783
210,731,724,746,707,784
220,731,724,746,707,782
230,731,724,745,707,782
240,731,723,745,707,782
250,731,724,745,707,782
260,730,723,745,707,781
270,730,723,744,706,781
280,728,721,743,705,779
290,727,721,742,703,779
300,725,718,739,702,775
310,721,714,734,696,769
320,727,721,742,703,780
330,727,720,742,703,779
340,727,721,742,704,777
350,727,720,742,703,778
360,727,720,742,704,778
370,727,721,742,704,778
380,727,721,742,704,778
390,727,720,742,704,778
400,727,721,741,704,778
410,727,720,741,703,778
420,727,720,742,703,780
430,727,720,742,703,777
440,727,720,742,703,779
450,727,720,742,703,778
460,727,720,741,703,778
470,727,720,742,703,777
480,727,720,741,703,778
490,727,720,741,703,778
500,727,720,741,703,776
510,727,720,741,703,778
520,727,720,741,703,777
530,727,720,742,703,777
540,727,719,741,703,777
550,727,719,741,703,778
560,727,720,741,703,777
570,727,720,741,703,776
580,726,720,741,703,777
590,727,720,741,703,777
600,727,720,741,703,776
610,727,720,741,703,777
620,727,720,741,703,777
630,727,720,741,703,777
640,727,720,741,703,777
650,727,720,741,703,777
660,727,720,741,703,777
670,726,720,741,703,778
680,727,720,741,703,776
690,727,720,741,703,777
700,727,720,741,703,777
710,726,720,741,702,776
720,726,720,741,703,777
730,726,719,741,703,777
740,727,720,741,703,778
750,727,720,741,703,777
760,726,720,741,703,777
770,727,719,741,703,777
780,727,720,741,703,777
790,727,720,741,703,778
800,727,720,741,703,777
810,727,720,741,703,778
820,727,720,741,703,776
830,727,720,741,703,778
840,727,720,741,703,777
850,727,720,741,703,777
860,727,719,741,703,777
870,727,720,741,703,777
880,727,719,741,703,777
890,727,720,741,703,776
900,726,720,741,703,777
910,726,720,741,703,777
920,726,719,741,702,777
930,727,719,741,703,777
940,727,719,741,703,777
950,726,720,741,703,776
960,726,719,741,703,777
970,726,720,740,703,777
980,726,719,741,703,777
990,726,719,741,702,775
1000,726,719,741,703,777
1010,726,719,741,703,777
1020,726,719,740,702,777
1030,726,719,740,702,776
1040,735,728,750,711,786
1050,735,728,749,711,786
1060,735,728,749,711,786
1070,734,727,749,710,784
1080,734,727,749,710,785
1090,734,727,748,710,785
1100,734,727,749,711,785
1110,734,727,749,710,785
1120,734,727,749,711,785
1130,734,727,749,711,785
1140,735,727,749,711,786
1150,735,726,749,711,785
1160,736,727,750,712,787
1170,737,727,750,711,787
1180,737,728,750,711,787
1190,737,727,750,712,787
1200,737,727,750,712,786
1210,737,726,750,711,786
1220,738,727,750,712,787
1230,731,719,742,705,779
1240,716,702,722,681,748
1250,729,716,739,699,773
1260,736,719,738,705,779
1270,732,721,745,705,775
1280,732,723,749,712,784
1290,740,724,747,711,782
1300,747,727,749,714,786
1310,752,730,753,719,789
1320,729,715,748,704,785
1330,737,733,749,691,784
1340,761,735,752,721,786
1350,763,735,751,722,776
1360,766,735,749,721,785
1370,772,740,753,728,791
1380,756,724,736,710,772
1390,764,729,739,713,772
1400,765,730,739,717,777
1410,727,691,700,681,737
1420,730,742,746,734,796
1430,796,758,764,743,805
1440,797,759,763,744,807
1450,792,752,755,737,798
1460,805,766,768,749,812
1470,792,749,743,708,799
1480,713,697,740,741,806
1490,785,755,759,666,778
1500,753,751,742,700,811
1510,805,760,755,738,782
1520,784,733,776,756,772
1530,737,704,702,754,818
1540,737,690,769,723,825
1550,760,740,778,764,823
1560,730,750,728,670,829
1570,803,754,709,723,819
1580,809,768,758,730,776
1590,769,727,753,691,831
1600,781,718,738,730,765
1610,818,778,769,758,820
1620,822,766,749,738,796
1630,804,766,766,762,828
1640,780,778,774,759,833
1650,757,730,708,680,841
1660,783,747,737,732,810
1670,835,792,782,778,834
1680,842,805,780,781,844
1690,835,780,758,729,812
1700,844,805,789,783,841
1710,848,809,794,788,849
1720,766,784,714,770,789
1730,843,805,788,783,843
1740,818,781,771,765,829
1750,854,814,795,792,845
1760,847,796,758,784,844
1770,830,794,778,775,833
1780,851,818,800,797,856
1790,828,793,774,772,829
1800,840,811,793,790,845
1810,831,793,793,757,824
1820,852,814,798,797,855
1830,853,816,799,800,859
1840,859,819,802,801,855
1850,850,810,794,792,847
1860,863,822,806,805,863
1870,841,800,766,792,812
1880,859,817,803,803,860
1890,829,816,777,694,824
1900,860,811,761,729,802
1910,851,803,788,765,861
1920,793,815,761,799,845
1930,854,811,800,798,858
1940,860,818,808,805,863
1950,836,816,805,801,859
1960,848,805,795,792,853
