Time_ms,Thumb,Index,Middle,Ring,Pinky
0,744,746,768,726,805
10,743,747,768,726,805
20,743,746,767,726,805
30,744,746,768,727,805
40,743,746,768,726,805
50,743,746,767,726,805
60,744,745,768,727,805
70,743,747,767,727,805
80,743,747,768,727,805
90,743,747,768,727,805
100,744,747,767,726,806
110,743,746,768,726,805
120,743,746,767,727,805
130,744,747,768,726,805
140,743,746,768,726,806
150,743,746,768,726,805
160,743,746,768,727,806
170,743,746,767,727,805
180,743,746,766,726,804
190,744,746,768,727,805
200,743,746,768,726,805
210,743,746,768,726,805
220,743,746,768,726,805
230,743,746,768,726,805
240,743,746,768,726,805
250,743,746,768,727,805
260,743,747,768,727,805
270,743,746,768,726,805
280,743,747,768,726,803
290,744,746,768,726,806
300,743,746,768,726,805
310,743,746,768,726,805
320,744,746,768,726,805
330,743,746,768,726,805
340,743,746,768,727,805
350,743,746,768,727,805
360,743,746,768,726,805
370,743,746,768,726,806
380,743,747,768,726,805
390,743,746,768,727,805
400,743,746,768,726,805
410,743,746,768,727,804
420,743,746,768,727,805
430,743,746,768,726,805
440,744,746,768,726,805
450,743,747,768,726,805
460,743,746,767,726,805
470,743,747,768,726,804
480,743,746,768,726,805
490,743,746,768,726,805
500,743,746,768,726,804
510,743,747,767,726,805
520,743,746,768,727,806
530,743,746,767,726,804
540,743,746,768,726,805
550,743,746,769,726,805
560,743,747,767,727,805
570,743,746,767,726,804
580,743,746,767,727,805
590,743,746,768,726,805
600,743,746,768,727,804
610,744,747,767,726,805
620,743,747,768,726,805
630,743,746,768,726,805
640,743,746,768,727,805
650,742,746,768,726,805
660,743,746,768,726,805
670,743,746,767,727,805
680,743,747,768,726,805
690,743,747,768,727,804
700,743,746,768,726,805
710,743,746,768,726,805
720,743,746,768,727,805
730,743,745,768,726,805
740,743,746,768,726,805
750,743,747,767,726,805
760,743,746,767,726,805
770,743,746,768,726,805
780,743,746,768,726,804
790,743,746,768,726,805
800,743,746,768,726,805
810,743,746,768,726,805
820,743,747,768,726,805
830,743,745,768,727,804
840,744,746,768,726,805
850,743,746,768,726,804
860,743,746,768,726,805
870,743,746,768,727,805
880,743,747,768,726,805
890,743,747,768,726,805
900,744,746,768,726,804
910,742,746,767,726,805
920,743,746,768,727,805
930,742,745,768,727,805
940,743,746,768,726,805
950,743,746,767,726,804
960,743,746,768,726,805
970,743,746,768,726,805
980,743,746,767,726,804
990,743,747,768,726,805
1000,743,746,769,726,805
1010,742,746,768,727,804
1020,742,745,768,727,804
1030,743,747,768,726,804
1040,743,746,768,726,804
1050,743,747,767,726,805
1060,743,746,768,726,805
1070,742,746,767,726,805
1080,743,747,767,727,805
1090,743,746,768,726,805
1100,743,746,768,726,805
1110,743,746,767,726,804
1120,742,746,768,726,805
1130,742,747,767,726,804
1140,743,746,767,726,805
1150,743,746,767,726,805
1160,743,746,767,726,805
1170,742,746,768,726,804
1180,743,746,768,726,805
1190,743,746,767,726,805
1200,742,746,767,727,805
1210,743,746,768,726,804
1220,743,746,768,726,805
1230,742,746,768,727,804
1240,743,746,768,726,804
1250,742,746,768,726,804
1260,743,746,768,726,805
1270,742,747,768,726,804
1280,743,746,768,726,805
1290,742,746,767,727,804
1300,742,746,767,726,804
1310,743,745,767,727,805
1320,742,746,768,726,805
1330,742,746,768,727,805
1340,743,746,768,727,805
1350,742,747,767,725,805
1360,743,746,768,726,804
1370,742,746,767,726,805
1380,742,747,767,727,805
1390,743,746,768,726,804
1400,743,745,768,726,804
1410,743,746,768,726,805
1420,742,746,768,726,804
1430,742,746,768,727,804
1440,742,746,768,727,804
1450,742,746,767,726,804
1460,743,746,768,726,804
1470,743,746,768,726,805
1480,742,746,768,726,805
1490,742,746,768,727,804
1500,742,745,768,726,805
1510,742,746,768,726,805
1520,742,746,768,727,805
1530,742,746,768,726,804
1540,742,747,768,726,804
1550,742,746,768,726,804
1560,742,746,768,726,804
1570,742,747,768,727,805
1580,742,746,768,726,804
1590,742,747,768,726,804
1600,743,745,768,727,805
1610,742,747,768,726,804
1620,742,746,767,726,804
1630,742,746,768,726,805
1640,742,746,768,726,804
1650,742,747,768,726,804
1660,742,745,768,726,805
1670,742,746,767,726,805
1680,742,746,767,726,805
1690,742,745,768,726,805
1700,742,746,767,727,805
1710,744,746,768,726,804
1720,742,746,767,726,804
1730,743,746,768,726,805
1740,743,746,767,726,805
1750,742,746,767,726,804
1760,742,746,768,726,805
1770,743,746,768,726,804
1780,742,747,767,727,804
1790,743,746,768,726,804
1800,742,747,768,726,805
1810,742,746,768,726,804
1820,741,746,768,726,805
1830,742,746,767,726,804
1840,743,746,768,726,805
1850,743,746,768,726,804
1860,742,746,768,726,805
1870,743,746,768,726,805
1880,743,746,768,726,805
1890,743,746,768,726,805
1900,743,746,768,726,805
1910,743,746,768,726,805
1920,743,746,768,726,805
1930,743,746,768,726,805
1940,743,746,768,725,805
1950,744,746,768,726,805
1960,744,747,768,726,805
1970,744,747,769,726,805
1980,745,746,769,726,805
1990,745,746,769,726,804
2000,746,747,770,726,805
2010,747,747,770,725,805
2020,747,747,770,726,805
2030,748,748,770,726,805
2040,750,748,770,725,806
2050,751,748,771,726,806
2060,752,749,771,726,807
2070,754,749,772,725,806
2080,755,749,772,726,806
2090,757,750,773,726,807
2100,760,750,774,726,808
2110,762,750,774,726,808
2120,765,751,776,728,807
2130,767,752,776,727,808
2140,770,752,778,727,808
2150,772,753,779,727,809
2160,774,753,780,728,810
2170,776,753,781,728,810
2180,779,754,782,728,811
2190,783,755,783,728,812
2200,784,755,784,728,813
2210,786,756,785,730,814
2220,789,757,786,729,816
2230,790,756,787,730,815
2240,792,757,788,731,817
2250,793,758,790,731,819
2260,795,759,790,732,819
2270,797,758,792,733,820
2280,798,761,792,734,822
2290,800,760,793,734,823
2300,800,761,794,735,825
2310,802,762,795,736,823
2320,803,763,796,738,828
2330,804,764,796,739,828
2340,806,765,798,740,830
2350,807,766,799,742,830
2360,809,768,800,744,832
2370,810,769,801,745,834
2380,811,771,802,745,835
2390,813,772,804,747,836
2400,814,773,806,748,839
2410,815,774,806,749,840
2420,816,776,807,752,841
2430,817,777,810,753,842
2440,819,779,810,753,843
2450,820,780,812,755,845
2460,820,781,813,756,845
2470,822,782,814,758,846
2480,822,783,816,760,847
2490,823,785,817,761,848
2500,824,786,818,762,849
2510,825,787,819,764,849
2520,826,789,820,766,852
2530,827,790,821,766,852
2540,827,791,822,768,855
2550,828,793,823,770,854
2560,829,793,824,770,855
2570,829,795,824,771,856
2580,830,795,826,774,857
2590,830,796,827,774,857
2600,831,797,827,775,858
2610,832,799,828,776,859
2620,832,799,830,776,860
2630,833,800,830,778,860
2640,833,801,831,779,861
2650,834,803,831,779,861
2660,834,803,833,781,863
2670,835,804,833,782,863
2680,835,804,834,783,863
2690,835,805,834,784,865
2700,836,806,835,784,863
2710,836,806,836,785,865
2720,837,806,837,786,866
2730,837,808,838,786,867
2740,837,808,838,787,867
2750,837,810,838,787,867
2760,838,809,837,787,868
2770,838,810,837,787,867
2780,839,811,838,787,868
2790,839,811,838,787,868
2800,839,811,838,787,869
2810,839,812,839,788,869
2820,840,813,838,787,869
2830,840,813,839,787,868
2840,841,813,838,788,870
2850,841,815,839,788,869
2860,841,815,839,789,870
2870,841,816,839,789,869
2880,842,816,839,789,871
2890,842,816,840,791,871
2900,841,817,841,793,871
2910,842,818,840,793,873
2920,844,818,840,794,872
2930,843,818,839,794,871
2940,844,820,840,794,873
2950,843,819,839,795,874
2960,844,819,840,795,873
2970,845,819,841,795,872
2980,844,820,840,794,873
2990,845,820,839,795,872
3000,845,820,840,795,873
3010,845,821,840,795,874
3020,846,821,840,795,874
3030,846,822,841,795,875
3040,847,822,841,795,876
3050,846,822,841,796,879
3060,846,822,842,795,882
3070,846,822,843,795,880
3080,847,823,842,795,879
3090,847,824,842,795,881
3100,847,824,842,795,879
3110,847,824,842,795,880
3120,848,824,842,795,880
3130,848,824,842,795,879
3140,848,824,843,795,881
3150,848,824,842,795,882
3160,848,824,843,795,882
3170,848,824,843,794,882
3180,848,824,843,795,883
3190,847,823,843,795,884
3200,847,824,843,795,883
3210,848,824,843,793,883
3220,847,823,843,794,882
3230,848,823,844,794,883
3240,847,824,843,794,882
3250,848,824,844,794,882
3260,847,823,843,794,882
3270,848,823,843,794,882
3280,847,823,844,794,881
3290,847,823,843,793,881
3300,847,823,843,794,883
3310,847,823,844,794,882
3320,848,824,843,794,882
3330,848,823,844,793,881
3340,848,823,843,793,881
3350,848,823,844,793,882
3360,848,823,844,793,882
3370,848,823,843,793,881
3380,848,823,844,793,882
3390,848,824,843,793,881
3400,848,823,844,793,881
3410,848,823,843,794,881
3420,848,823,843,793,881
3430,848,823,844,794,881
3440,848,823,844,793,882
3450,848,823,843,793,881
3460,848,822,843,793,881
3470,848,823,844,793,881
3480,848,822,844,793,881
3490,848,823,843,793,881
3500,848,823,844,793,881
3510,849,823,844,793,881
3520,848,823,844,793,881
3530,848,823,844,793,881
3540,848,823,844,793,881
3550,848,822,844,792,881
3560,848,823,844,793,881
3570,848,822,844,792,880
3580,848,823,844,793,880
3590,848,823,844,793,881
3600,848,823,843,793,881
3610,848,823,844,793,880
3620,848,822,844,793,880
3630,848,823,844,793,880
3640,849,822,845,792,880
3650,848,822,843,792,880
3660,849,823,844,792,880
3670,849,823,845,792,878
3680,848,823,843,792,880
3690,849,822,844,792,881
3700,850,823,844,793,880
3710,848,823,844,792,880
3720,850,822,844,792,880
3730,848,823,843,793,880
3740,848,824,844,792,879
3750,848,822,844,792,880
3760,848,823,844,792,880
3770,849,822,844,793,879
3780,849,822,844,792,879
3790,849,822,844,792,879
3800,849,822,844,792,880
3810,849,823,844,791,879
3820,849,823,844,792,879
3830,849,822,844,792,879
3840,850,822,844,791,879
3850,849,822,844,792,879
3860,849,822,844,792,879
3870,848,823,843,792,878
3880,849,822,844,792,879
3890,849,822,844,792,879
3900,849,823,844,792,879
3910,848,823,843,792,879
3920,848,822,843,791,879
3930,848,822,844,792,879
3940,848,822,844,791,879
3950,848,823,843,791,879
3960,849,822,843,792,879
3970,849,823,844,791,879
3980,848,823,843,791,879
3990,849,823,844,792,879
