Channel,ChannelLabel,Model,Samples_Per_Class,Run,MinSelectedSamplesPerClass,TotalSelectedTrainingSamples,TrainableParams,Accuracy,MacroF1,TestLoss,BestValAccuracy,BestValLoss,EpochsTrained,InputColumns
5ch,5 channel,LTC-4,10,1,10,100,110,93.50000023841858,93.41327832791248,0.4091147482395172,92.5000011920929,0.25395381450653076,910,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,10,2,10,100,110,85.00000238418579,84.85114211930046,0.4713228642940521,88.99999856948853,0.2831661105155945,1001,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,10,3,10,100,110,82.4999988079071,82.14654049201172,0.5391926765441895,87.00000047683716,0.3849833011627197,711,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,10,4,10,100,110,81.00000023841858,81.06671864061717,0.5544003248214722,87.99999952316284,0.4369841516017914,764,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,10,5,10,100,110,83.99999737739563,83.53115625759445,0.6286884546279907,87.5,0.5034770369529724,578,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,10,6,10,100,110,84.50000286102295,84.4706099878482,0.5348777174949646,88.99999856948853,0.4634978473186493,772,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,10,7,10,100,110,82.4999988079071,81.8961696226078,0.6088206768035889,87.5,0.41153332591056824,608,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,10,8,10,100,110,73.00000190734863,72.55918636406442,0.8305432200431824,75.49999952316284,0.7135244607925415,396,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,10,9,10,100,110,82.99999833106995,82.73010152021705,0.5396326184272766,86.50000095367432,0.4971861243247986,546,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,10,10,10,100,110,88.49999904632568,88.55750972834869,0.4616672396659851,88.49999904632568,0.44668543338775635,610,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,20,1,20,200,110,87.00000047683716,86.88472873985538,0.30707377195358276,90.49999713897705,0.34211403131484985,480,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,20,2,20,200,110,86.50000095367432,86.40447908199796,0.3917645514011383,89.99999761581421,0.4433811604976654,473,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,20,3,20,200,110,87.00000047683716,86.85412356965033,0.4809161424636841,91.00000262260437,0.293586790561676,560,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,20,4,20,200,110,83.99999737739563,83.65492827189935,0.4687475562095642,89.49999809265137,0.4202491044998169,463,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,20,5,20,200,110,87.00000047683716,86.82395182895227,0.44566860795021057,93.99999976158142,0.32586586475372314,656,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,20,6,20,200,110,82.4999988079071,82.35110242194985,0.47276943922042847,87.5,0.473236083984375,503,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,20,7,20,200,110,88.99999856948853,88.71350740579327,0.43037304282188416,90.49999713897705,0.4072192907333374,523,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,20,8,20,200,110,86.00000143051147,85.90133974651991,0.4623950719833374,88.49999904632568,0.4393973648548126,474,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,20,9,20,200,110,82.99999833106995,82.6616325626967,0.7390615344047546,86.50000095367432,0.43383193016052246,545,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,20,10,20,200,110,87.5,87.29606674885358,0.49655207991600037,94.49999928474426,0.1894155889749527,872,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,30,1,30,300,110,89.99999761581421,89.89896567560238,0.3978545069694519,94.49999928474426,0.15529240667819977,1032,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,30,2,30,300,110,86.50000095367432,86.53047480046914,0.4695030450820923,92.00000166893005,0.28819552063941956,569,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,30,3,30,300,110,84.50000286102295,84.4457878664278,0.5806329846382141,92.00000166893005,0.20218013226985931,842,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,30,4,30,300,110,87.99999952316284,87.82818692631447,0.4066769480705261,93.00000071525574,0.22128061950206757,726,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,30,5,30,300,110,91.50000214576721,91.50328929533038,0.3404322564601898,91.00000262260437,0.23791375756263733,1471,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,30,6,30,300,110,88.49999904632568,88.28826130366568,0.6646380424499512,93.50000023841858,0.16823776066303253,1083,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,30,7,30,300,110,87.99999952316284,87.93329096281599,0.4284936487674713,92.5000011920929,0.27782100439071655,490,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,30,8,30,300,110,87.99999952316284,87.73144872302755,0.5167107582092285,94.9999988079071,0.16463252902030945,1177,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,30,9,30,300,110,90.49999713897705,90.38684930617045,0.44835129380226135,94.49999928474426,0.1522039771080017,1190,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,30,10,30,300,110,88.99999856948853,88.99094675910511,0.44895169138908386,93.00000071525574,0.19897694885730743,878,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,40,1,40,400,110,88.49999904632568,88.37919211430273,0.600898802280426,93.00000071525574,0.2744314670562744,1059,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,40,2,40,400,110,86.50000095367432,86.2797299683043,0.4394819140434265,94.49999928474426,0.2195337861776352,749,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,40,3,40,400,110,87.00000047683716,86.96445067321889,0.347525030374527,93.00000071525574,0.2023215889930725,570,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,40,4,40,400,110,86.50000095367432,86.3289687504894,0.5787416696548462,92.5000011920929,0.28092488646507263,527,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,40,5,40,400,110,85.00000238418579,84.84979462693884,0.4476567804813385,91.00000262260437,0.26658007502555847,540,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,40,6,40,400,110,85.50000190734863,85.37976177161349,0.4510101079940796,89.49999809265137,0.44642582535743713,317,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,40,7,40,400,110,87.5,87.47277334183623,0.2654498815536499,93.99999976158142,0.1812599003314972,655,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,40,8,40,400,110,91.50000214576721,91.53515811910594,0.3929334878921509,93.00000071525574,0.22397251427173615,605,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,40,9,40,400,110,88.99999856948853,88.91957040865898,0.7253527045249939,93.00000071525574,0.1964043378829956,1078,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,40,10,40,400,110,90.49999713897705,90.51576474932045,0.28877022862434387,93.50000023841858,0.16229574382305145,1846,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,50,1,50,500,110,89.99999761581421,89.84454154426092,0.2647360563278198,92.5000011920929,0.15669037401676178,741,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,50,2,50,500,110,89.49999809265137,89.40918431162335,0.2928556501865387,93.50000023841858,0.16625529527664185,660,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,50,3,50,500,110,89.49999809265137,89.29379780337491,0.3776550590991974,93.50000023841858,0.21002233028411865,577,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,50,4,50,500,110,91.00000262260437,90.7339976789957,0.25439274311065674,93.99999976158142,0.16212646663188934,519,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,50,5,50,500,110,90.49999713897705,90.41368665566354,0.3799160122871399,93.50000023841858,0.150239959359169,763,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,50,6,50,500,110,88.49999904632568,88.50456727865152,0.2713526487350464,93.00000071525574,0.2001933604478836,418,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,50,7,50,500,110,87.5,87.58157420336123,0.3494180738925934,92.00000166893005,0.31236791610717773,386,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,50,8,50,500,110,89.49999809265137,89.48128029657718,0.4081854224205017,91.50000214576721,0.19916433095932007,815,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,50,9,50,500,110,90.49999713897705,90.54476343950029,0.31578266620635986,93.99999976158142,0.13974134624004364,1565,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,50,10,50,500,110,89.49999809265137,89.51556032043835,0.39130881428718567,91.50000214576721,0.2698715329170227,612,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,60,1,59,599,110,88.49999904632568,88.52612828521119,0.34050700068473816,92.5000011920929,0.21546417474746704,600,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,60,2,59,599,110,89.49999809265137,89.47127718731146,0.31635844707489014,93.50000023841858,0.20660433173179626,375,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,60,3,59,599,110,89.99999761581421,90.04877869086604,0.30541378259658813,93.50000023841858,0.22135770320892334,625,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,60,4,59,599,110,89.99999761581421,89.89900282872789,0.4976177215576172,94.49999928474426,0.17000128328800201,781,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,60,5,59,599,110,91.50000214576721,91.44156665209296,0.49122485518455505,95.99999785423279,0.13677135109901428,931,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,60,6,59,599,110,89.99999761581421,89.99077901131815,0.24788179993629456,93.99999976158142,0.1316191852092743,696,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,60,7,59,599,110,88.49999904632568,88.45728644637502,0.3873550295829773,93.50000023841858,0.17815451323986053,474,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,60,8,59,599,110,87.00000047683716,87.03297800473668,0.33973145484924316,91.00000262260437,0.2512512505054474,1313,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,60,9,59,599,110,89.49999809265137,89.49083776501156,0.4411814510822296,91.50000214576721,0.16096347570419312,600,"Thumb,Index,Middle,Ring,Pinky"
5ch,5 channel,LTC-4,60,10,59,599,110,91.50000214576721,91.63670076892157,0.28830546140670776,94.9999988079071,0.14232030510902405,1472,"Thumb,Index,Middle,Ring,Pinky"
3ch,3 channel,LTC-4,10,1,10,100,86,76.99999809265137,75.50663386914394,0.5617719292640686,77.99999713897705,0.5947015285491943,718,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,10,2,10,100,86,81.00000023841858,80.52967522700847,0.7422599792480469,81.99999928474426,0.6693716645240784,1303,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,10,3,10,100,86,83.99999737739563,83.4693043093369,0.543463945388794,82.4999988079071,0.446039080619812,837,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,10,4,10,100,86,73.00000190734863,72.63375001817997,0.6109102964401245,75.99999904632568,0.6965146660804749,555,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,10,5,10,100,86,76.49999856948853,75.23477557501683,0.7343049645423889,79.00000214576721,0.7692070603370667,908,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,10,6,10,100,86,79.00000214576721,78.76908872730499,0.5746036767959595,83.99999737739563,0.5661197304725647,782,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,10,7,10,100,86,77.99999713897705,77.45453100119178,0.4819657504558563,81.00000023841858,0.6325114965438843,803,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,10,8,10,100,86,77.49999761581421,76.61272734930127,0.6915857791900635,81.00000023841858,0.5705162286758423,848,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,10,9,10,100,86,75.99999904632568,75.61971821586116,0.669920802116394,75.0,0.7415978908538818,475,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,10,10,10,100,86,82.4999988079071,82.53906376337167,0.5168778896331787,86.00000143051147,0.60917729139328,653,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,20,1,20,200,86,84.50000286102295,84.66833411913504,0.5223472118377686,86.00000143051147,0.38879022002220154,900,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,20,2,20,200,86,81.99999928474426,82.18936604687566,0.6131564974784851,83.99999737739563,0.41252273321151733,984,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,20,3,20,200,86,81.99999928474426,81.35747725637461,0.47299206256866455,82.99999833106995,0.5708634853363037,590,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,20,4,20,200,86,87.00000047683716,86.93837453529365,0.6325867176055908,87.99999952316284,0.3108731210231781,2000,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,20,5,20,200,86,82.99999833106995,82.97274630929017,0.5134214758872986,88.49999904632568,0.3452003598213196,1235,"Thumb,Middle,Pinky"
