Channel,ChannelLabel,Model,Samples_Per_Class,Runs,MeanAccuracy,StdAccuracy,MeanMacroF1,StdMacroF1,MeanEpochsTrained,TrainableParams
5ch,5 channel,LTC-4,10,10,83.75,5.2347659469544565,83.52224130605224,5.3461753095925575,689.6,110
5ch,5 channel,LTC-4,20,10,85.94999969005585,2.1009263504555986,85.75458603781685,2.1282138892899938,554.9,110
5ch,5 channel,LTC-4,30,10,88.44999969005585,2.006239358300863,88.35375016189289,2.007979975586884,945.8,110
5ch,5 channel,LTC-4,40,10,87.75000035762787,2.1114757390966923,87.66251645237892,2.1748130747239887,794.6,110
5ch,5 channel,LTC-4,50,10,89.59999859333038,1.0219805803899686,89.53229535324469,0.9591655183478595,705.6,110
5ch,5 channel,LTC-4,60,10,89.59999918937683,1.3703208491025844,89.59953356405725,1.3767962581027913,786.7,110
3ch,3 channel,LTC-4,10,10,78.4499990940094,3.2782950668420807,77.8369268055717,3.4607160128060586,788.2,86
3ch,3 channel,LTC-4,20,10,82.44999945163727,3.013395901445301,82.316772970257,3.080154851950872,1030.3,86
3ch,3 channel,LTC-4,30,10,81.99999928474426,3.248930694048762,81.54956146036417,3.533634274535215,814.6,86
3ch,3 channel,LTC-4,40,10,84.05000030994415,3.1131437076881574,83.74024608033808,3.1984156917315913,827.8,86
3ch,3 channel,LTC-4,50,10,84.200000166893,3.823901516818299,83.95176270665719,4.18945974823628,1078.3,86
3ch,3 channel,LTC-4,60,10,85.60000002384186,2.0385180828525242,85.52539884540921,2.1987775870119166,1008.2,86
