Model,Samples_Per_Class,MeanAccuracy,StdAccuracy,Runs,Channel
LSTM-8,3,73.00000011920929,6.770032346248561,10,5-channel
LSTM-8,6,80.60000121593475,3.5496487572083173,10,5-channel
LSTM-8,15,87.049999833107,2.191523210378339,10,5-channel
LSTM-8,30,90.900000333786,1.8378736123366892,10,5-channel
LSTM-8,60,93.39999973773956,2.13176912863397,10,5-channel
LTC-4,3,74.74999904632568,2.869861784238749,10,5-channel
LTC-4,6,79.69999969005585,5.250396356809342,10,5-channel
LTC-4,15,86.25,3.433899633530524,10,5-channel
LTC-4,30,88.2999986410141,1.9748413244858276,10,5-channel
LTC-4,60,90.04999995231628,1.755152229598079,10,5-channel
Vanilla RNN-8,3,72.20000088214874,4.956478609743674,10,5-channel
Vanilla RNN-8,6,80.89999973773956,3.6651508507037414,10,5-channel
Vanilla RNN-8,15,87.2000002861023,2.2876478363986856,10,5-channel
Vanilla RNN-8,30,87.54999995231628,2.2540086816607774,10,5-channel
Vanilla RNN-8,60,89.79999959468842,2.057506743830782,10,5-channel
LSTM-8,3,68.65000009536743,4.262563649159785,10,3-channel
LSTM-8,6,78.30000042915344,3.3598935758553874,10,3-channel
LSTM-8,15,83.69999945163727,4.02906093780889,10,3-channel
LSTM-8,30,86.80000007152557,3.6606014965673737,10,3-channel
LSTM-8,60,91.19999945163727,4.865982014145906,10,3-channel
LTC-4,3,71.95000052452087,4.3744837550200595,10,3-channel
LTC-4,6,76.04999959468842,3.378444256764881,10,3-channel
LTC-4,15,77.24999964237213,5.078549415263632,10,3-channel
LTC-4,30,83.65000009536743,3.1006279362388036,10,3-channel
LTC-4,60,86.20000064373016,5.006662241895683,10,3-channel
Vanilla RNN-8,3,68.54999959468842,5.330467934816446,10,3-channel
Vanilla RNN-8,6,73.64999949932098,5.153478202130761,10,3-channel
Vanilla RNN-8,15,78.19999873638153,2.3944384541872643,10,3-channel
Vanilla RNN-8,30,79.0499997138977,2.618842318093244,10,3-channel
Vanilla RNN-8,60,83.65000009536743,3.240799610744174,10,3-channel
