"run","method","true_label","predicted_label","count","row_percent"
"1","BPTT checkpoint","Baseball","Baseball","11","55.00000000000001"
"1","BPTT checkpoint","Baseball","Bottle","0","0.0"
"1","BPTT checkpoint","Baseball","Sponge Dice","0","0.0"
"1","BPTT checkpoint","Baseball","Tape","6","30.0"
"1","BPTT checkpoint","Baseball","Plush Toy","0","0.0"
"1","BPTT checkpoint","Baseball","Optical Mouse","0","0.0"
"1","BPTT checkpoint","Baseball","Smartphone","0","0.0"
"1","BPTT checkpoint","Baseball","Rubik's Cube","0","0.0"
"1","BPTT checkpoint","Baseball","Stuffed Ball","3","15.0"
"1","BPTT checkpoint","Baseball","3D-Printed Part","0","0.0"
"1","BPTT checkpoint","Bottle","Baseball","0","0.0"
"1","BPTT checkpoint","Bottle","Bottle","20","100.0"
"1","BPTT checkpoint","Bottle","Sponge Dice","0","0.0"
"1","BPTT checkpoint","Bottle","Tape","0","0.0"
"1","BPTT checkpoint","Bottle","Plush Toy","0","0.0"
"1","BPTT checkpoint","Bottle","Optical Mouse","0","0.0"
"1","BPTT checkpoint","Bottle","Smartphone","0","0.0"
"1","BPTT checkpoint","Bottle","Rubik's Cube","0","0.0"
"1","BPTT checkpoint","Bottle","Stuffed Ball","0","0.0"
"1","BPTT checkpoint","Bottle","3D-Printed Part","0","0.0"
"1","BPTT checkpoint","Sponge Dice","Baseball","0","0.0"
"1","BPTT checkpoint","Sponge Dice","Bottle","0","0.0"
"1","BPTT checkpoint","Sponge Dice","Sponge Dice","17","85.0"
"1","BPTT checkpoint","Sponge Dice","Tape","0","0.0"
"1","BPTT checkpoint","Sponge Dice","Plush Toy","0","0.0"
"1","BPTT checkpoint","Sponge Dice","Optical Mouse","0","0.0"
"1","BPTT checkpoint","Sponge Dice","Smartphone","0","0.0"
"1","BPTT checkpoint","Sponge Dice","Rubik's Cube","2","10.0"
"1","BPTT checkpoint","Sponge Dice","Stuffed Ball","0","0.0"
"1","BPTT checkpoint","Sponge Dice","3D-Printed Part","1","5.0"
"1","BPTT checkpoint","Tape","Baseball","4","20.0"
"1","BPTT checkpoint","Tape","Bottle","0","0.0"
"1","BPTT checkpoint","Tape","Sponge Dice","0","0.0"
"1","BPTT checkpoint","Tape","Tape","14","70.0"
"1","BPTT checkpoint","Tape","Plush Toy","0","0.0"
"1","BPTT checkpoint","Tape","Optical Mouse","0","0.0"
"1","BPTT checkpoint","Tape","Smartphone","0","0.0"
"1","BPTT checkpoint","Tape","Rubik's Cube","0","0.0"
"1","BPTT checkpoint","Tape","Stuffed Ball","2","10.0"
"1","BPTT checkpoint","Tape","3D-Printed Part","0","0.0"
"1","BPTT checkpoint","Plush Toy","Baseball","0","0.0"
"1","BPTT checkpoint","Plush Toy","Bottle","0","0.0"
"1","BPTT checkpoint","Plush Toy","Sponge Dice","0","0.0"
"1","BPTT checkpoint","Plush Toy","Tape","0","0.0"
"1","BPTT checkpoint","Plush Toy","Plush Toy","20","100.0"
"1","BPTT checkpoint","Plush Toy","Optical Mouse","0","0.0"
"1","BPTT checkpoint","Plush Toy","Smartphone","0","0.0"
"1","BPTT checkpoint","Plush Toy","Rubik's Cube","0","0.0"
"1","BPTT checkpoint","Plush Toy","Stuffed Ball","0","0.0"
"1","BPTT checkpoint","Plush Toy","3D-Printed Part","0","0.0"
"1","BPTT checkpoint","Optical Mouse","Baseball","0","0.0"
"1","BPTT checkpoint","Optical Mouse","Bottle","0","0.0"
"1","BPTT checkpoint","Optical Mouse","Sponge Dice","0","0.0"
"1","BPTT checkpoint","Optical Mouse","Tape","0","0.0"
"1","BPTT checkpoint","Optical Mouse","Plush Toy","3","15.0"
"1","BPTT checkpoint","Optical Mouse","Optical Mouse","17","85.0"
"1","BPTT checkpoint","Optical Mouse","Smartphone","0","0.0"
"1","BPTT checkpoint","Optical Mouse","Rubik's Cube","0","0.0"
"1","BPTT checkpoint","Optical Mouse","Stuffed Ball","0","0.0"
"1","BPTT checkpoint","Optical Mouse","3D-Printed Part","0","0.0"
"1","BPTT checkpoint","Smartphone","Baseball","0","0.0"
"1","BPTT checkpoint","Smartphone","Bottle","0","0.0"
