Model,Samples_Per_Class,Run,Accuracy
1D-CNN,60,1,74.50000047683716
1D-CNN,60,2,85.50000190734863
1D-CNN,60,3,80.50000071525574
1D-CNN,60,4,81.00000023841858
1D-CNN,60,5,88.99999856948853
1D-CNN,60,6,81.99999928474426
1D-CNN,60,7,74.00000095367432
1D-CNN,60,8,82.4999988079071
1D-CNN,60,9,62.99999952316284
1D-CNN,60,10,78.50000262260437
1D-CNN,30,1,84.50000286102295
1D-CNN,30,2,75.99999904632568
1D-CNN,30,3,70.49999833106995
1D-CNN,30,4,81.99999928474426
1D-CNN,30,5,84.50000286102295
1D-CNN,30,6,76.49999856948853
1D-CNN,30,7,79.50000166893005
1D-CNN,30,8,85.00000238418579
1D-CNN,30,9,76.49999856948853
1D-CNN,30,10,78.50000262260437
1D-CNN,15,1,72.00000286102295
1D-CNN,15,2,66.00000262260437
1D-CNN,15,3,49.000000953674316
1D-CNN,15,4,73.50000143051147
1D-CNN,15,5,80.0000011920929
1D-CNN,15,6,76.49999856948853
1D-CNN,15,7,61.500000953674316
1D-CNN,15,8,80.50000071525574
1D-CNN,15,9,76.49999856948853
1D-CNN,15,10,83.99999737739563
1D-CNN,6,1,72.50000238418579
1D-CNN,6,2,74.50000047683716
1D-CNN,6,3,66.50000214576721
1D-CNN,6,4,75.49999952316284
1D-CNN,6,5,62.00000047683716
1D-CNN,6,6,60.50000190734863
1D-CNN,6,7,55.000001192092896
1D-CNN,6,8,72.50000238418579
1D-CNN,6,9,62.5
1D-CNN,6,10,75.0
1D-CNN,3,1,73.50000143051147
1D-CNN,3,2,62.99999952316284
1D-CNN,3,3,66.00000262260437
1D-CNN,3,4,75.49999952316284
1D-CNN,3,5,38.999998569488525
1D-CNN,3,6,56.99999928474426
1D-CNN,3,7,56.49999976158142
1D-CNN,3,8,56.49999976158142
1D-CNN,3,9,71.49999737739563
1D-CNN,3,10,41.49999916553497
SimpleRNN-8,60,1,82.99999833106995
SimpleRNN-8,60,2,81.00000023841858
SimpleRNN-8,60,3,85.50000190734863
SimpleRNN-8,60,4,77.99999713897705
SimpleRNN-8,60,5,86.00000143051147
SimpleRNN-8,60,6,83.99999737739563
SimpleRNN-8,60,7,87.99999952316284
SimpleRNN-8,60,8,85.00000238418579
SimpleRNN-8,60,9,79.50000166893005
SimpleRNN-8,60,10,86.50000095367432
SimpleRNN-8,30,1,82.4999988079071
SimpleRNN-8,30,2,75.49999952316284
SimpleRNN-8,30,3,77.49999761581421
SimpleRNN-8,30,4,79.00000214576721
SimpleRNN-8,30,5,81.49999976158142
SimpleRNN-8,30,6,75.99999904632568
SimpleRNN-8,30,7,80.50000071525574
SimpleRNN-8,30,8,75.99999904632568
SimpleRNN-8,30,9,81.49999976158142
SimpleRNN-8,30,10,80.50000071525574
SimpleRNN-8,15,1,76.49999856948853
SimpleRNN-8,15,2,76.99999809265137
SimpleRNN-8,15,3,81.00000023841858
SimpleRNN-8,15,4,76.99999809265137
SimpleRNN-8,15,5,77.99999713897705
SimpleRNN-8,15,6,76.49999856948853
SimpleRNN-8,15,7,76.99999809265137
SimpleRNN-8,15,8,75.49999952316284
SimpleRNN-8,15,9,81.00000023841858
SimpleRNN-8,15,10,82.4999988079071
SimpleRNN-8,6,1,68.00000071525574
SimpleRNN-8,6,2,74.50000047683716
SimpleRNN-8,6,3,75.0
SimpleRNN-8,6,4,71.49999737739563
SimpleRNN-8,6,5,83.49999785423279
SimpleRNN-8,6,6,75.99999904632568
SimpleRNN-8,6,7,70.99999785423279
SimpleRNN-8,6,8,73.00000190734863
SimpleRNN-8,6,9,65.49999713897705
SimpleRNN-8,6,10,78.50000262260437
SimpleRNN-8,3,1,67.00000166893005
SimpleRNN-8,3,2,62.00000047683716
SimpleRNN-8,3,3,75.99999904632568
SimpleRNN-8,3,4,69.9999988079071
SimpleRNN-8,3,5,69.49999928474426
SimpleRNN-8,3,6,70.49999833106995
SimpleRNN-8,3,7,70.99999785423279
SimpleRNN-8,3,8,68.99999976158142
SimpleRNN-8,3,9,73.00000190734863
SimpleRNN-8,3,10,57.499998807907104
LSTM-8,60,1,94.49999928474426
LSTM-8,60,2,90.49999713897705
LSTM-8,60,3,81.99999928474426
LSTM-8,60,4,82.4999988079071
LSTM-8,60,5,93.99999976158142
LSTM-8,60,6,94.49999928474426
LSTM-8,60,7,94.49999928474426
LSTM-8,60,8,93.00000071525574
LSTM-8,60,9,93.50000023841858
LSTM-8,60,10,93.00000071525574
LSTM-8,30,1,92.00000166893005
LSTM-8,30,2,87.99999952316284
LSTM-8,30,3,84.50000286102295
LSTM-8,30,4,81.99999928474426
LSTM-8,30,5,83.49999785423279
LSTM-8,30,6,90.49999713897705
LSTM-8,30,7,83.49999785423279
LSTM-8,30,8,92.00000166893005
LSTM-8,30,9,86.00000143051147
LSTM-8,30,10,86.00000143051147
LSTM-8,15,1,82.99999833106995
LSTM-8,15,2,88.49999904632568
LSTM-8,15,3,85.00000238418579
LSTM-8,15,4,82.99999833106995
LSTM-8,15,5,76.99999809265137
LSTM-8,15,6,86.50000095367432
LSTM-8,15,7,90.49999713897705
LSTM-8,15,8,80.0000011920929
LSTM-8,15,9,81.49999976158142
LSTM-8,15,10,81.99999928474426
LSTM-8,6,1,80.50000071525574
LSTM-8,6,2,73.00000190734863
LSTM-8,6,3,73.50000143051147
LSTM-8,6,4,78.50000262260437
LSTM-8,6,5,80.50000071525574
LSTM-8,6,6,77.99999713897705
LSTM-8,6,7,75.49999952316284
LSTM-8,6,8,80.0000011920929
LSTM-8,6,9,83.49999785423279
LSTM-8,6,10,80.0000011920929
LSTM-8,3,1,62.99999952316284
LSTM-8,3,2,66.50000214576721
LSTM-8,3,3,69.49999928474426
