Run,LTC-1,LTC-2,LTC-4,LTC-8,LTC-16
1,68.99999976158142,75.99999904632568,91.50000214576721,93.00000071525574,85.50000190734863
2,64.49999809265137,73.00000190734863,81.99999928474426,90.49999713897705,87.00000047683716
3,66.50000214576721,77.99999713897705,85.00000238418579,84.50000286102295,91.50000214576721
4,66.00000262260437,77.49999761581421,85.00000238418579,86.50000095367432,88.99999856948853
5,69.49999928474426,80.0000011920929,88.99999856948853,87.99999952316284,90.49999713897705
6,68.00000071525574,80.50000071525574,86.00000143051147,91.00000262260437,89.99999761581421
7,66.50000214576721,76.49999856948853,83.49999785423279,90.49999713897705,92.00000166893005
8,68.50000023841858,80.0000011920929,87.5,89.49999809265137,86.50000095367432
9,67.5000011920929,80.0000011920929,86.00000143051147,93.00000071525574,93.00000071525574
10,68.50000023841858,79.50000166893005,90.49999713897705,87.5,92.5000011920929
