Model,Shift Level,Run,Accuracy (%)
1D-CNN,Clean,1,80.0000011920929
1D-CNN,Clean,2,85.50000190734863
1D-CNN,Clean,3,81.49999976158142
1D-CNN,Clean,4,84.50000286102295
1D-CNN,Clean,5,87.00000047683716
1D-CNN,Clean,6,87.5
1D-CNN,Clean,7,78.50000262260437
1D-CNN,Clean,8,83.99999737739563
1D-CNN,Clean,9,86.50000095367432
1D-CNN,Clean,10,82.99999833106995
1D-CNN,-1s,1,29.499998688697815
1D-CNN,-1s,2,40.50000011920929
1D-CNN,-1s,3,36.500000953674316
1D-CNN,-1s,4,38.999998569488525
1D-CNN,-1s,5,38.499999046325684
1D-CNN,-1s,6,56.00000023841858
1D-CNN,-1s,7,34.49999988079071
1D-CNN,-1s,8,51.499998569488525
1D-CNN,-1s,9,32.499998807907104
1D-CNN,-1s,10,43.99999976158142
1D-CNN,+1s,1,52.49999761581421
1D-CNN,+1s,2,37.5
1D-CNN,+1s,3,40.99999964237213
1D-CNN,+1s,4,43.50000023841858
1D-CNN,+1s,5,43.50000023841858
1D-CNN,+1s,6,48.500001430511475
1D-CNN,+1s,7,34.49999988079071
1D-CNN,+1s,8,43.50000023841858
1D-CNN,+1s,9,29.499998688697815
1D-CNN,+1s,10,34.00000035762787
SimpleRNN-8,Clean,1,81.00000023841858
SimpleRNN-8,Clean,2,85.50000190734863
SimpleRNN-8,Clean,3,83.49999785423279
SimpleRNN-8,Clean,4,87.5
SimpleRNN-8,Clean,5,82.99999833106995
SimpleRNN-8,Clean,6,80.50000071525574
SimpleRNN-8,Clean,7,79.00000214576721
SimpleRNN-8,Clean,8,83.49999785423279
SimpleRNN-8,Clean,9,81.49999976158142
SimpleRNN-8,Clean,10,87.00000047683716
SimpleRNN-8,-1s,1,80.0000011920929
SimpleRNN-8,-1s,2,87.00000047683716
SimpleRNN-8,-1s,3,83.99999737739563
SimpleRNN-8,-1s,4,86.00000143051147
SimpleRNN-8,-1s,5,81.49999976158142
SimpleRNN-8,-1s,6,81.00000023841858
SimpleRNN-8,-1s,7,78.50000262260437
SimpleRNN-8,-1s,8,82.4999988079071
SimpleRNN-8,-1s,9,81.99999928474426
SimpleRNN-8,-1s,10,86.50000095367432
SimpleRNN-8,+1s,1,81.49999976158142
SimpleRNN-8,+1s,2,75.0
SimpleRNN-8,+1s,3,81.49999976158142
SimpleRNN-8,+1s,4,85.00000238418579
SimpleRNN-8,+1s,5,80.0000011920929
SimpleRNN-8,+1s,6,75.49999952316284
SimpleRNN-8,+1s,7,76.99999809265137
SimpleRNN-8,+1s,8,82.99999833106995
SimpleRNN-8,+1s,9,81.99999928474426
SimpleRNN-8,+1s,10,83.49999785423279
LSTM-8,Clean,1,86.00000143051147
LSTM-8,Clean,2,93.00000071525574
LSTM-8,Clean,3,91.50000214576721
LSTM-8,Clean,4,91.50000214576721
LSTM-8,Clean,5,89.49999809265137
LSTM-8,Clean,6,93.99999976158142
LSTM-8,Clean,7,93.00000071525574
LSTM-8,Clean,8,85.00000238418579
LSTM-8,Clean,9,87.00000047683716
LSTM-8,Clean,10,92.5000011920929
LSTM-8,-1s,1,85.50000190734863
LSTM-8,-1s,2,91.00000262260437
LSTM-8,-1s,3,91.00000262260437
LSTM-8,-1s,4,88.99999856948853
LSTM-8,-1s,5,88.49999904632568
LSTM-8,-1s,6,86.00000143051147
LSTM-8,-1s,7,91.50000214576721
LSTM-8,-1s,8,84.50000286102295
LSTM-8,-1s,9,86.00000143051147
LSTM-8,-1s,10,87.5
LSTM-8,+1s,1,79.00000214576721
LSTM-8,+1s,2,80.0000011920929
LSTM-8,+1s,3,90.49999713897705
LSTM-8,+1s,4,81.99999928474426
LSTM-8,+1s,5,85.00000238418579
LSTM-8,+1s,6,75.49999952316284
LSTM-8,+1s,7,87.00000047683716
LSTM-8,+1s,8,69.9999988079071
LSTM-8,+1s,9,77.99999713897705
LSTM-8,+1s,10,83.49999785423279
LTC-4,Clean,1,91.00000262260437
LTC-4,Clean,2,91.00000262260437
LTC-4,Clean,3,89.99999761581421
LTC-4,Clean,4,86.00000143051147
LTC-4,Clean,5,86.50000095367432
LTC-4,Clean,6,86.00000143051147
LTC-4,Clean,7,87.00000047683716
LTC-4,Clean,8,91.50000214576721
LTC-4,Clean,9,86.50000095367432
LTC-4,Clean,10,86.50000095367432
LTC-4,-1s,1,83.49999785423279
LTC-4,-1s,2,84.50000286102295
LTC-4,-1s,3,86.00000143051147
LTC-4,-1s,4,83.99999737739563
LTC-4,-1s,5,84.50000286102295
LTC-4,-1s,6,81.00000023841858
LTC-4,-1s,7,81.49999976158142
LTC-4,-1s,8,85.00000238418579
LTC-4,-1s,9,83.49999785423279
LTC-4,-1s,10,79.00000214576721
LTC-4,+1s,1,74.00000095367432
LTC-4,+1s,2,72.50000238418579
LTC-4,+1s,3,81.99999928474426
LTC-4,+1s,4,75.0
LTC-4,+1s,5,81.99999928474426
LTC-4,+1s,6,81.99999928474426
LTC-4,+1s,7,73.50000143051147
LTC-4,+1s,8,80.50000071525574
LTC-4,+1s,9,81.49999976158142
LTC-4,+1s,10,67.00000166893005
