Model,Samples_Per_Class,Run,Accuracy
1D-CNN,60,1,85.50000190734863
1D-CNN,60,2,79.00000214576721
1D-CNN,60,3,94.49999928474426
1D-CNN,60,4,95.99999785423279
1D-CNN,60,5,95.99999785423279
1D-CNN,60,6,94.9999988079071
1D-CNN,60,7,91.00000262260437
1D-CNN,60,8,83.99999737739563
1D-CNN,60,9,90.49999713897705
1D-CNN,60,10,96.49999737739563
1D-CNN,30,1,91.50000214576721
1D-CNN,30,2,90.49999713897705
1D-CNN,30,3,87.5
1D-CNN,30,4,78.50000262260437
1D-CNN,30,5,95.99999785423279
1D-CNN,30,6,91.00000262260437
1D-CNN,30,7,84.50000286102295
1D-CNN,30,8,81.99999928474426
1D-CNN,30,9,90.49999713897705
1D-CNN,30,10,76.99999809265137
1D-CNN,15,1,77.49999761581421
1D-CNN,15,2,85.50000190734863
1D-CNN,15,3,70.99999785423279
1D-CNN,15,4,82.4999988079071
1D-CNN,15,5,87.00000047683716
1D-CNN,15,6,91.00000262260437
1D-CNN,15,7,64.99999761581421
1D-CNN,15,8,76.99999809265137
1D-CNN,15,9,83.99999737739563
1D-CNN,15,10,86.50000095367432
1D-CNN,6,1,62.5
1D-CNN,6,2,81.99999928474426
1D-CNN,6,3,74.00000095367432
1D-CNN,6,4,63.499999046325684
1D-CNN,6,5,64.49999809265137
1D-CNN,6,6,54.00000214576721
1D-CNN,6,7,69.49999928474426
1D-CNN,6,8,68.99999976158142
1D-CNN,6,9,75.49999952316284
1D-CNN,6,10,85.00000238418579
1D-CNN,3,1,61.500000953674316
1D-CNN,3,2,60.50000190734863
1D-CNN,3,3,52.99999713897705
1D-CNN,3,4,61.500000953674316
1D-CNN,3,5,76.49999856948853
1D-CNN,3,6,59.50000286102295
1D-CNN,3,7,70.99999785423279
1D-CNN,3,8,54.00000214576721
1D-CNN,3,9,73.00000190734863
1D-CNN,3,10,40.50000011920929
SimpleRNN-8,60,1,87.5
SimpleRNN-8,60,2,86.00000143051147
SimpleRNN-8,60,3,89.99999761581421
SimpleRNN-8,60,4,93.50000023841858
SimpleRNN-8,60,5,89.49999809265137
SimpleRNN-8,60,6,91.50000214576721
SimpleRNN-8,60,7,89.49999809265137
SimpleRNN-8,60,8,89.49999809265137
SimpleRNN-8,60,9,89.99999761581421
SimpleRNN-8,60,10,91.00000262260437
SimpleRNN-8,30,1,87.00000047683716
SimpleRNN-8,30,2,86.00000143051147
SimpleRNN-8,30,3,89.49999809265137
SimpleRNN-8,30,4,85.00000238418579
SimpleRNN-8,30,5,87.99999952316284
SimpleRNN-8,30,6,88.49999904632568
SimpleRNN-8,30,7,89.99999761581421
SimpleRNN-8,30,8,86.50000095367432
SimpleRNN-8,30,9,91.00000262260437
SimpleRNN-8,30,10,83.99999737739563
SimpleRNN-8,15,1,87.99999952316284
SimpleRNN-8,15,2,87.00000047683716
SimpleRNN-8,15,3,83.99999737739563
SimpleRNN-8,15,4,89.99999761581421
SimpleRNN-8,15,5,87.99999952316284
SimpleRNN-8,15,6,91.00000262260437
SimpleRNN-8,15,7,84.50000286102295
SimpleRNN-8,15,8,86.50000095367432
SimpleRNN-8,15,9,85.00000238418579
SimpleRNN-8,15,10,87.99999952316284
SimpleRNN-8,6,1,81.99999928474426
SimpleRNN-8,6,2,85.50000190734863
SimpleRNN-8,6,3,82.4999988079071
SimpleRNN-8,6,4,82.99999833106995
SimpleRNN-8,6,5,82.99999833106995
SimpleRNN-8,6,6,81.00000023841858
SimpleRNN-8,6,7,80.0000011920929
SimpleRNN-8,6,8,82.99999833106995
SimpleRNN-8,6,9,74.50000047683716
SimpleRNN-8,6,10,74.50000047683716
SimpleRNN-8,3,1,74.50000047683716
SimpleRNN-8,3,2,79.50000166893005
SimpleRNN-8,3,3,73.00000190734863
SimpleRNN-8,3,4,72.00000286102295
SimpleRNN-8,3,5,63.499999046325684
SimpleRNN-8,3,6,65.49999713897705
