Model,Samples_Per_Class,Run,Accuracy
1D-CNN,60,1,88.33333253860474
1D-CNN,60,2,88.33333253860474
1D-CNN,60,3,89.99999761581421
1D-CNN,60,4,89.99999761581421
1D-CNN,60,5,88.33333253860474
1D-CNN,60,6,88.33333253860474
1D-CNN,60,7,91.66666865348816
1D-CNN,60,8,91.66666865348816
1D-CNN,60,9,89.99999761581421
1D-CNN,60,10,88.33333253860474
1D-CNN,30,1,88.33333253860474
1D-CNN,30,2,86.66666746139526
1D-CNN,30,3,88.33333253860474
1D-CNN,30,4,86.66666746139526
1D-CNN,30,5,88.33333253860474
1D-CNN,30,6,89.99999761581421
1D-CNN,30,7,88.33333253860474
1D-CNN,30,8,86.66666746139526
1D-CNN,30,9,83.33333134651184
1D-CNN,30,10,88.33333253860474
1D-CNN,15,1,83.33333134651184
1D-CNN,15,2,89.99999761581421
1D-CNN,15,3,75.0
1D-CNN,15,4,86.66666746139526
1D-CNN,15,5,80.0000011920929
1D-CNN,15,6,86.66666746139526
1D-CNN,15,7,89.99999761581421
1D-CNN,15,8,86.66666746139526
1D-CNN,15,9,83.33333134651184
1D-CNN,15,10,91.66666865348816
1D-CNN,6,1,76.66666507720947
1D-CNN,6,2,71.66666388511658
1D-CNN,6,3,80.0000011920929
1D-CNN,6,4,71.66666388511658
1D-CNN,6,5,75.0
1D-CNN,6,6,75.0
1D-CNN,6,7,76.66666507720947
1D-CNN,6,8,61.666667461395264
1D-CNN,6,9,75.0
1D-CNN,6,10,71.66666388511658
1D-CNN,3,1,71.66666388511658
1D-CNN,3,2,63.333332538604736
1D-CNN,3,3,63.333332538604736
1D-CNN,3,4,85.00000238418579
1D-CNN,3,5,51.66666507720947
1D-CNN,3,6,66.66666865348816
1D-CNN,3,7,56.66666626930237
1D-CNN,3,8,50.0
1D-CNN,3,9,63.333332538604736
1D-CNN,3,10,66.66666865348816
SimpleRNN-8,60,1,76.66666507720947
SimpleRNN-8,60,2,85.00000238418579
