Architecture,Run,Accuracy(%)
LTC-1,1,68.99999976158142
LTC-1,2,67.5000011920929
LTC-1,3,66.50000214576721
LTC-1,4,68.50000023841858
LTC-1,5,58.99999737739563
LTC-1,6,77.99999713897705
LTC-1,7,75.49999952316284
LTC-1,8,46.99999988079071
LTC-1,9,50.0
LTC-1,10,75.99999904632568
LTC-2,1,87.99999952316284
LTC-2,2,81.00000023841858
LTC-2,3,81.99999928474426
LTC-2,4,81.49999976158142
LTC-2,5,85.50000190734863
LTC-2,6,81.00000023841858
LTC-2,7,83.49999785423279
LTC-2,8,80.0000011920929
LTC-2,9,85.00000238418579
LTC-2,10,86.00000143051147
LTC-4,1,90.49999713897705
LTC-4,2,92.5000011920929
LTC-4,3,90.49999713897705
LTC-4,4,88.49999904632568
LTC-4,5,89.99999761581421
LTC-4,6,93.50000023841858
LTC-4,7,89.49999809265137
LTC-4,8,89.49999809265137
LTC-4,9,89.99999761581421
LTC-4,10,88.49999904632568
LTC-8,1,93.00000071525574
LTC-8,2,91.00000262260437
LTC-8,3,93.00000071525574
LTC-8,4,93.00000071525574
LTC-8,5,92.00000166893005
LTC-8,6,93.50000023841858
LTC-8,7,91.00000262260437
LTC-8,8,92.5000011920929
LTC-8,9,93.00000071525574
LTC-8,10,91.00000262260437
LTC-16,1,93.50000023841858
LTC-16,2,93.50000023841858
LTC-16,3,93.99999976158142
LTC-16,4,92.5000011920929
LTC-16,5,93.50000023841858
LTC-16,6,91.50000214576721
LTC-16,7,93.99999976158142
LTC-16,8,92.00000166893005
LTC-16,9,92.5000011920929
LTC-16,10,92.00000166893005
