Model,Noise Variance ($\sigma^2$),Run,Accuracy
1D-CNN,0.0 (Clean),1,93.00000071525574
1D-CNN,0.0 (Clean),2,93.99999976158142
1D-CNN,0.0 (Clean),3,93.99999976158142
1D-CNN,0.0 (Clean),4,91.00000262260437
1D-CNN,0.0 (Clean),5,92.00000166893005
1D-CNN,0.0 (Clean),6,94.9999988079071
1D-CNN,0.0 (Clean),7,93.99999976158142
1D-CNN,0.0 (Clean),8,91.00000262260437
1D-CNN,0.0 (Clean),9,94.9999988079071
1D-CNN,0.0 (Clean),10,91.00000262260437
1D-CNN,0.1,1,87.99999952316284
1D-CNN,0.1,2,87.99999952316284
1D-CNN,0.1,3,91.00000262260437
1D-CNN,0.1,4,88.99999856948853
1D-CNN,0.1,5,92.00000166893005
1D-CNN,0.1,6,92.00000166893005
1D-CNN,0.1,7,91.00000262260437
1D-CNN,0.1,8,88.99999856948853
1D-CNN,0.1,9,93.00000071525574
1D-CNN,0.1,10,91.00000262260437
1D-CNN,0.2,1,83.99999737739563
1D-CNN,0.2,2,77.99999713897705
1D-CNN,0.2,3,87.00000047683716
1D-CNN,0.2,4,89.99999761581421
1D-CNN,0.2,5,92.00000166893005
1D-CNN,0.2,6,89.99999761581421
1D-CNN,0.2,7,91.00000262260437
1D-CNN,0.2,8,87.99999952316284
1D-CNN,0.2,9,87.99999952316284
1D-CNN,0.2,10,87.99999952316284
1D-CNN,0.3,1,75.99999904632568
1D-CNN,0.3,2,73.00000190734863
1D-CNN,0.3,3,87.99999952316284
1D-CNN,0.3,4,85.00000238418579
1D-CNN,0.3,5,87.00000047683716
1D-CNN,0.3,6,88.99999856948853
1D-CNN,0.3,7,87.00000047683716
1D-CNN,0.3,8,83.99999737739563
1D-CNN,0.3,9,76.99999809265137
1D-CNN,0.3,10,83.99999737739563
SimpleRNN-8,0.0 (Clean),1,88.99999856948853
SimpleRNN-8,0.0 (Clean),2,85.00000238418579
SimpleRNN-8,0.0 (Clean),3,87.99999952316284
SimpleRNN-8,0.0 (Clean),4,83.99999737739563
SimpleRNN-8,0.0 (Clean),5,87.00000047683716
SimpleRNN-8,0.0 (Clean),6,83.99999737739563
SimpleRNN-8,0.0 (Clean),7,83.99999737739563
SimpleRNN-8,0.0 (Clean),8,86.00000143051147
SimpleRNN-8,0.0 (Clean),9,83.99999737739563
SimpleRNN-8,0.0 (Clean),10,87.00000047683716
SimpleRNN-8,0.1,1,62.99999952316284
SimpleRNN-8,0.1,2,56.00000023841858
SimpleRNN-8,0.1,3,55.000001192092896
SimpleRNN-8,0.1,4,61.000001430511475
SimpleRNN-8,0.1,5,62.00000047683716
SimpleRNN-8,0.1,6,60.00000238418579
SimpleRNN-8,0.1,7,60.00000238418579
SimpleRNN-8,0.1,8,62.99999952316284
SimpleRNN-8,0.1,9,66.00000262260437
SimpleRNN-8,0.1,10,47.999998927116394
SimpleRNN-8,0.2,1,31.00000023841858
SimpleRNN-8,0.2,2,46.99999988079071
SimpleRNN-8,0.2,3,43.99999976158142
SimpleRNN-8,0.2,4,41.999998688697815
SimpleRNN-8,0.2,5,47.999998927116394
SimpleRNN-8,0.2,6,38.999998569488525
SimpleRNN-8,0.2,7,43.00000071525574
SimpleRNN-8,0.2,8,46.99999988079071
SimpleRNN-8,0.2,9,57.999998331069946
SimpleRNN-8,0.2,10,36.000001430511475
SimpleRNN-8,0.3,1,37.99999952316284
SimpleRNN-8,0.3,2,41.999998688697815
SimpleRNN-8,0.3,3,37.00000047683716
SimpleRNN-8,0.3,4,49.000000953674316
SimpleRNN-8,0.3,5,31.999999284744263
SimpleRNN-8,0.3,6,43.00000071525574
SimpleRNN-8,0.3,7,49.000000953674316
SimpleRNN-8,0.3,8,46.99999988079071
SimpleRNN-8,0.3,9,40.00000059604645
SimpleRNN-8,0.3,10,37.00000047683716
LSTM-8,0.0 (Clean),1,88.99999856948853
LSTM-8,0.0 (Clean),2,92.00000166893005
LSTM-8,0.0 (Clean),3,88.99999856948853
LSTM-8,0.0 (Clean),4,85.00000238418579
LSTM-8,0.0 (Clean),5,82.99999833106995
LSTM-8,0.0 (Clean),6,91.00000262260437
LSTM-8,0.0 (Clean),7,92.00000166893005
LSTM-8,0.0 (Clean),8,94.9999988079071
LSTM-8,0.0 (Clean),9,94.9999988079071
LSTM-8,0.0 (Clean),10,91.00000262260437
LSTM-8,0.1,1,83.99999737739563
LSTM-8,0.1,2,81.99999928474426
LSTM-8,0.1,3,85.00000238418579
LSTM-8,0.1,4,81.99999928474426
LSTM-8,0.1,5,81.00000023841858
LSTM-8,0.1,6,86.00000143051147
LSTM-8,0.1,7,87.00000047683716
LSTM-8,0.1,8,91.00000262260437
LSTM-8,0.1,9,85.00000238418579
LSTM-8,0.1,10,81.00000023841858
LSTM-8,0.2,1,75.0
LSTM-8,0.2,2,73.00000190734863
LSTM-8,0.2,3,76.99999809265137
LSTM-8,0.2,4,75.99999904632568
LSTM-8,0.2,5,76.99999809265137
LSTM-8,0.2,6,73.00000190734863
LSTM-8,0.2,7,80.0000011920929
LSTM-8,0.2,8,85.00000238418579
LSTM-8,0.2,9,81.00000023841858
LSTM-8,0.2,10,61.000001430511475
LSTM-8,0.3,1,67.00000166893005
LSTM-8,0.3,2,62.99999952316284
LSTM-8,0.3,3,69.9999988079071
LSTM-8,0.3,4,75.0
LSTM-8,0.3,5,72.00000286102295
LSTM-8,0.3,6,68.00000071525574
LSTM-8,0.3,7,76.99999809265137
LSTM-8,0.3,8,76.99999809265137
LSTM-8,0.3,9,75.0
LSTM-8,0.3,10,52.99999713897705
LTC-8,0.0 (Clean),1,92.00000166893005
LTC-8,0.0 (Clean),2,92.00000166893005
LTC-8,0.0 (Clean),3,92.00000166893005
LTC-8,0.0 (Clean),4,93.00000071525574
LTC-8,0.0 (Clean),5,91.00000262260437
LTC-8,0.0 (Clean),6,91.00000262260437
LTC-8,0.0 (Clean),7,89.99999761581421
LTC-8,0.0 (Clean),8,93.00000071525574
LTC-8,0.0 (Clean),9,92.00000166893005
LTC-8,0.0 (Clean),10,88.99999856948853
LTC-8,0.1,1,76.99999809265137
LTC-8,0.1,2,82.99999833106995
LTC-8,0.1,3,77.99999713897705
LTC-8,0.1,4,75.0
LTC-8,0.1,5,75.0
LTC-8,0.1,6,70.99999785423279
LTC-8,0.1,7,64.99999761581421
LTC-8,0.1,8,75.0
LTC-8,0.1,9,76.99999809265137
LTC-8,0.1,10,64.99999761581421
LTC-8,0.2,1,54.00000214576721
LTC-8,0.2,2,57.999998331069946
LTC-8,0.2,3,54.00000214576721
LTC-8,0.2,4,55.000001192092896
LTC-8,0.2,5,56.99999928474426
LTC-8,0.2,6,56.99999928474426
LTC-8,0.2,7,54.00000214576721
LTC-8,0.2,8,54.00000214576721
LTC-8,0.2,9,62.99999952316284
LTC-8,0.2,10,46.00000083446503
LTC-8,0.3,1,37.99999952316284
LTC-8,0.3,2,40.00000059604645
LTC-8,0.3,3,37.99999952316284
LTC-8,0.3,4,36.000001430511475
LTC-8,0.3,5,51.99999809265137
LTC-8,0.3,6,51.99999809265137
LTC-8,0.3,7,44.999998807907104
LTC-8,0.3,8,47.999998927116394
LTC-8,0.3,9,52.99999713897705
LTC-8,0.3,10,38.999998569488525
