Model,SNR Level,Run,Accuracy (%)
1D-CNN,Clean,1,94.37500238418579
1D-CNN,Clean,2,96.24999761581421
1D-CNN,Clean,3,93.75
1D-CNN,Clean,4,96.24999761581421
1D-CNN,Clean,5,94.37500238418579
1D-CNN,Clean,6,94.9999988079071
1D-CNN,Clean,7,96.875
1D-CNN,Clean,8,94.37500238418579
1D-CNN,Clean,9,95.6250011920929
1D-CNN,Clean,10,94.9999988079071
1D-CNN,45 dB,1,94.37500238418579
1D-CNN,45 dB,2,96.24999761581421
1D-CNN,45 dB,3,93.75
1D-CNN,45 dB,4,96.24999761581421
1D-CNN,45 dB,5,93.75
1D-CNN,45 dB,6,94.9999988079071
1D-CNN,45 dB,7,96.875
1D-CNN,45 dB,8,94.37500238418579
1D-CNN,45 dB,9,94.37500238418579
1D-CNN,45 dB,10,94.9999988079071
1D-CNN,30 dB,1,94.37500238418579
1D-CNN,30 dB,2,96.24999761581421
1D-CNN,30 dB,3,93.75
1D-CNN,30 dB,4,96.24999761581421
1D-CNN,30 dB,5,94.37500238418579
1D-CNN,30 dB,6,94.9999988079071
1D-CNN,30 dB,7,96.24999761581421
1D-CNN,30 dB,8,94.37500238418579
1D-CNN,30 dB,9,96.24999761581421
1D-CNN,30 dB,10,93.75
1D-CNN,15 dB,1,93.12499761581421
1D-CNN,15 dB,2,94.9999988079071
1D-CNN,15 dB,3,92.5000011920929
1D-CNN,15 dB,4,93.12499761581421
1D-CNN,15 dB,5,93.75
1D-CNN,15 dB,6,96.24999761581421
1D-CNN,15 dB,7,91.25000238418579
1D-CNN,15 dB,8,93.75
1D-CNN,15 dB,9,96.875
1D-CNN,15 dB,10,91.8749988079071
SimpleRNN-8,Clean,1,92.5000011920929
SimpleRNN-8,Clean,2,88.7499988079071
SimpleRNN-8,Clean,3,86.2500011920929
SimpleRNN-8,Clean,4,89.99999761581421
SimpleRNN-8,Clean,5,87.5
SimpleRNN-8,Clean,6,92.5000011920929
SimpleRNN-8,Clean,7,88.7499988079071
SimpleRNN-8,Clean,8,91.8749988079071
SimpleRNN-8,Clean,9,89.3750011920929
SimpleRNN-8,Clean,10,88.12500238418579
SimpleRNN-8,45 dB,1,93.12499761581421
SimpleRNN-8,45 dB,2,89.3750011920929
SimpleRNN-8,45 dB,3,85.6249988079071
SimpleRNN-8,45 dB,4,89.99999761581421
SimpleRNN-8,45 dB,5,88.12500238418579
SimpleRNN-8,45 dB,6,92.5000011920929
SimpleRNN-8,45 dB,7,89.3750011920929
SimpleRNN-8,45 dB,8,91.8749988079071
SimpleRNN-8,45 dB,9,89.3750011920929
SimpleRNN-8,45 dB,10,89.3750011920929
SimpleRNN-8,30 dB,1,89.3750011920929
SimpleRNN-8,30 dB,2,89.3750011920929
SimpleRNN-8,30 dB,3,86.2500011920929
SimpleRNN-8,30 dB,4,86.2500011920929
SimpleRNN-8,30 dB,5,85.00000238418579
SimpleRNN-8,30 dB,6,89.99999761581421
SimpleRNN-8,30 dB,7,89.99999761581421
SimpleRNN-8,30 dB,8,91.8749988079071
SimpleRNN-8,30 dB,9,88.7499988079071
SimpleRNN-8,30 dB,10,88.12500238418579
SimpleRNN-8,15 dB,1,57.499998807907104
SimpleRNN-8,15 dB,2,60.00000238418579
SimpleRNN-8,15 dB,3,62.5
SimpleRNN-8,15 dB,4,69.9999988079071
SimpleRNN-8,15 dB,5,60.00000238418579
SimpleRNN-8,15 dB,6,63.12500238418579
SimpleRNN-8,15 dB,7,60.624998807907104
SimpleRNN-8,15 dB,8,66.8749988079071
SimpleRNN-8,15 dB,9,68.12499761581421
SimpleRNN-8,15 dB,10,55.000001192092896
LSTM-8,Clean,1,91.8749988079071
LSTM-8,Clean,2,96.24999761581421
LSTM-8,Clean,3,93.12499761581421
LSTM-8,Clean,4,94.37500238418579
LSTM-8,Clean,5,93.12499761581421
LSTM-8,Clean,6,93.12499761581421
LSTM-8,Clean,7,96.875
LSTM-8,Clean,8,93.75
LSTM-8,Clean,9,96.24999761581421
LSTM-8,Clean,10,93.75
LSTM-8,45 dB,1,91.8749988079071
LSTM-8,45 dB,2,96.875
LSTM-8,45 dB,3,92.5000011920929
LSTM-8,45 dB,4,94.37500238418579
LSTM-8,45 dB,5,93.12499761581421
LSTM-8,45 dB,6,93.12499761581421
LSTM-8,45 dB,7,96.24999761581421
LSTM-8,45 dB,8,93.75
LSTM-8,45 dB,9,96.875
LSTM-8,45 dB,10,93.12499761581421
LSTM-8,30 dB,1,91.8749988079071
LSTM-8,30 dB,2,95.6250011920929
LSTM-8,30 dB,3,92.5000011920929
LSTM-8,30 dB,4,93.75
LSTM-8,30 dB,5,94.37500238418579
LSTM-8,30 dB,6,91.8749988079071
LSTM-8,30 dB,7,96.24999761581421
LSTM-8,30 dB,8,93.75
LSTM-8,30 dB,9,96.875
