Model,Shift Level,Run,Accuracy (%)
1D-CNN,Clean,1,85.00000238418579
1D-CNN,Clean,2,92.00000166893005
1D-CNN,Clean,3,72.50000238418579
1D-CNN,Clean,4,86.00000143051147
1D-CNN,Clean,5,93.99999976158142
1D-CNN,Clean,6,95.49999833106995
1D-CNN,Clean,7,92.5000011920929
1D-CNN,Clean,8,91.00000262260437
1D-CNN,Clean,9,88.49999904632568
1D-CNN,Clean,10,94.49999928474426
1D-CNN,-100 Frames,1,48.500001430511475
1D-CNN,-100 Frames,2,32.499998807907104
1D-CNN,-100 Frames,3,30.000001192092896
1D-CNN,-100 Frames,4,34.99999940395355
1D-CNN,-100 Frames,5,37.5
1D-CNN,-100 Frames,6,34.49999988079071
1D-CNN,-100 Frames,7,38.999998569488525
1D-CNN,-100 Frames,8,39.500001072883606
1D-CNN,-100 Frames,9,34.00000035762787
1D-CNN,-100 Frames,10,56.99999928474426
1D-CNN,+100 Frames,1,34.00000035762787
1D-CNN,+100 Frames,2,52.99999713897705
1D-CNN,+100 Frames,3,20.999999344348907
1D-CNN,+100 Frames,4,33.000001311302185
1D-CNN,+100 Frames,5,34.99999940395355
1D-CNN,+100 Frames,6,37.99999952316284
1D-CNN,+100 Frames,7,34.49999988079071
1D-CNN,+100 Frames,8,40.00000059604645
1D-CNN,+100 Frames,9,49.000000953674316
1D-CNN,+100 Frames,10,62.5
SimpleRNN-8,Clean,1,87.5
SimpleRNN-8,Clean,2,91.50000214576721
SimpleRNN-8,Clean,3,87.5
SimpleRNN-8,Clean,4,91.00000262260437
SimpleRNN-8,Clean,5,90.49999713897705
SimpleRNN-8,Clean,6,91.00000262260437
SimpleRNN-8,Clean,7,89.49999809265137
SimpleRNN-8,Clean,8,87.99999952316284
SimpleRNN-8,Clean,9,87.99999952316284
SimpleRNN-8,Clean,10,92.00000166893005
SimpleRNN-8,-100 Frames,1,87.99999952316284
SimpleRNN-8,-100 Frames,2,91.50000214576721
SimpleRNN-8,-100 Frames,3,87.5
SimpleRNN-8,-100 Frames,4,89.99999761581421
SimpleRNN-8,-100 Frames,5,89.49999809265137
SimpleRNN-8,-100 Frames,6,90.49999713897705
SimpleRNN-8,-100 Frames,7,89.99999761581421
SimpleRNN-8,-100 Frames,8,87.99999952316284
SimpleRNN-8,-100 Frames,9,86.00000143051147
SimpleRNN-8,-100 Frames,10,91.00000262260437
SimpleRNN-8,+100 Frames,1,88.49999904632568
SimpleRNN-8,+100 Frames,2,87.99999952316284
SimpleRNN-8,+100 Frames,3,86.50000095367432
SimpleRNN-8,+100 Frames,4,86.50000095367432
SimpleRNN-8,+100 Frames,5,88.49999904632568
SimpleRNN-8,+100 Frames,6,91.00000262260437
SimpleRNN-8,+100 Frames,7,91.00000262260437
SimpleRNN-8,+100 Frames,8,87.99999952316284
SimpleRNN-8,+100 Frames,9,85.50000190734863
SimpleRNN-8,+100 Frames,10,89.99999761581421
LSTM-8,Clean,1,91.00000262260437
LSTM-8,Clean,2,91.50000214576721
LSTM-8,Clean,3,94.9999988079071
LSTM-8,Clean,4,89.49999809265137
LSTM-8,Clean,5,92.00000166893005
LSTM-8,Clean,6,91.50000214576721
LSTM-8,Clean,7,93.00000071525574
LSTM-8,Clean,8,89.99999761581421
LSTM-8,Clean,9,93.00000071525574
LSTM-8,Clean,10,94.9999988079071
LSTM-8,-100 Frames,1,92.00000166893005
LSTM-8,-100 Frames,2,88.49999904632568
LSTM-8,-100 Frames,3,93.99999976158142
LSTM-8,-100 Frames,4,89.49999809265137
LSTM-8,-100 Frames,5,91.00000262260437
LSTM-8,-100 Frames,6,89.99999761581421
LSTM-8,-100 Frames,7,89.49999809265137
LSTM-8,-100 Frames,8,89.49999809265137
